adm1_pcode,region_name,rf_mae,rf_rmse,rf_r2,ridge_mae,ridge_rmse,ridge_r2
AF01,Kabul,1.012,1.414,0.983,4.846,6.164,0.677
AF02,Kapisa,1.183,1.934,0.962,7.275,8.414,0.283
AF03,Parwan,1.036,1.556,0.98,3.741,4.932,0.8
AF05,Logar,1.303,1.707,0.964,3.795,4.643,0.732
AF06,Nangarhar,1.016,1.622,0.964,6.099,7.271,0.274
AF08,Panjsher,1.701,2.505,0.95,9.028,10.348,0.142
AF10,Bamyan,1.718,2.282,0.936,5.93,7.852,0.245
AF11,Ghazni,1.722,2.403,0.947,6.182,7.388,0.497
AF12,Paktika,2.047,2.808,0.924,7.905,9.171,0.188
AF13,Paktya,2.48,3.547,0.894,7.723,9.413,0.251
AF14,Khost,1.932,2.496,0.925,7.111,7.922,0.24
AF15,Kunar,0.879,1.244,0.959,4.314,4.753,0.405
AF17,Badakhshan,1.745,2.267,0.923,6.198,7.148,0.231
AF19,Kunduz,1.301,1.885,0.951,5.174,6.207,0.473
AF22,Sar-e-Pul,0.769,1.202,0.959,3.225,4.241,0.487
AF28,Jawzjan,1.758,2.819,0.947,9.334,11.251,0.163
AF29,Faryab,1.0,1.707,0.971,7.622,9.292,0.134
AF30,Hilmand,2.879,4.508,0.904,9.616,13.244,0.168
AF34,Nimroz,1.296,1.673,0.936,4.684,5.527,0.301
