adm1_pcode,region_name,avg_reliability,wfp_price_mean,wfp_inflation_mean,rain_1m,rain_3m,rain_anomaly_1m,rain_anomaly_3m,acled_events,acled_fatalities,idp_population
AF06,Nangarhar,94.21,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,47.92
AF07,Laghman,94.21,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,47.92
AF15,Kunar,94.21,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,47.92
AF05,Logar,94.04,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,46.4
AF09,Baghlan,94.04,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,46.4
AF13,Paktya,94.04,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,46.4
AF32,Hirat,94.04,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,46.4
AF27,Kandahar,94.04,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,46.4
AF21,Balkh,94.04,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,46.4
AF18,Takhar,94.04,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,46.4
AF19,Kunduz,94.04,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,46.4
AF14,Khost,94.04,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,46.4
AF01,Kabul,94.04,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,46.4
AF34,Nimroz,94.04,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,46.4
AF33,Farah,94.04,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,46.4
AF24,Daykundi,93.47,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,41.24
AF25,Uruzgan,93.47,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,41.24
AF03,Parwan,93.47,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,41.24
AF02,Kapisa,93.47,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,41.24
AF08,Panjsher,93.47,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,41.24
AF10,Bamyan,93.47,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,41.24
AF28,Jawzjan,93.47,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,41.24
AF22,Sar-e-Pul,93.47,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,41.24
AF20,Samangan,93.47,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,41.24
AF23,Ghor,93.47,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,41.24
AF29,Faryab,93.47,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,41.24
AF17,Badakhshan,93.47,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,41.24
AF16,Nuristan,93.33,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40.0
AF04,Maidan Wardak,93.28,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,39.52
AF12,Paktika,93.28,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,39.52
AF11,Ghazni,93.28,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,39.52
AF26,Zabul,93.28,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,39.52
AF31,Badghis,93.28,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,39.52
AF30,Hilmand,93.28,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,39.52
AFG-XXX,Hirat Urban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG-XXX,Faryab Urban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG-XXX,Baghlan Urban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG-XXX,Kunduz Urban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG-XXX,Balkh Urban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG-XXX,Nangarhar Urban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG-XXX,Jawzjan Urban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG-XXX,Kandahar Urban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG-XXX,Eastern Region,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG-XXX,Northern Region,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG-XXX,Central Region ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
