region_name,sax_representation
Kabul,aabcbdddba
Kapisa,cbaaadddcb
Parwan,aaabcdddcb
Maidan Wardak,aabcbcddba
Logar,ababcdddbb
Nangarhar,acdcccddaa
Laghman,bddbbcdbba
Panjsher,dbaaaccdcc
Baghlan,adcaabddcc
Bamyan,cddacccbaa
Ghazni,ccbbbdccaa
Paktika,ccbaadddbb
Paktya,addabcdcba
Khost,dbaaccddba
Kunar,abcbdcdcca
Nuristan,abdcbcdcba
Badakhshan,addccdccaa
Takhar,bdcabadbdb
Kunduz,acbabddbdb
Samangan,abcccdddaa
Balkh,abcccdddbb
Sar-e-Pul,cbbbbdcdaa
Ghor,acdcbdccba
Daykundi,cddcbcbaba
Uruzgan,bcddbdbcaa
Zabul,accccddcaa
Kandahar,addcccdcaa
Jawzjan,abbbddcccb
Faryab,abccdddcaa
Hilmand,bdcaccdbaa
Badghis,cddcacbbba
Hirat,acdcbdccba
Farah,addcabccca
Nimroz,cbcdbcdbba
