,Kabul,Kapisa,Parwan,Maidan Wardak,Logar,Nangarhar,Laghman,Panjsher,Baghlan,Bamyan,Ghazni,Paktika,Paktya,Khost,Kunar,Nuristan,Badakhshan,Takhar,Kunduz,Samangan,Balkh,Sar-e-Pul,Ghor,Daykundi,Uruzgan,Zabul,Kandahar,Jawzjan,Faryab,Hilmand,Badghis,Hirat,Farah,Nimroz
Kabul,0.0,7.97617386582354,3.674317192306587,5.4970329073539865,4.584640897445806,6.126959396716715,7.0734523913489245,11.63036279856853,7.45795021869153,8.783345667664186,8.828789347742886,9.151895143533185,6.287840430836337,9.175198017421383,5.518177235584083,5.590278814695585,7.0794945988767966,8.96908713114087,6.811890748570755,4.487995427402807,5.693071902101244,8.393563024013256,5.865829964519923,10.95558326613011,7.1516116131765015,5.1230677812574505,6.297221812045903,6.673360128994969,4.262996934607155,7.569231641095133,11.240974777465798,6.2663457210110804,8.631830060577355,7.338235358070022
Kapisa,7.97617386582354,0.0,6.261952960070062,10.003813254433712,8.738093692477257,11.700116831248463,9.050748707960224,6.214360889823884,7.464300400896396,8.149403065145988,5.996679134847659,4.642777519491543,7.311836396394557,6.128340799803124,11.233447113606445,12.13258039379958,9.867387141149733,7.828502076399333,8.416805224141457,9.651540731011083,11.18140125699494,7.167204271988529,11.067278895049597,10.56097354887026,10.422686269495655,11.341609683913752,10.44697615504053,9.92903667642979,9.737196085154451,7.425054217002228,10.182289856907165,11.174020575417932,11.109200547518352,10.986868928689256
Parwan,3.674317192306587,6.261952960070062,0.0,5.48808607788416,4.853418075515932,8.406070990753811,10.0675138481626,10.393448223374907,9.048498241995233,11.662746557886678,8.434037679990755,8.749677362959385,9.497766456875476,8.866331372973459,6.971746144400184,7.8811006344365655,9.822626975552284,10.36736197604087,7.3697787676889694,7.055056636453851,6.682085166076855,9.20450478696164,8.688587304222436,13.096443352944178,10.522104505657532,6.918028820900403,9.46331723132404,6.681348458801667,4.990001272091936,10.750170363978382,13.846460243279672,8.193387869004193,11.16221479570784,8.857532081193916
Maidan Wardak,5.4970329073539865,10.003813254433712,5.48808607788416,0.0,6.232891450125964,5.956467287442439,5.9384618770475095,11.733565494040844,7.8862853413201135,8.477895888450613,8.472670744440622,8.795643990785301,6.893626103700744,8.523742649765936,6.500211164784377,7.215651381211299,6.732194944731451,7.714710019434416,8.028671909575014,5.643980241634705,5.3037830296772634,8.444559346910774,7.341820091867025,9.424493115122173,7.6478954833037625,6.704700336391578,6.5370147130666965,8.53414142871969,6.349543573126425,8.307637193414797,10.374634642533893,7.418576973722659,8.47177174613711,8.035621374649157
Logar,4.584640897445806,8.738093692477257,4.853418075515932,6.232891450125964,0.0,9.216032970574892,8.224849273334204,11.343451342813717,7.880036773895983,9.32945079338214,8.441725900032248,8.914315089919752,8.466267956637942,9.977771916539508,6.443073099251226,8.99997370447344,9.318321623146685,8.311083847531748,6.613967342977164,7.129160940262236,5.127363726837858,9.851890995695934,8.620623881497027,10.771168557772443,9.824521632679433,7.478471589580627,8.619409129281696,4.52387148048288,6.200138495186511,8.652912558728367,12.285856680893227,8.571113853354579,10.86212373689275,8.71587540389697
Nangarhar,6.126959396716715,11.700116831248463,8.406070990753811,5.956467287442439,9.216032970574892,0.0,5.521062743701883,13.679543736386961,8.309155157768323,7.303725346239274,9.623888091291354,10.86706139857359,5.97827342410416,11.979611045653783,6.228622453718839,5.118934424761317,5.684626948771541,8.869406041741245,8.94860869066217,6.984017612941656,6.88773077252992,9.086907817255533,6.682217933255638,9.125114780136453,6.674936078521285,4.776047627586852,4.435524770879302,9.79413635680601,6.983884812190582,6.9213979289239616,8.599132221064702,5.246296770543532,5.248977144929456,7.435080506123255
Laghman,7.0734523913489245,9.050748707960224,10.0675138481626,5.9384618770475095,8.224849273334204,5.521062743701883,0.0,10.56998683584818,7.574789520496461,5.72280688763715,7.433035655053333,7.032275369128156,5.619019951295038,9.427005756602835,7.138149929025152,6.562881013096289,5.514974643569116,7.113863022682648,7.366286814337397,6.7396269805533215,5.748070533075672,7.954778361413331,6.321153696574182,5.6032533523802925,6.744821027612548,6.0294773436592655,6.1276760745298295,8.823199283873812,7.798435029247247,7.06183739678009,6.326189670086133,5.929911119823644,8.35290388774521,5.263915905108856
Panjsher,11.63036279856853,6.214360889823884,10.393448223374907,11.733565494040844,11.343451342813717,13.679543736386961,10.56998683584818,0.0,10.096865588273534,9.510554156523545,9.526797154262917,7.508269873485498,9.490097560700928,5.681302303242166,13.118953533082946,14.072601458843188,11.724089233056777,9.186121193823446,10.879301364328343,12.38072260363512,13.386632897322368,8.966575479682932,12.939404118730502,9.340106209026677,11.80043813193264,14.452634105205048,12.112634996720102,13.62184227548113,13.686751712496282,9.113226313020084,9.495565535966515,13.714059283691139,11.444432584004776,11.65195972084992
Baghlan,7.45795021869153,7.464300400896396,9.048498241995233,7.8862853413201135,7.880036773895983,8.309155157768323,7.574789520496461,10.096865588273534,0.0,8.055108532524141,8.4116852954996,7.32305445530303,5.297809727789334,9.449853143487196,8.047791876255461,5.690783749649061,7.37293126024522,7.730885329847912,6.400690409215929,9.853247310584416,6.423179747522653,10.280988419278447,5.781836480894061,10.171062067434416,9.400449911678406,8.659999288092942,8.061878283044406,7.218660896594919,9.963133166289671,5.758128259101847,9.373124968885396,7.336340448429593,6.997557647502728,8.042987154096421
Bamyan,8.783345667664186,8.149403065145988,11.662746557886678,8.477895888450613,9.32945079338214,7.303725346239274,5.72280688763715,9.510554156523545,8.055108532524141,0.0,6.397820987000261,6.481480572431268,5.506638014720103,7.529731607166062,9.676064823645792,7.705395989668686,7.266063884131215,7.695055017202795,9.255157856524272,8.39232602657634,9.363751604702777,8.078879725829708,7.257324411380288,6.194846845335535,6.14695806761848,8.525408910166743,6.805135481292124,10.15904522853028,9.322396411298657,5.502527176290559,5.963950703388977,8.811721212257918,7.525076731475874,5.764177564849639
Ghazni,8.828789347742886,5.996679134847659,8.434037679990755,8.472670744440622,8.441725900032248,9.623888091291354,7.433035655053333,9.526797154262917,8.4116852954996,6.397820987000261,0.0,5.161380831094605,7.696302930960196,6.871995554562424,9.738427407147787,9.924998017465619,7.201679129615179,6.422112195651546,7.422500459441782,6.715403835072457,8.66571241581236,5.7655745024911695,7.663639515212971,7.672029128388455,6.771742220042999,9.729983628663161,8.449445933959545,9.917826499050406,8.943925075704737,7.778238231256476,8.697199669899685,9.170298922297691,10.995118818994541,8.226872413493608
Paktika,9.151895143533185,4.642777519491543,8.749677362959385,8.795643990785301,8.914315089919752,10.86706139857359,7.032275369128156,7.508269873485498,7.32305445530303,6.481480572431268,5.161380831094605,0.0,7.823292843731062,7.259681986985448,10.374831826769588,9.911349147520736,7.608062408620166,7.160187287844452,7.513132415770699,9.366013861343093,10.146737361073729,8.004400036061858,8.143921874027383,8.368318058119225,8.072688106355244,10.85742567912588,10.18960418015461,10.12923188315439,10.554595319702873,8.312117599338398,8.190071001360472,10.173008720435716,10.587213680275696,8.058061143665547
Paktya,6.287840430836337,7.311836396394557,9.497766456875476,6.893626103700744,8.466267956637942,5.97827342410416,5.619019951295038,9.490097560700928,5.297809727789334,5.506638014720103,7.696302930960196,7.823292843731062,0.0,8.537239487915173,7.583631345669607,3.918795066935496,6.307936884667804,7.795702057603226,7.585442525134882,8.103086270173545,7.441324073912351,8.611424998790886,4.7474540538448915,7.79304012660089,6.646259891350844,6.678443811599624,5.368629012541412,9.321415093483584,7.942390729277806,4.179457922691312,6.98367428026236,6.2036520864774225,5.469017700319236,5.303295495097551
Khost,9.175198017421383,6.128340799803124,8.866331372973459,8.523742649765936,9.977771916539508,11.979611045653783,9.427005756602835,5.681302303242166,9.449853143487196,7.529731607166062,6.871995554562424,7.259681986985448,8.537239487915173,0.0,12.041517683640702,12.98917252334981,11.256711432762588,8.179954650658908,10.293334589491831,9.115409162660592,12.10275762816128,7.105054808634219,12.002666897344278,8.415827492101013,9.950034788883974,12.816748258651787,9.7781261300658,12.690743065568657,11.24132777629968,7.50196608784715,9.199061533734964,12.79038175526171,11.818232185845384,7.0164772300532094
Kunar,5.518177235584083,11.233447113606445,6.971746144400184,6.500211164784377,6.443073099251226,6.228622453718839,7.138149929025152,13.118953533082946,8.047791876255461,9.676064823645792,9.738427407147787,10.374831826769588,7.583631345669607,12.041517683640702,0.0,6.846429230515433,6.7952962669615395,6.898365515201119,7.327430207985764,6.009209636110552,5.59790032179537,10.3670300610507,6.144893471059276,9.720446325033953,8.798212256389894,6.322035867864804,6.906102858256911,7.1801854137061785,5.911666323549213,8.91008673443293,11.324304695280983,6.296864438542909,8.327523768663598,8.921854786529462
Nuristan,5.590278814695585,12.13258039379958,7.8811006344365655,7.215651381211299,8.99997370447344,5.118934424761317,6.562881013096289,14.072601458843188,5.690783749649061,7.705395989668686,9.924998017465619,9.911349147520736,3.918795066935496,12.98917252334981,6.846429230515433,0.0,6.580292946177363,7.5586926409720965,6.9241720963840425,8.317986907924157,6.838710586303165,11.294719425134256,4.952759798737887,9.65594609932119,7.8612818548384364,4.710025398760115,4.825858226448902,8.270462971805612,7.490227085792728,5.9634126356062005,8.751789077685762,3.9079259410100433,4.463094867836324,7.630411186127435
Badakhshan,7.0794945988767966,9.867387141149733,9.822626975552284,6.732194944731451,9.318321623146685,5.684626948771541,5.514974643569116,11.724089233056777,7.37293126024522,7.266063884131215,7.201679129615179,7.608062408620166,6.307936884667804,11.256711432762588,6.7952962669615395,6.580292946177363,0.0,5.714430969827707,7.440437047014079,6.2813314710034875,5.4005396288991525,8.386396275060218,5.510086257380898,7.5070545688011014,4.86738957885024,4.454036138986162,6.292762024060097,7.468515598026298,6.072876847490062,7.83284328851926,7.489067631919045,4.695374558234838,7.272371741456847,7.056172002702543
Takhar,8.96908713114087,7.828502076399333,10.36736197604087,7.714710019434416,8.311083847531748,8.869406041741245,7.113863022682648,9.186121193823446,7.730885329847912,7.695055017202795,6.422112195651546,7.160187287844452,7.795702057603226,8.179954650658908,6.898365515201119,7.5586926409720965,5.714430969827707,0.0,6.605537936545557,7.3549221815669705,6.409880222941771,7.522399826299368,5.52258402986594,7.95502654265453,6.604910181313416,7.941338134544628,8.960796426170836,9.317621683640676,9.343182104415458,9.379753381836005,8.846247762596438,6.475274284267967,8.64584023854771,8.914694831994087
Kunduz,6.811890748570755,8.416805224141457,7.3697787676889694,8.028671909575014,6.613967342977164,8.94860869066217,7.366286814337397,10.879301364328343,6.400690409215929,9.255157856524272,7.422500459441782,7.513132415770699,7.585442525134882,10.293334589491831,7.327430207985764,6.9241720963840425,7.440437047014079,6.605537936545557,0.0,8.170483559325746,5.432276595377796,9.504553227938755,6.416414677774562,9.480451939732228,9.417720189128726,8.407132410928263,8.555452904830444,7.039680383016806,8.643820513502577,8.453539263631653,11.067091511089897,7.03363433776258,8.429047167225729,9.26657235480227
