,Kabul,Kapisa,Parwan,Maidan Wardak,Logar,Nangarhar,Laghman,Panjsher,Baghlan,Bamyan,Ghazni,Paktika,Paktya,Khost,Kunar,Nuristan,Badakhshan,Takhar,Kunduz,Samangan,Balkh,Sar-e-Pul,Ghor,Daykundi,Uruzgan,Zabul,Kandahar,Jawzjan,Faryab,Hilmand,Badghis,Hirat,Farah,Nimroz
Kabul,0.0,1.007336635690087,0.6750715769266484,0.8460828758206154,0.8451777656630716,1.0618508004208704,1.3073177769266031,1.449916351308215,1.2656841101717433,1.4134888558203833,1.1731803343520228,1.2020629222138888,1.2472041803951348,1.2316775220307274,1.0209953388268171,1.1162561394957986,1.172758586429416,1.4920966609068933,1.2251845472822505,0.6441502096524478,0.8197909782065428,0.9743177852326835,1.2694722510120053,1.5056530664298158,1.17869820648414,0.8473341904966184,1.0601884590711377,0.9845040619138773,0.7854521909232305,1.3503902752286452,1.4991319185361418,1.0086932812280913,1.3833628302225347,0.9993253492760635
Kapisa,1.007336635690087,0.0,0.8740454444023081,1.1164207464703633,1.0912316913354112,1.427968871100102,1.2254335279597444,0.6443992056369348,1.230379985747011,1.3407903399638137,1.0051913789161884,0.720924324781965,1.2677041988802036,0.7193657934692297,1.1859506198920386,1.450037023834088,1.5442521700984486,1.2790118308597755,1.0861174543352445,1.1966175264710313,1.2885152452739628,0.9123047685133175,1.470374146466899,1.4753752855470763,1.4846995862195158,1.4118734173888359,1.4113666936845664,1.3411133085728844,1.3328245011877082,1.38354329131208,1.4696538338720622,1.4514912338048287,1.5143456014079524,1.2332834000457291
Parwan,0.6750715769266484,0.8740454444023081,0.0,1.001294502828118,0.7518195902148925,1.2935021126156132,1.4497338655763192,1.2267535617428478,1.320488095374483,1.4736405839893572,1.0428338984285397,1.0868523915621127,1.3167561095080704,1.1409245147761098,0.9888388950135695,1.3863344634655066,1.383645961159496,1.5436143332927137,1.0155519878440178,0.9662492549008306,0.9560957690027415,1.0032030482170466,1.3512885522980513,1.5839827197313747,1.4181314872276618,1.1350009478711625,1.3162250049641544,0.8457808188262962,0.9156232134344495,1.4356287273733934,1.6627874547223653,1.181444972364098,1.5123733169281084,1.231763609042347
Maidan Wardak,0.8460828758206154,1.1164207464703633,1.001294502828118,0.0,0.9008232567389148,0.8841868988744092,1.239794348785321,1.3463187303266986,1.3248142213057792,1.141346856758374,1.081959064834557,1.1790764069850097,1.0703700784271448,1.0193690753793336,0.7454285732048724,0.9510503475415725,1.2201064293817325,1.3128845394737576,1.2847928264581936,0.8343568473034831,0.6393990420903286,0.9824975362406018,1.0279762743966443,1.3655663133552745,1.0729783859770783,0.8602564107344727,1.0253555941395787,1.164495828520154,0.8572616407243789,1.2965755502154366,1.3525372509583327,0.968103363710455,1.1646998552397505,1.025179918794294
Logar,0.8451777656630716,1.0912316913354112,0.7518195902148925,0.9008232567389148,0.0,0.9788949489779074,1.191581226881329,1.359707497295134,1.0834053718986218,1.2147389914191786,1.0664177643164372,0.9997122851849518,0.9668678437267213,1.173905866470696,0.8937308232016857,1.1399135628226214,1.3319402799839466,1.2625569411722506,0.8612743712008174,1.0379631275176888,0.8927620267630114,1.1358709327393903,1.2596902087834954,1.5006327108251263,1.3722720999778781,0.8456847126582573,1.0196266790593753,0.7002545675616179,0.8504135643640155,1.0816883896247318,1.5304660001572807,1.0383429216426925,1.2582217768266744,1.2786775019410836
Nangarhar,1.0618508004208704,1.427968871100102,1.2935021126156132,0.8841868988744092,0.9788949489779074,0.0,0.8656803566097356,1.5535162778036584,1.0664853509048176,0.7697120991550779,0.9405850296312966,1.1221814823248837,0.63706448910006,1.354966156747375,0.8825989083635797,0.578187508334363,0.8147833379449854,1.3364413369644934,1.2188796086186715,0.7354094138616925,0.8132252340538308,0.9637101888797875,0.8419155836798943,1.0545489759057063,0.6829299765206567,0.49518411846889004,0.46269099904279226,1.0578308557969451,0.762818541280163,0.7929465117904396,0.9319168764677355,0.5451897852051028,0.7649655509516554,1.0991172454122737
Laghman,1.3073177769266031,1.2254335279597444,1.4497338655763192,1.239794348785321,1.191581226881329,0.8656803566097356,0.0,1.3195148092143925,1.1132548539397962,0.5771091580190792,1.0263159471966998,1.0241111520058936,0.6771308437362455,1.2615040971318534,1.093987376805461,0.7846298685678016,1.0614466781908476,0.9311400792354502,1.0265888764419593,1.211321989597771,1.170418745399056,1.0933374681701502,0.8699831825525508,0.7619310668060012,1.0951320993090505,0.9508855259975615,0.8110477932448085,1.3667580111278417,1.1024903168189895,0.7124804170226557,0.6144007108836634,0.9922134263856636,0.8797610500130885,1.0616974250695894
Panjsher,1.449916351308215,0.6443992056369348,1.2267535617428478,1.3463187303266986,1.359707497295134,1.5535162778036584,1.3195148092143925,0.0,1.3215055895035372,1.37455962397,1.092711439992275,0.7785713169804184,1.3898277427051384,0.769095865094628,1.401688303666472,1.6361160324975246,1.651333848848694,1.3071270033257967,1.2487210748306545,1.4969476879923385,1.5958699097499633,1.095486631492147,1.5735504095853325,1.4279119393338102,1.5276890070287055,1.6771581000027225,1.5821880882489505,1.5757227623902967,1.6352830000618852,1.5024879376800122,1.4234604737731005,1.636969635849573,1.5604523094528013,1.3394193714023377
Baghlan,1.2656841101717433,1.230379985747011,1.320488095374483,1.3248142213057792,1.0834053718986218,1.0664853509048176,1.1132548539397962,1.3215055895035372,0.0,1.2355921835592396,1.200342518240858,0.8871793671238506,0.9042546838934331,1.4628508740591275,1.156589783176622,1.063713363345056,1.1743895762073577,1.0511374211874418,0.839359602722379,1.2654021811801734,1.2449098728067025,1.4003416673800446,1.3583343191677213,1.3342316196331037,1.4381032166909091,1.136830411455946,0.9315943666831511,1.0757572306488075,1.3574850433525374,0.9774278049324385,1.3256382422469482,1.0594599575456782,0.9342865414755025,1.5480299180152155
Bamyan,1.4134888558203833,1.3407903399638137,1.4736405839893572,1.141346856758374,1.2147389914191786,0.7697120991550779,0.5771091580190792,1.37455962397,1.2355921835592396,0.0,0.8221102884265508,1.0754366811882365,0.6616267092362252,1.161468988804302,0.9564060235057896,0.8467290180999868,1.0490146046365216,1.1294174509469255,1.1713985158347777,1.1439393631789962,1.0403986977621154,1.001308478909502,0.8680014269234183,0.7703986182334385,0.9990999751552406,0.9369948342047356,0.8556083633244969,1.3169358672977762,0.9956671373075092,0.5705854880754717,0.7563585276254945,1.0046425907278103,0.9302069646618061,1.278413172075135
