adm1_pcode,region_name,hierarchical_shape_cluster,hierarchical_feature_cluster,kmeans_feature_cluster,sax_representation
AF01,Kabul,3,2,1,aabcbdddba
AF02,Kapisa,2,2,3,cbaaadddcb
AF03,Parwan,3,2,1,aaabcdddcb
AF04,Maidan Wardak,3,4,2,aabcbcddba
AF05,Logar,3,2,1,ababcdddbb
AF06,Nangarhar,4,3,0,acdcccddaa
AF07,Laghman,4,3,0,bddbbcdbba
AF08,Panjsher,1,4,1,dbaaaccdcc
AF09,Baghlan,4,4,2,adcaabddcc
AF10,Bamyan,4,3,0,cddacccbaa
AF11,Ghazni,2,4,2,ccbbbdccaa
AF12,Paktika,2,1,0,ccbaadddbb
AF13,Paktya,4,4,1,addabcdcba
AF14,Khost,1,4,2,dbaaccddba
AF15,Kunar,3,4,0,abcbdcdcca
AF16,Nuristan,4,2,1,abdcbcdcba
AF17,Badakhshan,4,4,0,addccdccaa
AF18,Takhar,2,4,2,bdcabadbdb
AF19,Kunduz,3,4,2,acbabddbdb
AF20,Samangan,3,2,0,abcccdddaa
AF21,Balkh,3,1,0,abcccdddbb
AF22,Sar-e-Pul,2,3,0,cbbbbdcdaa
AF23,Ghor,4,4,2,acdcbdccba
AF24,Daykundi,4,3,0,cddcbcbaba
AF25,Uruzgan,4,4,0,bcddbdbcaa
AF26,Zabul,4,2,3,accccddcaa
AF27,Kandahar,4,2,3,addcccdcaa
AF28,Jawzjan,3,1,0,abbbddcccb
AF29,Faryab,3,2,3,abccdddcaa
AF30,Hilmand,4,1,1,bdcaccdbaa
AF31,Badghis,4,2,3,cddcacbbba
AF32,Hirat,4,1,3,acdcbdccba
AF33,Farah,4,1,1,addcabccca
AF34,Nimroz,4,3,0,cbcdbcdbba
