date,wfp_price_mean,wfp_inflation_mean,rain_1m,rain_3m,rain_anomaly_1m,rain_anomaly_3m,acled_events,acled_fatalities,idp_population,ipc_phase_3plus_pct
2017-08-01,0.99,0.5,81.170586,236.8,137.72171,164.81781,45,69.0,,35.0
2017-09-01,0.99,-0.3,25.788235,242.55884,91.71193,163.421875,19,21.0,,35.0
2017-10-01,0.99,-0.49,5.547059,112.50588,76.9572,117.68911,25,32.0,,35.0
2017-11-01,1.01,0.71,25.888235,57.223526,178.55887,114.016136,47,6.0,,35.0
2017-12-01,1.01,1.05,41.905884,73.34118,204.69598,178.37802,26,18.0,8029.571428571428,35.0
2018-01-01,1.02,2.41,12.4,80.194115,44.615604,122.74318,39,10.0,,35.0
2018-02-01,1.01,1.15,87.12941,141.4353,145.34914,126.53205,32,18.0,,35.0
2018-03-01,1.01,1.05,76.088234,175.61765,139.16978,119.891914,31,13.0,8704.57142857143,35.0
2018-04-01,1.03,2.88,74.47059,237.68823,120.590546,136.68591,41,42.0,,35.0
2018-05-01,1.03,2.06,75.18236,225.74118,195.91246,148.77457,29,5.0,,35.0
2018-06-01,1.01,1.95,45.988235,195.64119,177.08226,159.71774,35,4.0,9672.0,35.0
2018-07-01,1.01,2.58,86.55294,207.72354,140.1064,170.08838,27,48.0,,35.0
2018-08-01,1.01,1.87,42.57647,175.11766,76.038864,122.77336,30,80.0,,15.0
2018-09-01,1.02,2.13,35.123528,164.25294,119.51989,111.72954,23,38.0,9672.0,15.0
2018-10-01,1.04,4.41,20.441177,98.141174,185.63295,103.302,19,9.0,,15.0
2018-11-01,1.03,2.09,14.994118,70.55882,115.5821,138.45125,16,33.0,,15.0
2018-12-01,1.04,2.98,22.7,58.135296,120.88205,143.75516,15,29.0,9672.0,15.0
2019-01-01,1.03,1.9,44.364708,82.05882,126.576805,125.42975,21,7.0,,15.0
2019-02-01,1.03,1.8,112.25294,179.31764,184.9856,159.26549,15,6.0,,15.0
2019-03-01,1.02,1.05,83.90588,240.52353,152.58704,162.97571,24,5.0,,15.0
2019-04-01,1.03,-0.1,91.3647,287.52353,146.22607,164.75395,26,11.0,,15.0
2019-05-01,1.03,0.32,45.91765,221.18823,124.408936,145.83896,18,37.0,,15.0
2019-06-01,1.03,2.74,26.905884,164.18823,110.80922,134.68004,24,72.0,9645.285714285714,15.0
2019-07-01,1.01,-0.02,78.48235,151.30588,127.75572,124.97824,38,22.0,,15.0
2019-08-01,1.0,-0.2,97.03529,202.42354,163.07741,141.38583,31,1.0,,15.0
2019-09-01,1.01,-0.67,15.805883,191.32353,61.97653,129.59973,37,10.0,,15.0
2019-10-01,1.01,-2.82,20.594116,133.43529,186.74887,138.65114,33,5.0,,15.0
2019-11-01,1.01,-2.87,32.770588,69.170586,218.34442,135.9075,37,20.0,,15.0
2019-12-01,1.03,-1.02,9.6,62.964703,63.713997,154.75143,23,26.0,9645.285714285714,15.0
2020-01-01,1.02,-1.24,64.4,106.77059,177.9496,161.03317,19,6.0,,15.0
2020-02-01,1.03,-0.33,45.588234,119.588234,79.81117,107.6544,13,13.0,,15.0
2020-03-01,1.0,-2.02,156.78824,266.77646,277.67328,180.40208,12,6.0,,15.0
2020-04-01,0.99,-3.36,124.141174,326.51764,195.96187,186.71605,17,10.0,,15.0
2020-05-01,1.0,-3.09,45.111763,326.04117,122.43989,213.44481,16,23.0,,15.0
2020-06-01,1.0,-2.92,21.888237,191.14117,93.38291,156.13557,24,122.0,10210.857142857143,15.0
2020-07-01,1.01,-0.8,40.335297,107.3353,69.37806,89.82047,14,51.0,,15.0
2020-08-01,1.01,0.15,41.876472,104.1,74.9201,74.365685,10,31.0,,30.0
2020-09-01,1.0,-0.37,25.035294,107.247055,89.46908,74.09804,19,66.0,,30.0
2020-10-01,1.0,-0.84,4.7647057,71.67647,71.24871,76.79603,43,56.0,,30.0
2020-11-01,1.0,-0.74,38.988235,68.78824,254.28743,135.20691,31,24.0,,30.0
2020-12-01,1.0,-3.15,19.641178,63.394115,107.53342,155.72917,34,21.0,10307.0,30.0
2021-01-01,1.0,-2.59,12.8,71.42941,45.64125,110.115456,34,13.0,,30.0
2021-02-01,1.0,-2.34,15.429411,47.87059,32.23072,45.68451,24,1.0,,30.0
2021-03-01,1.01,0.55,76.064705,104.29412,139.12941,72.54818,38,48.0,10463.857142857143,15.0
2021-04-01,1.01,1.56,76.91765,168.41176,124.30377,97.66828,29,5.0,,15.0
2021-05-01,1.01,1.16,48.247055,201.2294,130.10045,132.97014,33,50.0,,15.0
2021-06-01,1.02,1.61,21.217648,146.38235,91.053955,120.505905,41,76.0,11123.0,15.0
2021-07-01,1.03,2.88,125.75294,195.21764,200.09541,160.08897,17,96.0,,15.0
2021-08-01,1.05,4.36,42.752945,189.72351,76.32091,132.72913,19,108.0,,15.0
2021-09-01,1.06,5.8,30.252941,198.7588,105.01139,134.50801,0,0.0,,30.0
2021-10-01,1.09,8.7,19.894117,92.9,181.6413,98.05266,8,10.0,,30.0
2021-11-01,1.1,10.1,5.0352945,55.182354,58.012085,110.27597,3,2.0,,30.0
2021-12-01,1.11,11.24,19.029411,43.958824,104.86369,111.47622,2,4.0,12012.0,30.0
2022-01-01,1.11,11.43,69.829414,93.89413,191.87125,142.48143,3,2.0,,30.0
2022-02-01,1.1,9.82,20.270588,109.12942,39.868465,98.617134,4,2.0,,30.0
2022-03-01,1.09,8.3,33.364708,123.464714,65.84443,85.27341,2,0.0,,40.0
2022-04-01,1.06,4.98,22.97647,76.611755,42.452156,45.96505,17,68.0,13525.42857142857,40.0
2022-05-01,1.05,3.62,29.141176,85.48235,83.418365,58.340137,8,8.0,,40.0
2022-06-01,1.03,0.43,37.817646,89.93529,148.7058,75.571976,4,4.0,,40.0
2022-07-01,1.06,2.96,81.68236,148.64117,132.6528,122.84762,2,2.0,,40.0
2022-08-01,1.11,5.27,109.13529,228.63528,182.41617,159.25252,1,0.0,,40.0
2022-09-01,1.12,5.75,25.482353,216.3,90.80077,146.08754,2,0.0,,25.0
2022-10-01,1.14,4.8,4.8294115,139.44705,71.72084,144.67229,3,6.0,,25.0
2022-11-01,1.14,4.22,22.917646,53.229412,161.38647,106.697464,2,2.0,,25.0
2022-12-01,1.14,2.29,11.011765,38.75882,69.8749,99.63612,5,2.0,14769.285714285714,25.0
2023-01-01,1.14,2.98,27.841175,61.770588,84.20856,96.19953,7,8.0,,25.0
2023-02-01,1.13,2.97,29.05294,67.90588,53.724056,62.99664,7,3.0,,25.0
2023-03-01,1.11,1.5,91.97647,148.87057,166.43839,102.13752,4,7.0,,25.0
2023-04-01,1.1,3.58,30.388237,151.41766,53.698944,88.09694,6,3.0,,35.0
2023-05-01,1.1,4.88,55.188236,177.55295,147.06009,117.70432,4,4.0,,35.0
2023-06-01,1.09,6.46,29.676472,115.252945,120.43147,95.72575,0,0.0,,35.0
2023-07-01,1.08,1.71,53.035294,137.9,88.81328,114.25925,0,0.0,,35.0
2023-08-01,1.09,-1.36,25.12941,107.84119,48.154182,76.91579,3,5.0,,35.0
2023-09-01,1.09,-2.83,14.364705,92.52941,57.683544,64.38243,4,2.0,,35.0
2023-10-01,1.1,-3.43,10.029411,49.52353,109.662926,54.608547,6,4.0,,15.0
2023-11-01,1.08,-5.78,11.805882,36.2,97.15153,75.49339,4,2.0,,15.0
2023-12-01,1.07,-5.58,10.364706,32.199997,67.051155,84.702095,5,5.0,,15.0
2024-01-01,1.06,-7.19,23.629412,45.8,73.40912,73.18996,2,0.0,,15.0
2024-02-01,1.05,-6.89,61.02941,95.02353,104.17215,86.42849,0,0.0,,15.0
2024-03-01,1.05,-5.31,83.15294,167.81177,151.29478,114.710464,6,6.0,,25.0
2024-04-01,1.05,-4.45,160.1647,304.34708,250.62482,174.22925,5,0.0,,25.0
2024-05-01,1.05,-4.74,23.89412,267.2118,70.598045,175.51349,2,6.0,,25.0
2024-06-01,1.04,-4.57,28.7,212.7588,117.040184,173.344,5,4.0,,25.0
2024-07-01,1.04,-3.56,70.829414,123.42353,116.04419,102.68421,8,9.0,,25.0
2024-08-01,1.05,-3.82,80.411766,179.94116,136.50894,126.0612,4,0.0,,25.0
2024-09-01,1.05,-3.74,13.182353,164.42352,54.16156,111.84214,8,8.0,,15.0
2024-10-01,1.04,-5.78,8.27647,101.87058,96.87249,107.037224,5,3.0,,15.0
2024-11-01,1.03,-4.63,11.070588,32.52941,92.90094,68.76753,0,0.0,,15.0
2024-12-01,1.03,-4.1,11.141176,30.488234,70.43965,80.80451,12,10.0,,15.0
2025-01-01,1.03,-3.19,17.035294,39.24706,56.501038,63.748825,9,4.0,15078.142857142857,15.0
2025-02-01,1.03,-1.85,60.817646,88.99412,103.838036,81.2186,4,0.0,,15.0
2025-03-01,1.02,-2.7,23.84706,101.7,49.509518,70.82623,1,0.0,,15.0
2025-04-01,1.02,-2.89,26.464706,111.12942,47.74529,65.40595,2,0.0,,15.0
