,rf_projected,ridge_projected
2025-05-01,35.36666666666667,38.48927567436736
2025-06-01,38.1,40.38993490866687
2025-07-01,39.43333333333333,42.38436738753979
2025-08-01,38.8,44.382159387138046
2025-09-01,41.06666666666667,45.286141915993845
2025-10-01,39.56666666666667,45.172334585609455
2025-11-01,41.2,46.10324151648576
2025-12-01,41.733333333333334,45.33920544105608
2026-01-01,40.45333333333333,44.68962536085317
2026-02-01,40.553333333333335,44.51132744002385
2026-03-01,40.553333333333335,45.25470119956347
2026-04-01,41.333333333333336,44.14829887629791
