date,wfp_price_mean,wfp_inflation_mean,rain_1m,rain_3m,rain_anomaly_1m,rain_anomaly_3m,acled_events,acled_fatalities,idp_population,ipc_phase_3plus_pct
2017-08-01,1.15,14.12,0.23050514,2.8391366,97.83237,92.925735,93,279.0,22295.799037737306,28.000000000000004
2017-09-01,1.15,10.21,0.21677293,2.781756,99.434456,93.21867,66,220.0,21856.52367358555,28.000000000000004
2017-10-01,1.14,6.94,2.9279058,3.375184,94.022835,92.80255,105,249.0,21376.596903431044,28.000000000000004
2017-11-01,1.14,5.62,16.911232,20.05591,170.40367,151.51639,57,190.0,20884.25632410461,28.000000000000004
2017-12-01,1.13,5.63,21.666504,41.505642,90.79504,114.37598,66,179.0,22688.875,28.000000000000004
2018-01-01,1.14,6.45,12.353604,50.93134,40.480167,74.15179,55,128.0,22688.875,28.000000000000004
2018-02-01,1.13,5.73,34.55665,68.57675,86.75883,67.95836,34,79.0,22688.875,28.000000000000004
2018-03-01,1.13,4.88,38.35802,85.268265,97.47103,73.42096,57,225.0,22688.875,28.000000000000004
2018-04-01,1.14,5.99,17.89946,90.814125,114.92632,95.812096,82,104.0,22688.875,28.000000000000004
2018-05-01,1.08,0.96,4.951937,61.20942,102.04368,103.192696,83,181.0,22688.875,28.000000000000004
2018-06-01,1.09,-2.28,0.20107895,23.052477,97.49872,112.153946,62,201.0,22688.875,28.000000000000004
2018-07-01,1.09,-7.55,2.3428152,7.4958315,94.68479,97.30331,84,311.0,22688.875,28.000000000000004
2018-08-01,1.09,-5.46,0.22511034,2.7690043,97.73147,92.09438,69,212.0,22688.875,50.0
2018-09-01,1.1,-4.13,0.22511035,2.793036,99.59337,93.353806,63,362.0,22688.875,50.0
2018-10-01,1.12,-2.18,3.0245218,3.4747424,95.16867,93.90573,71,144.0,22688.875,50.0
2018-11-01,1.12,-1.36,8.848946,12.098578,107.70327,103.397354,53,128.0,22688.875,50.0
2018-12-01,1.11,-2.29,16.290829,28.164295,72.491745,81.56426,66,240.0,22688.875,50.0
2019-01-01,1.07,-5.79,40.3693,65.50908,105.83144,93.47844,119,386.0,23570.5625,50.0
2019-02-01,1.05,-7.66,77.09171,133.75185,180.05016,128.15663,96,410.0,24452.25,50.0
2019-03-01,1.01,-10.0,121.464935,238.92593,284.2996,198.40057,79,197.0,25333.9375,50.0
2019-04-01,1.07,-5.93,56.579697,255.13632,309.05222,260.1308,68,118.0,26215.625,50.0
2019-05-01,1.11,2.65,6.6611085,184.70572,119.568924,295.67163,109,305.0,27097.3125,50.0
2019-06-01,1.1,1.56,0.25895047,63.499756,98.583565,273.8624,96,328.0,27979.0,50.0
2019-07-01,1.11,1.39,2.4771948,9.397254,96.417595,112.10942,118,382.0,28302.104166666668,50.0
2019-08-01,1.11,1.41,0.31976458,3.0559096,99.50189,95.49538,105,286.0,28625.208333333332,35.0
2019-09-01,1.11,0.72,0.20598334,3.0029428,99.22879,95.86831,132,210.0,28948.3125,35.0
2019-10-01,1.11,-0.61,4.7371264,5.2628736,115.4797,113.71939,90,162.0,29271.416666666668,35.0
2019-11-01,1.1,-1.57,27.65179,32.5949,253.933,227.3413,90,248.0,29594.520833333332,35.0
2019-12-01,1.1,-0.19,25.199608,57.588524,102.82466,153.9302,88,250.0,29917.625,35.0
2020-01-01,1.1,2.5,109.24081,162.09221,266.4857,221.52495,80,156.0,30168.770833333332,35.0
2020-02-01,1.18,12.76,30.826876,165.26729,78.578384,157.26552,64,125.0,30419.916666666668,35.0
2020-03-01,1.18,16.02,51.53899,191.60667,127.102516,159.9128,70,135.0,30671.0625,35.0
2020-04-01,1.1,2.24,23.158413,105.52428,141.31963,110.521935,42,229.0,30922.208333333332,45.0
2020-05-01,1.1,-1.23,6.6625795,81.359985,119.584015,134.59898,61,176.0,31173.354166666668,45.0
2020-06-01,1.09,-0.65,0.24227563,30.06327,98.27098,140.18314,92,269.0,31424.5,45.0
2020-07-01,1.1,-0.44,2.4879844,9.392839,96.55673,112.07504,104,505.0,31792.416666666668,45.0
