lag,acled_events,acled_fatalities,idp_population,rain_1m,rain_3m,rain_anomaly_1m,rain_anomaly_3m,wfp_inflation_mean,wfp_price_mean
-12,0.42221284075079485,0.2484674530288932,0.09782134577266614,0.14123601548059087,0.27842123513285166,0.18135648974454474,0.1521111325663946,0.4076475539079837,0.2311045101805356
-11,0.3622024431760322,0.1819313963926934,0.05384884180723485,0.11522517802371238,0.27362350710500427,-0.017369611699556527,0.05392915536899456,0.4254827326310618,0.13195464779162816
-10,0.3419764490890729,0.15048950564273492,-0.004224701634891359,0.1805353190900779,0.26694496326446066,0.07320783484416132,0.0920306775042651,0.45404036022129296,0.07550947329487444
-9,0.25293353108029276,0.1009788677386705,-0.06920470590633437,0.1458119055305048,0.18329132661671946,0.026019391609414574,0.04755639591039426,0.4319559504223954,0.026678484646270994
-8,0.19355011397985425,0.06105135384309893,-0.12466162979473057,0.14845292792934214,0.06768118012289893,0.03777911861051527,0.004416464973974008,0.33589836293910874,-0.027315350369857126
-7,0.09439441475651995,0.033090857358383,-0.16320630382560308,0.026371608717077912,-0.07397541954876945,-0.008357412310923242,-0.0035080422085437147,0.25708064959486004,-0.049969930363459134
-6,0.05081882591842598,0.017622079519411964,-0.1937288456934296,-0.10160195929024318,-0.1597783750336211,0.0020030824100090417,0.07665415047000185,0.2135263680693058,-0.04383181941256175
-5,0.028391235211699027,0.057460011170901194,-0.2173510552109639,-0.13480022159797622,-0.17490084475320503,0.09384196398728029,0.1415460078805012,0.20339053381356048,-0.008326320396031098
-4,0.11448388949052891,0.17104603319258155,-0.2371662332656911,-0.14983973296326641,-0.1422083411786703,0.10525076124693844,0.1735328072855047,0.21399647173367686,0.02411006980198845
-3,0.19897840930096197,0.23836587397965892,-0.20446397199528812,-0.12369835966268015,-0.059173768477201336,0.14839967828890943,0.24397644842497918,0.19163830336175736,0.09095282235718027
-2,0.2825547363500748,0.30225251875815673,-0.18938333767768098,-0.0324637554906983,0.11069480241762825,0.2177434858001754,0.3442137702969628,0.18841771107776825,0.12816166727967906
-1,0.32361651597876906,0.3494509471910276,-0.18777678027298442,0.03662487764037156,0.24942117189112403,0.2085842683747126,0.3269923355089609,0.13915425270070414,0.07875749314359956
0,0.3204602734568267,0.336677347001777,-0.19400537868687104,0.21734762128817933,0.32780470779100773,0.23389691605700258,0.2451250832659751,0.07107041612523286,-0.03418732785109186
1,0.29636632159351645,0.32413693803920746,-0.2629031165926937,0.23190239169958995,0.3309867384186331,0.13016929906884264,0.1361345780593757,0.13101002842648507,-0.15710086545451316
2,0.26947258307312066,0.2870396502219832,-0.3288864206024215,0.24997108159202355,0.31682187545209295,0.06103117432662083,0.10904926783346537,0.20342213266850365,-0.24466112264862167
3,0.24905469315169007,0.2821684202644944,-0.39058990305467634,0.22456203385088014,0.2731446943408625,0.03226348009152612,0.12782959901684418,0.2585080230915077,-0.29915977210569844
4,0.23704171896504853,0.2767312065397562,-0.4507919168140508,0.20262934214702552,0.19016504596648523,0.07617262113574354,0.1686990747334854,0.33536243595666093,-0.3028298318397211
5,0.25894786558773303,0.2834821427049994,-0.46670698147783024,0.15215992432184927,0.10321888592634319,0.06966965760161206,0.2015362353992354,0.35750366406775547,-0.264824262959786
6,0.2673092286718071,0.31368460892097655,-0.4770441901101868,0.04590511146119175,0.031041153672743012,0.10949639193740912,0.3025044606750184,0.38670432065232113,-0.22760840777718264
7,0.3166617932106454,0.2974529046496425,-0.4859148073716018,0.01934047776303181,0.004673830958091278,0.17621427387665325,0.3874753209413345,0.37694166307068433,-0.1971965721584585
8,0.2872291683368613,0.2897618109754971,-0.4928780807225827,-0.0002549763775997004,0.010352610975471533,0.2553941902760956,0.41607860905544214,0.33864837097523254,-0.18980391928191964
9,0.2829381861867438,0.3151731776390542,-0.5017657678059118,-0.009727095373325546,0.05685272204978617,0.2570305104711522,0.40995885170527635,0.29679450246066075,-0.2079000487801363
10,0.31870229880839396,0.3217789011808257,-0.5187136812800759,0.03140944524898419,0.127323820934302,0.2601017636173786,0.3650427403733203,0.2762784333376167,-0.25876690610723035
11,0.288507343802898,0.2414335203192682,-0.5396314699876025,0.0972844402195872,0.22889832631392365,0.2611795439164662,0.3230557375605852,0.23656836443361506,-0.3433801255921136
12,0.24508363227941027,0.19405769668938114,-0.5645898456528241,0.13823737920548654,0.2974309481586442,0.17561891822844797,0.18647694489712444,0.24205027141400007,-0.42791019252300017
