date,actual,actual_train,actual_test,forecast_holt-winters,forecast_sarimax,forecast_var
2017-08-01,35.0,35.0,,,,
2017-09-01,35.0,35.0,,,,
2017-10-01,35.0,35.0,,,,
2017-11-01,35.0,35.0,,,,
2017-12-01,52.0,52.0,,,,
2018-01-01,52.0,52.0,,,,
2018-02-01,52.0,52.0,,,,
2018-03-01,52.0,52.0,,,,
2018-04-01,52.0,52.0,,,,
2018-05-01,52.0,52.0,,,,
2018-06-01,52.0,52.0,,,,
2018-07-01,52.0,52.0,,,,
2018-08-01,60.0,60.0,,,,
2018-09-01,60.0,60.0,,,,
2018-10-01,60.0,60.0,,,,
2018-11-01,60.0,60.0,,,,
2018-12-01,60.0,60.0,,,,
2019-01-01,60.0,60.0,,,,
2019-02-01,60.0,60.0,,,,
2019-03-01,60.0,60.0,,,,
2019-04-01,60.0,60.0,,,,
2019-05-01,60.0,60.0,,,,
2019-06-01,60.0,60.0,,,,
2019-07-01,60.0,60.0,,,,
2019-08-01,60.0,60.0,,,,
2019-09-01,60.0,60.0,,,,
2019-10-01,60.0,60.0,,,,
2019-11-01,60.0,60.0,,,,
2019-12-01,60.0,60.0,,,,
2020-01-01,60.0,60.0,,,,
2020-02-01,60.0,60.0,,,,
2020-03-01,60.0,60.0,,,,
2020-04-01,55.00000000000001,55.00000000000001,,,,
2020-05-01,55.00000000000001,55.00000000000001,,,,
2020-06-01,55.00000000000001,55.00000000000001,,,,
2020-07-01,55.00000000000001,55.00000000000001,,,,
2020-08-01,45.0,45.0,,,,
2020-09-01,45.0,45.0,,,,
2020-10-01,45.0,45.0,,,,
2020-11-01,45.0,45.0,,,,
2020-12-01,45.0,45.0,,,,
2021-01-01,45.0,45.0,,,,
2021-02-01,45.0,45.0,,,,
2021-03-01,65.0,65.0,,,,
2021-04-01,65.0,65.0,,,,
2021-05-01,65.0,65.0,,,,
2021-06-01,65.0,65.0,,,,
2021-07-01,65.0,65.0,,,,
2021-08-01,65.0,65.0,,,,
2021-09-01,55.00000000000001,55.00000000000001,,,,
2021-10-01,55.00000000000001,55.00000000000001,,,,
2021-11-01,55.00000000000001,55.00000000000001,,,,
2021-12-01,55.00000000000001,55.00000000000001,,,,
2022-01-01,55.00000000000001,55.00000000000001,,,,
2022-02-01,55.00000000000001,55.00000000000001,,,,
2022-03-01,55.00000000000001,55.00000000000001,,,,
2022-04-01,55.00000000000001,55.00000000000001,,,,
2022-05-01,55.00000000000001,55.00000000000001,,,,
2022-06-01,55.00000000000001,55.00000000000001,,,,
2022-07-01,55.00000000000001,55.00000000000001,,,,
2022-08-01,55.00000000000001,55.00000000000001,,,,
2022-09-01,50.0,50.0,,,,
2022-10-01,50.0,50.0,,,,
2022-11-01,50.0,50.0,,,,
2022-12-01,50.0,50.0,,,,
2023-01-01,50.0,50.0,,,,
2023-02-01,50.0,50.0,,,,
2023-03-01,50.0,50.0,,,,
2023-04-01,55.00000000000001,55.00000000000001,,,,
2023-05-01,55.00000000000001,55.00000000000001,,,,
2023-06-01,55.00000000000001,55.00000000000001,,,,
2023-07-01,55.00000000000001,55.00000000000001,,,,
2023-08-01,55.00000000000001,55.00000000000001,,,,
2023-09-01,55.00000000000001,55.00000000000001,,,,
2023-10-01,40.0,40.0,,,,
2023-11-01,40.0,40.0,,,,
2023-12-01,40.0,40.0,,,,
2024-01-01,40.0,40.0,,,,
2024-02-01,40.0,40.0,,,,
2024-03-01,45.0,45.0,,,,
2024-04-01,45.0,45.0,,,,
2024-05-01,45.0,,45.0,44.99825316089571,45.93820662632303,47.22953611460034
2024-06-01,45.0,,45.0,44.99833472689221,46.666645590420735,48.06506955875261
2024-07-01,45.0,,45.0,44.998468354336495,47.174568866543936,49.581642519164824
2024-08-01,45.0,,45.0,44.653124622657664,45.755071884492494,50.475890949571074
2024-09-01,40.0,,40.0,42.51037958005813,43.482694763194324,49.9913613146601
2024-10-01,40.0,,40.0,40.36745930950606,41.49202305825078,49.306474603042474
2024-11-01,40.0,,40.0,40.36753392446545,41.562256571213936,48.92915253437187
2024-12-01,40.0,,40.0,42.796182713762406,41.94491526304183,49.18719744246863
2025-01-01,40.0,,40.0,42.79619044302022,41.965927143377904,49.93745931169302
2025-02-01,40.0,,40.0,42.79623469080379,42.03625826437613,50.950731675152305
2025-03-01,40.0,,40.0,46.367781789253165,46.15261346415212,51.98697728846047
2025-04-01,40.0,,40.0,46.367917781345334,46.188714461595936,52.79597568221652
