lag,acf,pacf
0,1.0,1.0
1,-0.0078635670258219,-0.007949979850281489
2,-0.007948121509970544,-0.00818846614094205
3,-0.008032675994119144,-0.00843475758867341
4,0.03569924832789195,0.03712815761873052
5,-0.008201784962416404,-0.00823306094866666
6,-0.12513028292965744,-0.13367846922044707
7,0.020840091940059535,0.021306436987562415
8,0.0847339467272238,0.09195284781827705
9,-0.002983565369244268,-0.003752331672120175
10,-0.0030681198533928956,0.006245011232078726
11,-0.03236366020831466,-0.04000340598676682
12,-0.10880954188725621,-0.15430551823005642
13,-0.06507761756524504,-0.07413880472591412
14,-0.006740200307847357,0.016268938137232347
15,-0.006824754791995998,-0.011137534444194054
16,-0.006909309276144592,-0.007499473715133571
17,-0.10923231430799919,-0.14886179282911816
18,0.007527074690944763,-0.04056373495482938
19,-0.037485246105316936,-0.05943239483763771
20,-0.13980825113717157,-0.16714545855717994
21,-0.00844336920284102,-0.0013721398827022634
22,-0.00852792368698966,-0.024286384127739175
23,0.035204000635021375,-0.011273047484637555
24,0.022736528227393027,0.0171387844416674
