lag,acled_events,acled_fatalities,idp_population,rain_1m,rain_3m,rain_anomaly_1m,rain_anomaly_3m,wfp_inflation_mean,wfp_price_mean
-12,0.6241343830357564,0.3667442643216678,0.8626060358919451,0.20742428570438365,0.15276187709206612,0.24248828121871058,0.3341905354768135,-0.04646412722787261,-0.2871726249242044
-11,0.6089550131533588,0.37584503563176225,0.8708008264333604,0.10197914785376706,0.08278795406392937,0.24435235401752228,0.31133408408677066,0.03273889442883227,-0.24543455052564117
-10,0.5626949576422028,0.3518518765769321,0.8713469897626375,0.06970365926077517,0.08163205571133186,0.2617734258814111,0.35887155105156543,0.10229944982627896,-0.170400094382123
-9,0.5579364068233995,0.36243394509579474,0.8667243234637374,0.06947570159703038,0.09951968069773863,0.27302459377667615,0.3984414016799045,0.18729752900201133,-0.08973907003717461
-8,0.5457965990012882,0.3948400197688324,0.8563387754978233,0.08421957622992061,0.14918954509252383,0.31693231629695207,0.43508584841129083,0.23147052510468866,-0.038425541963330694
-7,0.5041870152747364,0.40716006513030456,0.8413301891211237,0.10204554069759453,0.18692253517767066,0.33584792356916215,0.45025851025023944,0.2631744210752587,-0.01493105187716669
-6,0.47349841446686,0.3995932212363959,0.8245632899017473,0.15977428074320452,0.22158175306217617,0.3941801951652915,0.48030871410348797,0.2566226814684303,-0.031887614251376296
-5,0.43927388233299186,0.41174476749601185,0.8051543284589413,0.1706323620226754,0.24369595453774978,0.39584804477093755,0.48216702831670566,0.21960986423664816,-0.07624606639709386
-4,0.4192154630399891,0.369808607000988,0.7822949253861625,0.20256975650302467,0.2728538099737861,0.402023816390216,0.4721453105348636,0.1841284716432126,-0.14607940680031245
-3,0.39723422090532073,0.33812448237702375,0.7363046706129415,0.22900832816215436,0.28645546129262867,0.3927992024884637,0.43924022147394276,0.17985846389278176,-0.18953834302361316
-2,0.3885778453363679,0.3303288315613857,0.6926154942629238,0.23406135174383075,0.2670658874006967,0.36909090835693403,0.3861828073944208,0.17459217485159573,-0.23333513138274234
-1,0.38266323598029095,0.3319395199325949,0.6537319693609808,0.22677710305704876,0.22327865640964437,0.32280155351652684,0.33182778917952443,0.15624485303604796,-0.26805163645205077
0,0.3786901098066663,0.3320399494611359,0.6193456873011396,0.17564586680167654,0.17312303545238325,0.28033692773840246,0.3173628748487827,0.13150807456410377,-0.30574663665751317
1,0.34648209584624107,0.30763236069325595,0.5731453071886412,0.1356171326551762,0.16777132551199145,0.25459619577574555,0.3217318130948156,0.059099749690596434,-0.3913653547515011
2,0.36747661896990125,0.39440247755663277,0.5239800760023438,0.1397652043111983,0.16155198029940118,0.24690733342021987,0.24466238729873704,0.008645701859259265,-0.4543466724774111
3,0.4158069452604696,0.42682212183360835,0.4729133856841743,0.1632424510200851,0.1423212947555511,0.25910813289775453,0.17939314785254326,0.011575376908200943,-0.4756006186455686
4,0.43985010327586777,0.41366633433017824,0.42076384097710656,0.119855227710913,0.10163344816798241,0.161296483307359,0.11420250878378431,0.07711122244059795,-0.4567536267118532
5,0.4527754051091111,0.39191214470081936,0.36885964985469777,0.09173487278499166,0.06414261015270784,0.10484647794229587,0.05805924937300864,0.11071499660937774,-0.44944198621341264
6,0.4815575366337138,0.39761741068522477,0.31771233187683645,0.060384941917853846,0.0380525753419326,0.05348476244171705,0.01589167599607213,0.1222373136908157,-0.4439069778164322
7,0.48350244102646645,0.3718786729463123,0.27665834483169194,0.02513184427227301,0.028366701284000994,0.02102117655869532,0.01957683895536162,0.11467886855524123,-0.43173304108293387
8,0.4891300620743896,0.33619762262100206,0.24546385007461605,0.02605315911845603,0.030095073173979706,0.020929011682711263,0.011413779617150219,0.08560886652964945,-0.4394056876521426
9,0.46265714765650706,0.27465250669470176,0.23782440618451392,0.03639702502828124,0.024990653945336068,0.03491477749676778,0.005289271739141807,0.04199721348296228,-0.4289250215487159
10,0.5107571884441512,0.28832881018489975,0.23464573246959655,0.029824183561371564,0.0009740287067178065,-0.004165474509553931,0.004429908889804974,0.0131162407494198,-0.42662301596680335
11,0.5147523147604015,0.2624487451465207,0.23640984093573175,0.013371963483813941,-0.030944998958999746,-0.011582709197464807,0.005225169481688317,0.006170429459859316,-0.41709241302052624
12,0.5426873974959189,0.23700144347900542,0.24330630641853937,-0.024081512632841383,-0.051992966490951406,0.0027043623965805337,0.001874521900711487,-0.004804554197527192,-0.41562938252639814
