date,value,matrix_profile,matrix_profile_index
2017-08-01,60.0,0.0,12.0
2017-09-01,60.0,0.44893473239236664,38.0
2017-10-01,60.0,0.32036448601393447,39.0
2017-11-01,60.0,0.2510139559539023,40.0
2017-12-01,60.0,0.19707523593328433,41.0
2018-01-01,60.0,0.1395176812791952,42.0
2018-02-01,60.0,0.0,43.0
2018-03-01,60.0,9.545120528441684e-16,69.0
2018-04-01,60.0,1.0375290085500448e-15,70.0
2018-05-01,60.0,0.0,71.0
2018-06-01,60.0,1.3299526536404359e-15,72.0
2018-07-01,60.0,1.691876318965998e-15,73.0
2018-08-01,75.0,0.0,0.0
2018-09-01,75.0,2.083702585933651e-15,74.0
2018-10-01,75.0,1.5992607561452414e-15,75.0
2018-11-01,75.0,1.1102230246251565e-16,76.0
2018-12-01,75.0,1.2593407448097896e-15,77.0
2019-01-01,75.0,0.0,36.0
2019-02-01,75.0,0.0,37.0
2019-03-01,75.0,1.1762602059271538e-15,56.0
2019-04-01,75.0,1.2593407448097896e-15,81.0
2019-05-01,75.0,0.4705373698232959,57.0
2019-06-01,75.0,0.4358426230059248,58.0
2019-07-01,75.0,0.36982638901330034,76.0
2019-08-01,65.0,2.220446049250313e-16,77.0
2019-09-01,65.0,0.1620473536325853,61.0
2019-10-01,65.0,0.19707523593328427,49.0
2019-11-01,65.0,0.21954465172928636,56.0
2019-12-01,65.0,0.24196965349336283,81.0
2020-01-01,65.0,0.4803087820779828,52.0
2020-02-01,65.0,0.5338671637916239,53.0
2020-03-01,65.0,0.6231806094137079,54.0
2020-04-01,50.0,9.538392452234968e-16,57.0
2020-05-01,50.0,8.473409486550036e-16,58.0
2020-06-01,50.0,5.640599496620651e-16,59.0
2020-07-01,50.0,5.585701844806365e-16,60.0
2020-08-01,45.0,0.0,17.0
2020-09-01,45.0,0.0,18.0
2020-10-01,45.0,0.44893473239236664,1.0
2020-11-01,45.0,0.32036448601393447,2.0
2020-12-01,45.0,0.2510139559539023,3.0
2021-01-01,45.0,0.19707523593328433,4.0
2021-02-01,45.0,0.1395176812791952,5.0
2021-03-01,40.0,0.0,6.0
2021-04-01,40.0,0.13951768127919498,7.0
2021-05-01,40.0,0.19707523593328402,70.0
2021-06-01,40.0,0.25101395595390197,9.0
2021-07-01,40.0,0.3203644860139339,72.0
2021-08-01,40.0,0.44893473239236603,11.0
2021-09-01,60.0,1.3888885600717775e-15,18.0
2021-10-01,60.0,0.38517502574141244,27.0
2021-11-01,60.0,0.4075093260398152,32.0
2021-12-01,60.0,0.39856086637219285,34.0
2022-01-01,60.0,0.4075093260398144,35.0
2022-02-01,60.0,0.43929966331593834,17.0
2022-03-01,55.00000000000001,1.3888885600717775e-15,18.0
2022-04-01,55.00000000000001,1.6653345369377348e-16,80.0
2022-05-01,55.00000000000001,9.538392452234968e-16,32.0
2022-06-01,55.00000000000001,8.473409486550036e-16,33.0
2022-07-01,55.00000000000001,5.640599496620651e-16,34.0
2022-08-01,55.00000000000001,5.585701844806365e-16,35.0
2022-09-01,50.0,0.0,17.0
2022-10-01,50.0,0.0,18.0
2022-11-01,50.0,0.5564993176482491,19.0
2022-12-01,50.0,0.7653668647301796,20.0
2023-01-01,50.0,0.6892128094238771,40.0
2023-02-01,50.0,0.5795682973768602,41.0
2023-03-01,50.0,0.4211356625464838,42.0
2023-04-01,45.0,0.0,6.0
2023-05-01,45.0,9.545120528441684e-16,7.0
2023-06-01,45.0,1.0375290085500448e-15,8.0
2023-07-01,45.0,0.0,9.0
2023-08-01,45.0,1.3299526536404359e-15,10.0
2023-09-01,45.0,1.691876318965998e-15,11.0
2023-10-01,50.0,2.083702585933651e-15,13.0
2023-11-01,50.0,1.5992607561452414e-15,14.0
2023-12-01,50.0,1.1102230246251565e-16,15.0
2024-01-01,50.0,2.220446049250313e-16,24.0
2024-02-01,50.0,1.2077131052320607e-15,17.0
2024-03-01,50.0,0.0,18.0
2024-04-01,50.0,1.6653345369377348e-16,56.0
2024-05-01,50.0,1.2593407448097896e-15,20.0
2024-06-01,50.0,,
2024-07-01,50.0,,
2024-08-01,50.0,,
2024-09-01,25.0,,
2024-10-01,25.0,,
2024-11-01,25.0,,
2024-12-01,25.0,,
2025-01-01,25.0,,
2025-02-01,25.0,,
2025-03-01,25.0,,
2025-04-01,25.0,,
