date,value,matrix_profile,matrix_profile_index
2017-08-01,15.0,0.2654663020508172,39.0
2017-09-01,15.0,0.9212756575608008,40.0
2017-10-01,15.0,0.7750135325942734,45.0
2017-11-01,15.0,0.5622108018146771,46.0
2017-12-01,24.0,1.5700924586837752e-16,24.0
2018-01-01,24.0,1.6653345369377348e-16,36.0
2018-02-01,24.0,0.0,37.0
2018-03-01,24.0,0.18723319756483284,38.0
2018-04-01,24.0,0.2654663020508172,39.0
2018-05-01,24.0,0.33820395745152554,40.0
2018-06-01,24.0,0.4290468867141407,41.0
2018-07-01,24.0,0.5867923748912972,54.0
2018-08-01,40.0,0.0,61.0
2018-09-01,40.0,4.965068306494546e-16,80.0
2018-10-01,40.0,4.053961296325412e-16,81.0
2018-11-01,40.0,1.1102230246251565e-16,65.0
2018-12-01,40.0,8.881784197001252e-16,66.0
2019-01-01,40.0,8.881784197001252e-16,67.0
2019-02-01,40.0,0.0,43.0
2019-03-01,40.0,8.759511914735174e-16,56.0
2019-04-01,40.0,6.843874359417885e-16,70.0
2019-05-01,40.0,0.38164735045449827,58.0
2019-06-01,40.0,0.5804793870236912,59.0
2019-07-01,40.0,0.6313467703570114,35.0
2019-08-01,15.0,1.5700924586837752e-16,4.0
2019-09-01,15.0,0.5715592243432424,5.0
2019-10-01,15.0,0.7653668647301796,6.0
2019-11-01,15.0,0.8275313296529272,50.0
2019-12-01,15.0,0.8787028923192178,51.0
2020-01-01,15.0,0.8970905141988774,67.0
2020-02-01,15.0,0.7653668647301796,18.0
2020-03-01,15.0,0.5715592243432424,19.0
2020-04-01,30.0,0.5715592243432424,20.0
2020-05-01,30.0,0.6093519983622678,21.0
2020-06-01,30.0,0.5863809833021104,46.0
2020-07-01,30.0,0.4437905821874779,47.0
2020-08-01,15.0,1.6653345369377348e-16,5.0
2020-09-01,15.0,0.0,6.0
2020-10-01,15.0,4.489773574608531e-16,50.0
2020-11-01,15.0,5.902004144990395e-16,51.0
2020-12-01,15.0,0.0,52.0
2021-01-01,15.0,6.345453125715752e-16,53.0
2021-02-01,15.0,8.881784197001252e-16,54.0
2021-03-01,30.0,0.0,18.0
2021-04-01,30.0,0.7358085368559194,32.0
2021-05-01,30.0,0.6847666286330558,33.0
2021-06-01,30.0,0.5622108018146771,3.0
2021-07-01,30.0,0.26546630205081717,24.0
2021-08-01,30.0,0.18723319756483287,5.0
2021-09-01,25.0,0.0,6.0
2021-10-01,25.0,4.489773574608531e-16,38.0
2021-11-01,25.0,5.902004144990395e-16,39.0
2021-12-01,25.0,0.0,40.0
2022-01-01,25.0,6.345453125715752e-16,41.0
2022-02-01,25.0,8.881784197001252e-16,42.0
2022-03-01,40.0,0.0,18.0
2022-04-01,40.0,0.0,69.0
2022-05-01,40.0,8.881784197001252e-16,20.0
2022-06-01,40.0,0.0,71.0
2022-07-01,40.0,1.946851337558695e-15,72.0
2022-08-01,40.0,2.5799251709695548e-15,73.0
2022-09-01,35.0,0.0,12.0
2022-10-01,35.0,0.0,12.0
2022-11-01,35.0,2.083702585933651e-15,13.0
2022-12-01,35.0,1.5992607561452414e-15,14.0
2023-01-01,35.0,1.1102230246251565e-16,15.0
2023-02-01,35.0,8.881784197001252e-16,16.0
2023-03-01,35.0,8.881784197001252e-16,17.0
2023-04-01,35.0,0.0,18.0
2023-05-01,35.0,0.0,56.0
2023-06-01,35.0,6.843874359417885e-16,20.0
2023-07-01,35.0,0.0,58.0
2023-08-01,35.0,1.946851337558695e-15,59.0
2023-09-01,35.0,2.5799251709695548e-15,60.0
2023-10-01,30.0,0.0,12.0
2023-11-01,30.0,0.0,12.0
2023-12-01,30.0,0.0,12.0
2024-01-01,30.0,0.0,12.0
2024-02-01,30.0,0.0,12.0
2024-03-01,30.0,0.0,12.0
2024-04-01,30.0,4.965068306494546e-16,13.0
2024-05-01,30.0,4.053961296325412e-16,14.0
2024-06-01,30.0,,
2024-07-01,30.0,,
2024-08-01,30.0,,
2024-09-01,30.0,,
2024-10-01,30.0,,
2024-11-01,30.0,,
2024-12-01,30.0,,
2025-01-01,30.0,,
2025-02-01,30.0,,
2025-03-01,25.0,,
2025-04-01,25.0,,
