date,actual,actual_train,actual_test,forecast_holt-winters,forecast_var
2017-08-01,15.0,15.0,,,
2017-09-01,15.0,15.0,,,
2017-10-01,15.0,15.0,,,
2017-11-01,15.0,15.0,,,
2017-12-01,24.0,24.0,,,
2018-01-01,24.0,24.0,,,
2018-02-01,24.0,24.0,,,
2018-03-01,24.0,24.0,,,
2018-04-01,24.0,24.0,,,
2018-05-01,24.0,24.0,,,
2018-06-01,24.0,24.0,,,
2018-07-01,24.0,24.0,,,
2018-08-01,40.0,40.0,,,
2018-09-01,40.0,40.0,,,
2018-10-01,40.0,40.0,,,
2018-11-01,40.0,40.0,,,
2018-12-01,40.0,40.0,,,
2019-01-01,40.0,40.0,,,
2019-02-01,40.0,40.0,,,
2019-03-01,40.0,40.0,,,
2019-04-01,40.0,40.0,,,
2019-05-01,40.0,40.0,,,
2019-06-01,40.0,40.0,,,
2019-07-01,40.0,40.0,,,
2019-08-01,15.0,15.0,,,
2019-09-01,15.0,15.0,,,
2019-10-01,15.0,15.0,,,
2019-11-01,15.0,15.0,,,
2019-12-01,15.0,15.0,,,
2020-01-01,15.0,15.0,,,
2020-02-01,15.0,15.0,,,
2020-03-01,15.0,15.0,,,
2020-04-01,30.0,30.0,,,
2020-05-01,30.0,30.0,,,
2020-06-01,30.0,30.0,,,
2020-07-01,30.0,30.0,,,
2020-08-01,15.0,15.0,,,
2020-09-01,15.0,15.0,,,
2020-10-01,15.0,15.0,,,
2020-11-01,15.0,15.0,,,
2020-12-01,15.0,15.0,,,
2021-01-01,15.0,15.0,,,
2021-02-01,15.0,15.0,,,
2021-03-01,30.0,30.0,,,
2021-04-01,30.0,30.0,,,
2021-05-01,30.0,30.0,,,
2021-06-01,30.0,30.0,,,
2021-07-01,30.0,30.0,,,
2021-08-01,30.0,30.0,,,
2021-09-01,25.0,25.0,,,
2021-10-01,25.0,25.0,,,
2021-11-01,25.0,25.0,,,
2021-12-01,25.0,25.0,,,
2022-01-01,25.0,25.0,,,
2022-02-01,25.0,25.0,,,
2022-03-01,40.0,40.0,,,
2022-04-01,40.0,40.0,,,
2022-05-01,40.0,40.0,,,
2022-06-01,40.0,40.0,,,
2022-07-01,40.0,40.0,,,
2022-08-01,40.0,40.0,,,
2022-09-01,35.0,35.0,,,
2022-10-01,35.0,35.0,,,
2022-11-01,35.0,35.0,,,
2022-12-01,35.0,35.0,,,
2023-01-01,35.0,35.0,,,
2023-02-01,35.0,35.0,,,
2023-03-01,35.0,35.0,,,
2023-04-01,35.0,35.0,,,
2023-05-01,35.0,35.0,,,
2023-06-01,35.0,35.0,,,
2023-07-01,35.0,35.0,,,
2023-08-01,35.0,35.0,,,
2023-09-01,35.0,35.0,,,
2023-10-01,30.0,30.0,,,
2023-11-01,30.0,30.0,,,
2023-12-01,30.0,30.0,,,
2024-01-01,30.0,30.0,,,
2024-02-01,30.0,30.0,,,
2024-03-01,30.0,30.0,,,
2024-04-01,30.0,30.0,,,
2024-05-01,30.0,,30.0,30.19852546985838,31.605154763907194
2024-06-01,30.0,,30.0,30.19839724385818,29.809742286801338
2024-07-01,30.0,,30.0,30.198885610587947,31.21923889219761
2024-08-01,30.0,,30.0,26.1824483938707,29.283517741132528
2024-09-01,30.0,,30.0,24.753462606680383,29.145597812253982
2024-10-01,30.0,,30.0,24.03921510395763,25.932766136480495
2024-11-01,30.0,,30.0,24.03998375488088,25.212772775092162
2024-12-01,30.0,,30.0,25.325971066739797,25.453561479575
2025-01-01,30.0,,30.0,25.326218875970024,26.15659542917274
2025-02-01,30.0,,30.0,25.325272284235485,27.426043363288045
2025-03-01,25.0,,25.0,29.610303160673535,28.739974219352007
2025-04-01,25.0,,25.0,31.753234757644606,30.354900349397212
