date,value,matrix_profile,matrix_profile_index
2017-08-01,18.0,0.0,12.0
2017-09-01,18.0,1.5370341782520677e-15,13.0
2017-10-01,18.0,1.150211057356173e-15,14.0
2017-11-01,18.0,1.1102230246251565e-16,15.0
2017-12-01,18.0,9.636155996318756e-16,16.0
2018-01-01,18.0,5.83967460982345e-16,61.0
2018-02-01,18.0,0.0,18.0
2018-03-01,18.0,4.440892098500626e-16,44.0
2018-04-01,18.0,4.710277376051325e-16,45.0
2018-05-01,18.0,8.881784197001252e-16,46.0
2018-06-01,18.0,1.4159878062457805e-15,47.0
2018-07-01,18.0,1.230879721818759e-15,48.0
2018-08-01,40.0,0.0,0.0
2018-09-01,40.0,1.5370341782520677e-15,1.0
2018-10-01,40.0,1.150211057356173e-15,2.0
2018-11-01,40.0,1.1102230246251565e-16,3.0
2018-12-01,40.0,9.636155996318756e-16,4.0
2019-01-01,40.0,8.881784197001252e-16,5.0
2019-02-01,40.0,0.0,6.0
2019-03-01,40.0,4.440892098500626e-16,44.0
2019-04-01,40.0,1.2625990704234373e-15,8.0
2019-05-01,40.0,0.5091399026230626,50.0
2019-06-01,40.0,0.33502296205323323,51.0
2019-07-01,40.0,0.2138231212770148,52.0
2019-08-01,45.0,6.661338147750939e-16,53.0
2019-09-01,45.0,0.5715592243432425,54.0
2019-10-01,45.0,0.6907515764130171,68.0
2019-11-01,45.0,0.7653668647301796,80.0
2019-12-01,45.0,0.7653668647301796,81.0
2020-01-01,45.0,0.8275313296529271,42.0
2020-02-01,45.0,0.7653668647301795,43.0
2020-03-01,45.0,0.5715592243432424,7.0
2020-04-01,30.0,0.19635022161531676,45.0
2020-05-01,30.0,0.2898203528077896,9.0
2020-06-01,30.0,0.3914574897057439,10.0
2020-07-01,30.0,0.5562412172301168,11.0
2020-08-01,45.0,4.440892098500626e-16,54.0
2020-09-01,45.0,0.0,79.0
2020-10-01,45.0,0.5867923748912969,1.0
2020-11-01,45.0,0.42904688671414043,2.0
2020-12-01,45.0,0.3382039574515253,3.0
2021-01-01,45.0,0.26546630205081706,4.0
2021-02-01,45.0,0.18723319756483275,61.0
2021-03-01,40.0,4.440892098500626e-16,6.0
2021-04-01,40.0,4.440892098500626e-16,7.0
2021-05-01,40.0,4.710277376051325e-16,8.0
2021-06-01,40.0,8.881784197001252e-16,9.0
2021-07-01,40.0,1.4159878062457805e-15,10.0
2021-08-01,40.0,1.230879721818759e-15,11.0
2021-09-01,55.00000000000001,0.0,0.0
2021-10-01,55.00000000000001,0.5091399026230626,21.0
2021-11-01,55.00000000000001,0.33502296205323323,22.0
2021-12-01,55.00000000000001,0.2138231212770148,23.0
2022-01-01,55.00000000000001,6.661338147750939e-16,24.0
2022-02-01,55.00000000000001,4.440892098500626e-16,36.0
2022-03-01,55.00000000000001,4.440892098500626e-16,37.0
2022-04-01,55.00000000000001,0.18596972966592823,69.0
2022-05-01,55.00000000000001,0.3416396931456753,70.0
2022-06-01,55.00000000000001,0.4583245758134823,71.0
2022-07-01,55.00000000000001,0.570925321457259,72.0
2022-08-01,55.00000000000001,0.6511263111052303,41.0
2022-09-01,40.0,5.83967460982345e-16,5.0
2022-10-01,40.0,0.0,6.0
2022-11-01,40.0,0.5885394960355478,21.0
2022-12-01,40.0,0.49707178314160083,22.0
2023-01-01,40.0,0.4408424372138224,23.0
2023-02-01,40.0,0.40213174453639466,24.0
2023-03-01,40.0,0.28305790531679736,36.0
2023-04-01,50.0,0.13652741714336739,37.0
2023-05-01,50.0,0.18596972966592823,56.0
2023-06-01,50.0,0.3416396931456753,57.0
2023-07-01,50.0,0.4583245758134823,58.0
2023-08-01,50.0,0.570925321457259,59.0
2023-09-01,50.0,0.6946317350696138,60.0
2023-10-01,30.0,0.5564993176482491,7.0
2023-11-01,30.0,0.6573743288231061,32.0
2023-12-01,30.0,0.734716757995938,33.0
2024-01-01,30.0,0.7653668647301796,53.0
2024-02-01,30.0,0.5564993176482491,36.0
2024-03-01,35.0,0.0,37.0
2024-04-01,35.0,0.556499317648249,56.0
2024-05-01,35.0,0.5818124083659658,57.0
2024-06-01,35.0,,
2024-07-01,35.0,,
2024-08-01,35.0,,
2024-09-01,30.0,,
2024-10-01,30.0,,
2024-11-01,30.0,,
2024-12-01,30.0,,
2025-01-01,30.0,,
2025-02-01,30.0,,
2025-03-01,35.0,,
2025-04-01,35.0,,
