date,actual,actual_train,actual_test,forecast_holt-winters,forecast_var
2017-08-01,18.0,18.0,,,
2017-09-01,18.0,18.0,,,
2017-10-01,18.0,18.0,,,
2017-11-01,18.0,18.0,,,
2017-12-01,18.0,18.0,,,
2018-01-01,18.0,18.0,,,
2018-02-01,18.0,18.0,,,
2018-03-01,18.0,18.0,,,
2018-04-01,18.0,18.0,,,
2018-05-01,18.0,18.0,,,
2018-06-01,18.0,18.0,,,
2018-07-01,18.0,18.0,,,
2018-08-01,40.0,40.0,,,
2018-09-01,40.0,40.0,,,
2018-10-01,40.0,40.0,,,
2018-11-01,40.0,40.0,,,
2018-12-01,40.0,40.0,,,
2019-01-01,40.0,40.0,,,
2019-02-01,40.0,40.0,,,
2019-03-01,40.0,40.0,,,
2019-04-01,40.0,40.0,,,
2019-05-01,40.0,40.0,,,
2019-06-01,40.0,40.0,,,
2019-07-01,40.0,40.0,,,
2019-08-01,45.0,45.0,,,
2019-09-01,45.0,45.0,,,
2019-10-01,45.0,45.0,,,
2019-11-01,45.0,45.0,,,
2019-12-01,45.0,45.0,,,
2020-01-01,45.0,45.0,,,
2020-02-01,45.0,45.0,,,
2020-03-01,45.0,45.0,,,
2020-04-01,30.0,30.0,,,
2020-05-01,30.0,30.0,,,
2020-06-01,30.0,30.0,,,
2020-07-01,30.0,30.0,,,
2020-08-01,45.0,45.0,,,
2020-09-01,45.0,45.0,,,
2020-10-01,45.0,45.0,,,
2020-11-01,45.0,45.0,,,
2020-12-01,45.0,45.0,,,
2021-01-01,45.0,45.0,,,
2021-02-01,45.0,45.0,,,
2021-03-01,40.0,40.0,,,
2021-04-01,40.0,40.0,,,
2021-05-01,40.0,40.0,,,
2021-06-01,40.0,40.0,,,
2021-07-01,40.0,40.0,,,
2021-08-01,40.0,40.0,,,
2021-09-01,55.00000000000001,55.00000000000001,,,
2021-10-01,55.00000000000001,55.00000000000001,,,
2021-11-01,55.00000000000001,55.00000000000001,,,
2021-12-01,55.00000000000001,55.00000000000001,,,
2022-01-01,55.00000000000001,55.00000000000001,,,
2022-02-01,55.00000000000001,55.00000000000001,,,
2022-03-01,55.00000000000001,55.00000000000001,,,
2022-04-01,55.00000000000001,55.00000000000001,,,
2022-05-01,55.00000000000001,55.00000000000001,,,
2022-06-01,55.00000000000001,55.00000000000001,,,
2022-07-01,55.00000000000001,55.00000000000001,,,
2022-08-01,55.00000000000001,55.00000000000001,,,
2022-09-01,40.0,40.0,,,
2022-10-01,40.0,40.0,,,
2022-11-01,40.0,40.0,,,
2022-12-01,40.0,40.0,,,
2023-01-01,40.0,40.0,,,
2023-02-01,40.0,40.0,,,
2023-03-01,40.0,40.0,,,
2023-04-01,50.0,50.0,,,
2023-05-01,50.0,50.0,,,
2023-06-01,50.0,50.0,,,
2023-07-01,50.0,50.0,,,
2023-08-01,50.0,50.0,,,
2023-09-01,50.0,50.0,,,
2023-10-01,30.0,30.0,,,
2023-11-01,30.0,30.0,,,
2023-12-01,30.0,30.0,,,
2024-01-01,30.0,30.0,,,
2024-02-01,30.0,30.0,,,
2024-03-01,35.0,35.0,,,
2024-04-01,35.0,35.0,,,
2024-05-01,35.0,,35.0,35.00045142728443,35.67228871025145
2024-06-01,35.0,,35.0,34.999918702758826,38.466305838897824
2024-07-01,35.0,,35.0,34.99945183666622,43.17740617552772
2024-08-01,35.0,,35.0,41.99849360092781,46.48870847700164
2024-09-01,30.0,,30.0,41.99866197445331,47.58400291937869
2024-10-01,30.0,,30.0,39.141611730427954,47.486036715097725
2024-11-01,30.0,,30.0,39.141991723165766,46.63508063118206
2024-12-01,30.0,,30.0,39.14198291708447,44.57628072547959
2025-01-01,30.0,,30.0,39.141327298277936,42.672639090160374
2025-02-01,30.0,,30.0,39.14086708079677,41.61567684286274
2025-03-01,35.0,,35.0,39.140810849171956,40.631423234939575
2025-04-01,35.0,,35.0,38.42698111119613,40.166387223638594
