lag,acled_events,acled_fatalities,idp_population,ipc_phase_3plus_pct,rain_1m,rain_3m,rain_anomaly_1m,rain_anomaly_3m,wfp_inflation_mean,wfp_price_mean
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.25750089240423096,-0.046837441045928296,0.960662184122555,0.8497563178795415,0.6497505547201529,0.8472201202301978,0.3237389339037327,0.738145023906456,0.8010754891766458,0.841788778649462
2,0.13983191488029265,0.27192067453452723,0.9055678505187955,0.6995126357590826,0.3526643697701639,0.5041943414159785,0.22915683295443257,0.5739523825952347,0.5071922961788927,0.6056908396628888
3,0.008088000450899005,-0.008948392578178532,0.8389589940154877,0.5415193439526037,0.049143059126690404,0.0763749354767875,0.27242154067917457,0.41345460964888425,0.24331314932158643,0.3683367728092887
4,0.01583156418108604,-0.05749140939859039,0.7655727445209497,0.38352605214612445,-0.282862340478072,-0.2960335882199727,0.15764764934461192,0.36931529814607644,0.06930494812076832,0.1859264178474852
5,-0.09776053506678942,-0.03704420316266122,0.6919689981872901,0.26506001998132156,-0.4874682179328541,-0.5503060161304234,0.09416703331108504,0.3733309853589158,0.0838609295494207,0.11313868133514464
6,-0.14816102103568993,-0.06376979901653787,0.6234022782513288,0.17623943254777577,-0.546246687498174,-0.6421477360287108,0.17423795425698935,0.39440969678896676,0.13787221447661915,0.09169602012257715
7,-0.07217828044664051,0.04512641113777729,0.5643703138851419,0.1565915494871633,-0.4615453647622475,-0.5502861916648016,0.15260419868036773,0.36631934736885796,0.2111047725359864,0.13908237614272606
8,0.021859206793544632,0.05437007687737759,0.5139325532748636,0.1632951728543349,-0.25578820644996003,-0.3040637506607133,0.14321862145069153,0.33976837471266313,0.23029811089985072,0.2029070325200226
9,-0.06872765075369018,-0.02601458135365325,0.47112207711632137,0.15197776601928006,0.03784327886032906,0.04233991788901295,0.08950201693773524,0.257862400166646,0.1233871521417444,0.23433037980838511
10,-0.015944288926046265,-0.005567375117724076,0.43438928241055225,0.14066035918422506,0.3174937402621998,0.394732549303465,0.22551666250811955,0.31293527601770765,-0.0023031770730012413,0.26637839609008024
11,-0.03935972344862567,-0.05587937201650365,0.40254026144685934,0.12934295234917018,0.5619645942850265,0.6506754716984121,0.12377363977784125,0.26700234600947503,-0.18877395963572483,0.24181917979121328
12,0.08952536619885905,-0.04707319597370397,0.3735473882358555,0.06861647096202005,0.630768394527821,0.7380795399494772,0.10588491112858547,0.2552133655635733,-0.3305799474682263,0.17872060255588615
