date,value,matrix_profile,matrix_profile_index
2017-08-01,41.0,0.0,12.0
2017-09-01,41.0,0.9815005170242593,38.0
2017-10-01,41.0,0.8053264822202904,39.0
2017-11-01,41.0,0.6666666666666665,40.0
2017-12-01,41.0,0.533867163791623,41.0
2018-01-01,41.0,0.3777456336844386,42.0
2018-02-01,41.0,5.661048867003676e-16,43.0
2018-03-01,41.0,9.545120528441684e-16,44.0
2018-04-01,41.0,3.8459253727671276e-16,45.0
2018-05-01,41.0,9.272190286951957e-16,46.0
2018-06-01,41.0,1.5934698110350668e-15,47.0
2018-07-01,41.0,1.1234438527232986e-15,48.0
2018-08-01,55.00000000000001,0.0,0.0
2018-09-01,55.00000000000001,1.6653345369377348e-16,63.0
2018-10-01,55.00000000000001,2.026980648162706e-16,64.0
2018-11-01,55.00000000000001,8.3820000221454525e-16,52.0
2018-12-01,55.00000000000001,2.5639502485114184e-16,53.0
2019-01-01,55.00000000000001,5.117875266520903e-16,67.0
2019-02-01,55.00000000000001,4.440892098500626e-16,37.0
2019-03-01,55.00000000000001,8.479468414379336e-17,56.0
2019-04-01,55.00000000000001,9.019494489765868e-16,57.0
2019-05-01,55.00000000000001,0.5091399026230624,58.0
2019-06-01,55.00000000000001,0.6714213740394575,59.0
2019-07-01,55.00000000000001,0.5091399026230627,52.0
2019-08-01,40.0,0.0,66.0
2019-09-01,40.0,0.5708653013232664,68.0
2019-10-01,40.0,0.5619430305766809,69.0
2019-11-01,40.0,0.5465532313074901,70.0
2019-12-01,40.0,0.5255633028069319,71.0
2020-01-01,40.0,0.49926367478828915,72.0
2020-02-01,40.0,0.46747462223495867,73.0
2020-03-01,40.0,0.42950574746613646,7.0
2020-04-01,25.0,0.2954147267994355,45.0
2020-05-01,25.0,0.43400085871878963,46.0
2020-06-01,25.0,0.5753308974051591,10.0
2020-07-01,25.0,0.6714213740394576,77.0
2020-08-01,45.0,0.0,54.0
2020-09-01,45.0,0.0,55.0
2020-10-01,45.0,0.4193958372288064,80.0
2020-11-01,45.0,0.5173285492825611,81.0
2020-12-01,45.0,0.6111463641543745,70.0
2021-01-01,45.0,0.533867163791623,4.0
2021-02-01,45.0,0.3777456336844386,5.0
2021-03-01,35.0,5.661048867003676e-16,6.0
2021-04-01,35.0,9.545120528441684e-16,7.0
2021-05-01,35.0,3.8459253727671276e-16,8.0
2021-06-01,35.0,9.272190286951957e-16,9.0
2021-07-01,35.0,1.5934698110350668e-15,10.0
2021-08-01,35.0,1.1234438527232986e-15,11.0
2021-09-01,50.0,0.0,0.0
2021-10-01,50.0,8.599750569898517e-16,63.0
2021-11-01,50.0,4.440892098500626e-16,14.0
2021-12-01,50.0,0.0,65.0
2022-01-01,50.0,2.5639502485114184e-16,16.0
2022-02-01,50.0,0.0,36.0
2022-03-01,50.0,0.0,37.0
2022-04-01,50.0,8.479468414379336e-17,19.0
2022-05-01,50.0,9.019494489765868e-16,20.0
2022-06-01,50.0,0.5091399026230624,21.0
2022-07-01,50.0,0.6714213740394575,22.0
2022-08-01,50.0,0.8528028654224417,23.0
2022-09-01,40.0,0.0,0.0
2022-10-01,40.0,0.0,0.0
2022-11-01,40.0,1.6653345369377348e-16,13.0
2022-12-01,40.0,2.026980648162706e-16,14.0
2023-01-01,40.0,0.0,52.0
2023-02-01,40.0,0.0,24.0
2023-03-01,40.0,5.117875266520903e-16,17.0
2023-04-01,40.0,0.556499317648249,18.0
2023-05-01,40.0,0.5619430305766809,26.0
2023-06-01,40.0,0.5465532313074901,27.0
2023-07-01,40.0,0.5255633028069319,28.0
2023-08-01,40.0,0.49926367478828915,29.0
2023-09-01,40.0,0.46747462223495867,30.0
2023-10-01,25.0,0.556499317648249,44.0
2023-11-01,25.0,0.6139989068382955,32.0
2023-12-01,25.0,0.6565599126466128,33.0
2024-01-01,25.0,0.6714213740394576,35.0
2024-02-01,25.0,0.556499317648249,36.0
2024-03-01,40.0,0.0,37.0
2024-04-01,40.0,0.3777456336844385,19.0
2024-05-01,40.0,0.5173285492825611,39.0
2024-06-01,40.0,,
2024-07-01,40.0,,
2024-08-01,40.0,,
2024-09-01,25.0,,
2024-10-01,25.0,,
2024-11-01,25.0,,
2024-12-01,25.0,,
2025-01-01,25.0,,
2025-02-01,25.0,,
2025-03-01,35.0,,
2025-04-01,35.0,,
