date,actual,actual_train,actual_test,forecast_holt-winters,forecast_sarimax,forecast_var
2017-08-01,41.0,41.0,,,,
2017-09-01,41.0,41.0,,,,
2017-10-01,41.0,41.0,,,,
2017-11-01,41.0,41.0,,,,
2017-12-01,41.0,41.0,,,,
2018-01-01,41.0,41.0,,,,
2018-02-01,41.0,41.0,,,,
2018-03-01,41.0,41.0,,,,
2018-04-01,41.0,41.0,,,,
2018-05-01,41.0,41.0,,,,
2018-06-01,41.0,41.0,,,,
2018-07-01,41.0,41.0,,,,
2018-08-01,55.00000000000001,55.00000000000001,,,,
2018-09-01,55.00000000000001,55.00000000000001,,,,
2018-10-01,55.00000000000001,55.00000000000001,,,,
2018-11-01,55.00000000000001,55.00000000000001,,,,
2018-12-01,55.00000000000001,55.00000000000001,,,,
2019-01-01,55.00000000000001,55.00000000000001,,,,
2019-02-01,55.00000000000001,55.00000000000001,,,,
2019-03-01,55.00000000000001,55.00000000000001,,,,
2019-04-01,55.00000000000001,55.00000000000001,,,,
2019-05-01,55.00000000000001,55.00000000000001,,,,
2019-06-01,55.00000000000001,55.00000000000001,,,,
2019-07-01,55.00000000000001,55.00000000000001,,,,
2019-08-01,40.0,40.0,,,,
2019-09-01,40.0,40.0,,,,
2019-10-01,40.0,40.0,,,,
2019-11-01,40.0,40.0,,,,
2019-12-01,40.0,40.0,,,,
2020-01-01,40.0,40.0,,,,
2020-02-01,40.0,40.0,,,,
2020-03-01,40.0,40.0,,,,
2020-04-01,25.0,25.0,,,,
2020-05-01,25.0,25.0,,,,
2020-06-01,25.0,25.0,,,,
2020-07-01,25.0,25.0,,,,
2020-08-01,45.0,45.0,,,,
2020-09-01,45.0,45.0,,,,
2020-10-01,45.0,45.0,,,,
2020-11-01,45.0,45.0,,,,
2020-12-01,45.0,45.0,,,,
2021-01-01,45.0,45.0,,,,
2021-02-01,45.0,45.0,,,,
2021-03-01,35.0,35.0,,,,
2021-04-01,35.0,35.0,,,,
2021-05-01,35.0,35.0,,,,
2021-06-01,35.0,35.0,,,,
2021-07-01,35.0,35.0,,,,
2021-08-01,35.0,35.0,,,,
2021-09-01,50.0,50.0,,,,
2021-10-01,50.0,50.0,,,,
2021-11-01,50.0,50.0,,,,
2021-12-01,50.0,50.0,,,,
2022-01-01,50.0,50.0,,,,
2022-02-01,50.0,50.0,,,,
2022-03-01,50.0,50.0,,,,
2022-04-01,50.0,50.0,,,,
2022-05-01,50.0,50.0,,,,
2022-06-01,50.0,50.0,,,,
2022-07-01,50.0,50.0,,,,
2022-08-01,50.0,50.0,,,,
2022-09-01,40.0,40.0,,,,
2022-10-01,40.0,40.0,,,,
2022-11-01,40.0,40.0,,,,
2022-12-01,40.0,40.0,,,,
2023-01-01,40.0,40.0,,,,
2023-02-01,40.0,40.0,,,,
2023-03-01,40.0,40.0,,,,
2023-04-01,40.0,40.0,,,,
2023-05-01,40.0,40.0,,,,
2023-06-01,40.0,40.0,,,,
2023-07-01,40.0,40.0,,,,
2023-08-01,40.0,40.0,,,,
2023-09-01,40.0,40.0,,,,
2023-10-01,25.0,25.0,,,,
2023-11-01,25.0,25.0,,,,
2023-12-01,25.0,25.0,,,,
2024-01-01,25.0,25.0,,,,
2024-02-01,25.0,25.0,,,,
2024-03-01,40.0,40.0,,,,
2024-04-01,40.0,40.0,,,,
2024-05-01,40.0,,40.0,39.99980330617757,40.480558987581496,40.24774192851608
2024-06-01,40.0,,40.0,39.99971102002695,40.60606466922939,39.718669649171105
2024-07-01,40.0,,40.0,39.99974912050748,40.622000396836036,38.83619219574952
2024-08-01,40.0,,40.0,43.166654256948895,43.96670989027102,38.69541535191133
2024-09-01,25.0,,25.0,43.88130733972367,45.339080284773246,38.97717754597885
2024-10-01,25.0,,25.0,41.73880477778063,52.51817302463263,39.273278858006805
2024-11-01,25.0,,25.0,41.739107364282894,52.51823114150559,39.3478690298175
2024-12-01,25.0,,25.0,41.739106633240326,52.518241837751766,39.03019041868908
2025-01-01,25.0,,25.0,41.738834388833205,52.51824338225162,38.689774533111404
2025-02-01,25.0,,25.0,41.73850026835809,52.51823979434923,38.53400641327694
2025-03-01,35.0,,35.0,42.45255479218134,42.59735799818516,38.572896532582845
2025-04-01,35.0,,35.0,40.30951732023508,38.484192571822774,38.83396707138125
