lag,acf,pacf
0,1.0,1.0
1,-0.002420993902682025,-0.0024475982312829225
2,-0.0031122932369006696,-0.003187465141199248
3,-0.0031383254294026133,-0.0032597777062099154
4,-0.0031643576219045812,-0.00333442551149171
5,-0.05419420401268569,-0.057348139248711565
6,-0.4622507497914211,-0.49647912250156623
7,-0.054246268397689604,-0.1009870366833334
8,0.03406039211552376,0.033224325780793595
9,3.181712416905687e-05,-0.0012558609281309943
10,5.784931667100425e-06,-0.011382768610995428
11,0.06798483833687062,0.02475867763883249
12,0.11123073778447419,-0.16201782064953157
13,0.06700139995346342,0.006441072546872893
14,-0.0030255192618941456,0.045576098685137297
15,-0.0030515514543961128,0.003355859628931416
16,-0.003077583646898054,-0.005410009092027965
17,-0.07110870143710547,-0.05292070323736686
18,-0.25814871902329795,-0.44744976298895733
19,-0.07049549868039277,-0.15923751073677891
20,-0.0501200051935831,-0.09359193660340272
21,-0.0025424774676911467,-0.04626871887720684
22,-0.0025685096601931307,-0.038071546555806066
23,-0.019595813252121515,-0.24846087472695438
24,0.30406757828619485,-0.05037647408895
