lag,acled_events,acled_fatalities,idp_population,rain_1m,rain_3m,rain_anomaly_1m,rain_anomaly_3m,wfp_inflation_mean,wfp_price_mean
-12,0.1646898898965784,0.35763576006223624,-0.491009277003298,0.161532943371058,0.28783006685791335,0.287193685092088,0.4087902218454239,0.21465083776405203,-0.05045571848597944
-11,0.13948606677078795,0.3656532040434714,-0.4912949342034129,0.2158172061482425,0.3632287799738631,0.2394131621550771,0.3692732861060109,0.23269818147084587,-0.10958834382060748
-10,0.12649708310437535,0.35870976086811146,-0.4883015219665951,0.3053128832760463,0.3942308067933936,0.27710257018443074,0.3558417924865074,0.23765226210474674,-0.13130907954068508
-9,0.14502293963356014,0.35492646162581903,-0.48188456328514606,0.32184043579623756,0.3709619867278302,0.2320105970391883,0.3358238883637268,0.1983971527342508,-0.20356748191144822
-8,0.06835832025620642,0.32632839921543183,-0.4722536177876501,0.3174065683884474,0.32612045198150863,0.21060875233087664,0.3237324798865672,0.15896802896522227,-0.243285563322741
-7,0.10568970482527637,0.3807524272091958,-0.42354037281353596,0.273259067149744,0.21873104951782044,0.26345293583207163,0.3596215741487723,0.11050985989125213,-0.22291647626557295
-6,0.10592029509947289,0.3798703078410227,-0.3817481698436837,0.1706401670511903,0.11109892166896969,0.30790337651644634,0.4161593465863369,0.06464825683230269,-0.1940699743944884
-5,0.2287529925330147,0.36130997563624756,-0.34541288949264654,0.0717159629541504,0.0457894095185786,0.34859210499495386,0.46241723120904527,0.05405976858292137,-0.19675315238878446
-4,0.17311985262756968,0.3301491697245756,-0.31338793850643815,0.032772641623227544,0.04176619059184363,0.38266016972154926,0.5149428681330473,0.06608586459505437,-0.20006914862690606
-3,0.07795863300045497,0.2972504709040906,-0.2865863757184598,0.026766314276214207,0.07590531605828857,0.4148195058768233,0.5065364272117088,0.09651139043893522,-0.18337354847311277
-2,0.0731264738306255,0.26178950197109213,-0.2705696687846451,0.04828260814673214,0.12526944964142683,0.42376324226569184,0.4536873010864111,0.15367721762287642,-0.18716611501446062
-1,0.057081046156944065,0.21203130697033057,-0.2698027447027424,0.10438607140529998,0.18427092302540796,0.39070021207451816,0.39789240262753417,0.25882380119802356,-0.19820017871790221
0,0.07227180846859775,0.20563278461008086,-0.27976300829840994,0.1376933734849548,0.22644239255042845,0.3203073241065231,0.32738036713826685,0.32511633364791764,-0.22622075175418896
1,-0.10837016642184286,0.14457725391035775,-0.2939301335575053,0.19647800226508408,0.2828737694017282,0.2521109154289343,0.25727872215279873,0.36780979551906895,-0.2448102168769799
2,-0.09420674492623063,0.14257590258845282,-0.3118359267336013,0.24034004433395117,0.31314802856183804,0.17990164590373908,0.18078873924010166,0.3999741319400977,-0.25514188081545675
3,-0.1590006237798375,0.11431718784917942,-0.3332754345552765,0.2786368494916152,0.2810735451523707,0.10886416439311175,0.09773632753098963,0.4324450652705612,-0.23727521485737127
4,-0.13690237082505347,0.09377134258180428,-0.35381473245384176,0.27235651830548074,0.1959280260213921,0.08701541032773001,0.07174572245198624,0.4496845750376742,-0.20525390568075438
5,-0.14847779262116356,0.07558684289489125,-0.3721936153478461,0.1615272810190179,0.0661227202810939,0.004845595383682667,0.018542108990895857,0.4291471802961507,-0.16465639346406935
6,-0.10375715032280683,0.10196548758512723,-0.38839553012286204,0.0665978929834755,-0.041985905751944955,0.01059456195934262,0.026061478690183625,0.38980970063184395,-0.12816523256053797
7,-0.09275009516470493,0.12577646877127946,-0.4048588738565637,-0.050880091865633255,-0.12628884142944344,0.006623473672650852,0.05541847522300431,0.3188655058820531,-0.12757307279799296
8,-0.09228059362485279,0.11985703774288452,-0.4211219396010226,-0.10759382615943686,-0.15968960225350928,0.04631261238545918,0.1332319068219037,0.26332518462068244,-0.1508215408046035
9,-0.042419601492927145,0.06275848689387316,-0.43704309538482533,-0.1422918121781315,-0.14232467915426705,0.1022949012246723,0.19123286405363918,0.19700955459648975,-0.19339352925578326
10,-0.06488782447615987,0.06956219602230503,-0.4548874693425904,-0.1324232555447919,-0.07298483768294547,0.14097031122137282,0.20288945524725446,0.12046715295193092,-0.2653594764618289
11,-0.08020500389710213,-0.021259706567864113,-0.475212124179504,-0.06278201953091576,0.03626646524113507,0.15837585526299897,0.21854468730657692,0.002434172756442767,-0.3973680872360547
12,-0.18021991963739553,-0.0219002835929942,-0.49695378477946606,0.029817843338651437,0.13804766127966675,0.15176476171442477,0.19219892691945017,-0.04920785179423745,-0.5062627227777178
