lag,acled_events,acled_fatalities,idp_population,ipc_phase_3plus_pct,rain_1m,rain_3m,rain_anomaly_1m,rain_anomaly_3m,wfp_inflation_mean,wfp_price_mean
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.8912346557508068,0.6905726127977113,0.970412283706176,0.8823592295833972,0.5629082411981373,0.8262888796374577,0.25492639977215187,0.6933308078165779,0.9221726704478895,0.9565407442432922
2,0.807819574680038,0.7114620389298105,0.9327947687904518,0.7647184591667943,0.3400667303624923,0.4741560295748502,0.16379258932141036,0.42852496228272396,0.805490713297371,0.9039534801056679
3,0.7574592639374664,0.6008138849771224,0.8880155576862606,0.6446023407811942,-0.02303342812442262,0.026103957945251836,0.0440498374468016,0.15803921303375873,0.6770409497494981,0.8473175931738622
4,0.7406545295773732,0.6004130679193209,0.8369316093232468,0.5244862223955941,-0.29601250698007636,-0.3372994503276444,-0.013154990559707293,0.06511213356642559,0.5428803309327171,0.7897675010949835
5,0.7316027336896044,0.43842530005328095,0.7898266779640207,0.4024831584270697,-0.46290130839464194,-0.5846777607900763,0.04677725611487569,0.03904979573853344,0.41325790695049713,0.7289243044540664
6,0.7163480634421104,0.5326906198374662,0.7425522156757226,0.2804800944585455,-0.5230736785057541,-0.666831775968714,0.08638641045234749,0.07821269685541005,0.28218450276442664,0.6697789173719998
7,0.6967471401296995,0.40456850091420676,0.6955721500125239,0.17923343190218685,-0.45772817053265985,-0.5775473245117206,0.021621033331297432,0.12559582343181633,0.14397013137278972,0.6069767097016402
8,0.6211365703449999,0.43133142744917197,0.6493936363218772,0.07421287817997996,-0.2564216627810583,-0.3267362932344471,0.04473871620892185,0.1276726029545589,0.005034508187315555,0.5458723115901306
9,0.5908878244263134,0.37002141608413236,0.6043164027534049,-0.030929413966931753,-0.006133961313727179,0.02075947314450245,0.014761262354265298,0.06367768671856743,-0.13185655697201407,0.4797629562679159
10,0.6047817419999914,0.3798588791244797,0.5602134676230922,-0.1360717061138434,0.32300884245236233,0.3804058346896381,0.08405672571170889,0.11903018433430364,-0.2505611377066548,0.42308494006665986
11,0.5851250572189123,0.2508103952509491,0.5169642184965141,-0.24121399826075512,0.48872361964770883,0.6297277360371367,0.043985922266949355,0.17882497612219667,-0.35537016266188926,0.3746488132788803
12,0.5405571326535699,0.3386406062694038,0.4717366463621041,-0.35013018157351494,0.5834289626383007,0.7171847077923003,0.14483310769094196,0.28018109765129307,-0.4330007264604859,0.3382419972281662
