lag,acled_events,acled_fatalities,idp_population,rain_1m,rain_3m,rain_anomaly_1m,rain_anomaly_3m,wfp_inflation_mean,wfp_price_mean
-12,0.5898811833114938,0.2676792635397385,-0.5605496165183398,0.24032884851091832,0.25891707907014294,0.32669134451892123,0.5089610182040594,0.03587553766276434,-0.2430028173936305
-11,0.4379302135783766,0.25650024709922653,-0.5221271852893499,0.22836080557277874,0.19692016955196753,0.3355669814931378,0.3561641156577834,0.014868288730710062,-0.20150591322888667
-10,0.5003061076041693,0.20761238672779764,-0.4709957312265788,0.10858592073435994,0.02508089541973623,0.20915362590250428,0.2701548099503122,0.0015005601801281652,-0.16004431191408713
-9,0.43732395446232775,0.27168466542708164,-0.4114210500404277,-0.0667411909899825,-0.030502687022140203,0.1148746339321201,0.31024509171232106,-0.020349702940232188,-0.14772477209130003
-8,0.33588585555346007,0.1934080143172728,-0.3465634748018789,-0.04555441225535836,0.0753024459444221,0.23593962041594996,0.4064164033817766,-0.02449756617648987,-0.1310331592258531
-7,0.2918457157053196,0.11758125245936207,-0.2557743652869657,0.06398351599660747,0.17064789220075857,0.28411298535385454,0.3952381948991399,-0.04473962757474806,-0.1203186256643403
-6,0.17324143356778066,0.008519817518187126,-0.1817118187468414,0.19776855610576696,0.24741920330736583,0.34696860779126665,0.3858402852401953,-0.06520168745376405,-0.11612053002048417
-5,0.05129470348502269,-0.09205095242466274,-0.12142365696935095,0.18422626497096076,0.26379991133356256,0.24871556832047967,0.3061602637100781,-0.06721096233715007,-0.10369334706443946
-4,0.027933867619940708,-0.13965878671383852,-0.06299327723235404,0.2188085942796352,0.23284470296198964,0.23225189856539674,0.25906410298498017,-0.05035373956522614,-0.07890279433934755
-3,0.008146708274795612,-0.07814410557721771,-0.004117558784566245,0.16370293649774773,0.18807978421645843,0.20738486570712206,0.2534843885546339,-0.025572810483803502,-0.051270271322173704
-2,-0.0408682055254158,-0.07796566731239972,0.054077567559129694,0.14650603396201972,0.16787387174235419,0.2087919916430901,0.2612652185086842,2.397570734429725e-05,-0.02636079134647423
-1,-0.024605726439051595,-0.034475486276364,0.10794918849458499,0.14644660196087,0.1652137697609049,0.20631046409087125,0.26025691363655856,0.03183460952787183,0.004826309411082284
0,0.02242017900843486,-0.004387520875866971,0.14911001959802458,0.14429417811745587,0.1660443890210919,0.1954925076316071,0.26025977385665017,0.05808004924075174,0.035683788942942746
1,0.08148995119957439,0.09343442480147791,0.13403215805062546,0.11904284574279789,0.1444029170436083,0.1949349587429166,0.26605783632636043,0.07966774526938272,0.03291222149067253
2,0.1284989748353216,0.1557105465411781,0.11746134509502902,0.11227875706702788,0.12480998599727648,0.20607630547812575,0.24617145469779858,0.08177355585627527,0.02105567902463719
3,0.16982927705725606,0.3033030395233312,0.09576122006927766,0.09071363905545766,0.09397319231496518,0.19600289446382632,0.15240531019740025,0.08243272979175395,0.0025713262342608894
4,0.2332885767902691,0.37971468041876255,0.06793271840141356,0.0691848716131494,0.07494686615611433,0.14643979882395297,0.07337949502963832,0.05378735525461081,-0.026656580512921697
5,0.26710213640295094,0.43210127378555696,0.03392652128697046,0.03479135018108753,0.0432556175951125,0.03977890932252066,-0.016821640758579854,0.05920116300902327,-0.038533857714103545
6,0.32554271116859945,0.49139259592750334,-0.005385237304507483,0.0428549584852,0.03253853317381658,0.005877084429841692,-0.07563413457747833,0.0890897882711208,-0.05414877863811516
7,0.4097149053618749,0.5473738764320549,-0.05046872589510742,-0.011468625080330282,0.017341787231761004,-0.09953803998863053,-0.13471189413283624,0.11977274917527615,-0.0704197648349024
8,0.42265871773635577,0.5202452631828515,-0.1015343789985796,0.00656198398731003,0.018392289702494416,-0.09390491214418123,-0.15015140908036845,0.13289799442493944,-0.0970323141714271
9,0.44623796761642753,0.4973759343666351,-0.17140344705271035,0.004027303060867166,-0.0006930399985850461,-0.11003180555776237,-0.1924347873284239,0.13368521147014786,-0.12947240935239132
10,0.4441141023667207,0.47472794462887374,-0.24193786659838037,-0.01148702602708126,-0.04035055914187368,-0.1324995246264486,-0.2327035975721001,0.12544385466430624,-0.17129842286344246
11,0.467516738411163,0.449278700522566,-0.3124819441202908,-0.043685275772830164,-0.08399415031983133,-0.15708426891713684,-0.2469109352613027,0.10890474053370462,-0.2148221239284733
12,0.41428460530082367,0.413616481961981,-0.3828834803032028,-0.0972773072496072,-0.14355119239723602,-0.1882427370368533,-0.2810309883328784,0.08210579089785972,-0.2570624404216998
