date,value,matrix_profile,matrix_profile_index
2017-08-01,15.0,0.0,12.0
2017-09-01,15.0,0.8157102780006751,38.0
2017-10-01,15.0,0.6324555320336759,39.0
2017-11-01,15.0,0.5091399026230625,40.0
2017-12-01,15.0,0.4021317445363947,41.0
2018-01-01,15.0,0.2830579053167974,42.0
2018-02-01,15.0,2.220446049250313e-16,43.0
2018-03-01,15.0,2.8665835232995054e-16,44.0
2018-04-01,15.0,2.7194799110210365e-16,45.0
2018-05-01,15.0,2.884444029575346e-16,46.0
2018-06-01,15.0,3.5472161342847354e-16,47.0
2018-07-01,15.0,1.2490009027033011e-15,48.0
2018-08-01,55.00000000000001,0.0,0.0
2018-09-01,55.00000000000001,5.427143688549449e-16,74.0
2018-10-01,55.00000000000001,7.814398170687104e-16,75.0
2018-11-01,55.00000000000001,6.181460191301304e-16,76.0
2018-12-01,55.00000000000001,2.220446049250313e-16,77.0
2019-01-01,55.00000000000001,3.6821932062951477e-16,36.0
2019-02-01,55.00000000000001,3.925231146709438e-16,37.0
2019-03-01,55.00000000000001,0.18723319756483284,80.0
2019-04-01,55.00000000000001,0.26546630205081717,81.0
2019-05-01,55.00000000000001,0.6879352869723386,81.0
2019-06-01,55.00000000000001,0.7661510741817005,34.0
2019-07-01,55.00000000000001,0.8036708915859186,35.0
2019-08-01,35.0,1.0375290085500448e-15,77.0
2019-09-01,35.0,0.4086192873784399,78.0
2019-10-01,35.0,0.4595058410947223,79.0
2019-11-01,35.0,0.5608904142515105,76.0
2019-12-01,35.0,0.5176380902050414,16.0
2020-01-01,35.0,0.4875772327276947,17.0
2020-02-01,35.0,0.4595058410947223,79.0
2020-03-01,35.0,0.40861928737843983,19.0
2020-04-01,30.0,0.6044782915862058,13.0
2020-05-01,30.0,0.4501458320605711,14.0
2020-06-01,30.0,0.3561297191145552,76.0
2020-07-01,30.0,0.26254478391310615,77.0
2020-08-01,25.0,2.9893669801409083e-16,78.0
2020-09-01,25.0,0.0,79.0
2020-10-01,25.0,0.7795241360741786,80.0
2020-11-01,25.0,0.6324555320336759,2.0
2020-12-01,25.0,0.5091399026230625,3.0
2021-01-01,25.0,0.4021317445363947,4.0
2021-02-01,25.0,0.2830579053167974,5.0
2021-03-01,15.0,2.220446049250313e-16,6.0
2021-04-01,15.0,2.8665835232995054e-16,7.0
2021-05-01,15.0,2.7194799110210365e-16,8.0
2021-06-01,15.0,2.884444029575346e-16,9.0
2021-07-01,15.0,3.5472161342847354e-16,10.0
2021-08-01,15.0,1.2490009027033011e-15,11.0
2021-09-01,35.0,0.0,0.0
2021-10-01,35.0,0.0,0.0
2021-11-01,35.0,0.0,0.0
2021-12-01,35.0,0.0,0.0
2022-01-01,35.0,0.0,0.0
2022-02-01,35.0,0.0,0.0
2022-03-01,35.0,0.0,0.0
2022-04-01,35.0,0.0,0.0
2022-05-01,35.0,0.0,0.0
2022-06-01,35.0,0.0,0.0
2022-07-01,35.0,0.0,0.0
2022-08-01,35.0,0.0,0.0
2022-09-01,35.0,0.0,0.0
2022-10-01,35.0,0.0,0.0
2022-11-01,35.0,0.0,0.0
2022-12-01,35.0,0.0,0.0
2023-01-01,35.0,0.0,0.0
2023-02-01,35.0,0.0,0.0
2023-03-01,35.0,0.0,0.0
2023-04-01,35.0,0.0,0.0
2023-05-01,35.0,0.0,0.0
2023-06-01,35.0,0.0,0.0
2023-07-01,35.0,0.0,0.0
2023-08-01,35.0,0.0,0.0
2023-09-01,35.0,0.0,0.0
2023-10-01,35.0,5.427143688549449e-16,13.0
2023-11-01,35.0,7.814398170687104e-16,14.0
2023-12-01,35.0,6.181460191301304e-16,15.0
2024-01-01,35.0,2.220446049250313e-16,16.0
2024-02-01,35.0,2.9893669801409083e-16,36.0
2024-03-01,35.0,0.0,37.0
2024-04-01,35.0,0.18723319756483284,19.0
2024-05-01,35.0,0.26546630205081717,20.0
2024-06-01,35.0,,
2024-07-01,35.0,,
2024-08-01,35.0,,
2024-09-01,20.0,,
2024-10-01,20.0,,
2024-11-01,20.0,,
2024-12-01,20.0,,
2025-01-01,20.0,,
2025-02-01,20.0,,
2025-03-01,25.0,,
2025-04-01,25.0,,
