date,actual,actual_train,actual_test,forecast_holt-winters,forecast_var
2017-08-01,15.0,15.0,,,
2017-09-01,15.0,15.0,,,
2017-10-01,15.0,15.0,,,
2017-11-01,15.0,15.0,,,
2017-12-01,15.0,15.0,,,
2018-01-01,15.0,15.0,,,
2018-02-01,15.0,15.0,,,
2018-03-01,15.0,15.0,,,
2018-04-01,15.0,15.0,,,
2018-05-01,15.0,15.0,,,
2018-06-01,15.0,15.0,,,
2018-07-01,15.0,15.0,,,
2018-08-01,55.00000000000001,55.00000000000001,,,
2018-09-01,55.00000000000001,55.00000000000001,,,
2018-10-01,55.00000000000001,55.00000000000001,,,
2018-11-01,55.00000000000001,55.00000000000001,,,
2018-12-01,55.00000000000001,55.00000000000001,,,
2019-01-01,55.00000000000001,55.00000000000001,,,
2019-02-01,55.00000000000001,55.00000000000001,,,
2019-03-01,55.00000000000001,55.00000000000001,,,
2019-04-01,55.00000000000001,55.00000000000001,,,
2019-05-01,55.00000000000001,55.00000000000001,,,
2019-06-01,55.00000000000001,55.00000000000001,,,
2019-07-01,55.00000000000001,55.00000000000001,,,
2019-08-01,35.0,35.0,,,
2019-09-01,35.0,35.0,,,
2019-10-01,35.0,35.0,,,
2019-11-01,35.0,35.0,,,
2019-12-01,35.0,35.0,,,
2020-01-01,35.0,35.0,,,
2020-02-01,35.0,35.0,,,
2020-03-01,35.0,35.0,,,
2020-04-01,30.0,30.0,,,
2020-05-01,30.0,30.0,,,
2020-06-01,30.0,30.0,,,
2020-07-01,30.0,30.0,,,
2020-08-01,25.0,25.0,,,
2020-09-01,25.0,25.0,,,
2020-10-01,25.0,25.0,,,
2020-11-01,25.0,25.0,,,
2020-12-01,25.0,25.0,,,
2021-01-01,25.0,25.0,,,
2021-02-01,25.0,25.0,,,
2021-03-01,15.0,15.0,,,
2021-04-01,15.0,15.0,,,
2021-05-01,15.0,15.0,,,
2021-06-01,15.0,15.0,,,
2021-07-01,15.0,15.0,,,
2021-08-01,15.0,15.0,,,
2021-09-01,35.0,35.0,,,
2021-10-01,35.0,35.0,,,
2021-11-01,35.0,35.0,,,
2021-12-01,35.0,35.0,,,
2022-01-01,35.0,35.0,,,
2022-02-01,35.0,35.0,,,
2022-03-01,35.0,35.0,,,
2022-04-01,35.0,35.0,,,
2022-05-01,35.0,35.0,,,
2022-06-01,35.0,35.0,,,
2022-07-01,35.0,35.0,,,
2022-08-01,35.0,35.0,,,
2022-09-01,35.0,35.0,,,
2022-10-01,35.0,35.0,,,
2022-11-01,35.0,35.0,,,
2022-12-01,35.0,35.0,,,
2023-01-01,35.0,35.0,,,
2023-02-01,35.0,35.0,,,
2023-03-01,35.0,35.0,,,
2023-04-01,35.0,35.0,,,
2023-05-01,35.0,35.0,,,
2023-06-01,35.0,35.0,,,
2023-07-01,35.0,35.0,,,
2023-08-01,35.0,35.0,,,
2023-09-01,35.0,35.0,,,
2023-10-01,35.0,35.0,,,
2023-11-01,35.0,35.0,,,
2023-12-01,35.0,35.0,,,
2024-01-01,35.0,35.0,,,
2024-02-01,35.0,35.0,,,
2024-03-01,35.0,35.0,,,
2024-04-01,35.0,35.0,,,
2024-05-01,35.0,,35.0,34.97999921658841,36.80842321616146
2024-06-01,35.0,,35.0,34.980450618649,37.85479364552904
2024-07-01,35.0,,35.0,34.98071853522036,38.959522028492245
2024-08-01,35.0,,35.0,37.491712910801255,40.520538549276026
2024-09-01,20.0,,20.0,40.34858106120646,41.082339018419006
2024-10-01,20.0,,20.0,40.34731347144498,41.432190946839164
2024-11-01,20.0,,20.0,40.34693581339532,41.39806693804776
2024-12-01,20.0,,20.0,40.34636709485827,40.95867609218705
2025-01-01,20.0,,20.0,40.34610510115181,40.400845495385056
2025-02-01,20.0,,20.0,40.346360288362,39.94320804489391
2025-03-01,25.0,,25.0,38.918313168437976,39.69773470598304
2025-04-01,25.0,,25.0,38.20455314536348,39.791196292995394
