lag,acled_events,acled_fatalities,idp_population,ipc_phase_3plus_pct,rain_1m,rain_3m,rain_anomaly_1m,rain_anomaly_3m,wfp_inflation_mean,wfp_price_mean
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.9038011520081276,0.7640581500958207,0.9901230870667074,0.9314847491964648,0.626098108043342,0.8376943204430579,0.2547615019576942,0.650945530676793,0.8927488137347939,0.9677113901047066
2,0.8170317783962946,0.6933018780751801,0.9755825939139773,0.8629694983929287,0.3106084255324817,0.4836920046179511,0.2540503451720595,0.5427006298164919,0.7319323455315978,0.92518018865019
3,0.7362234729447641,0.5673929026941001,0.9567849645665104,0.7944542475893931,0.01894255428348788,0.057575024908810175,0.342290174536482,0.41091851306104693,0.5890733486025789,0.8862181468123865
4,0.7027311991468613,0.5017940967238974,0.9340971202849082,0.7259389967858577,-0.264661076129884,-0.2966492659767991,0.11998687028194971,0.3658815324594122,0.4672869213659815,0.8457532399086022
5,0.6970710150433035,0.49867862023109516,0.9076482177473281,0.657423745982322,-0.4579785560217539,-0.5375124102265921,0.08978971312725173,0.30764738934524966,0.34789118137831043,0.7986720941787298
6,0.7125250938422166,0.520116383479525,0.8775573398617178,0.5889084951787861,-0.5124198656078834,-0.6211329851013528,0.21016735088108504,0.28223055758293863,0.2354321601353365,0.7535316500074469
7,0.7042627549742928,0.5436343125032381,0.8441290041244008,0.5338801055620945,-0.4411480640518031,-0.5403925890378459,0.060474414869572224,0.256983281141454,0.12078268847718122,0.7167931837905366
8,0.6519485967572867,0.4694183249981661,0.8076941042640153,0.48424646042014025,-0.23084744366062898,-0.31744132371850503,0.09862230818825812,0.21989667694124715,0.006161872801534428,0.6842000591942937
9,0.6095955651874335,0.47325519741533706,0.7686703017214628,0.4419508279239309,-0.025751747020111473,-0.006214359947877184,0.004984701747945658,0.0300089736500423,-0.11558058028530158,0.6502636692420856
10,0.5425882861121125,0.44182646369359097,0.727655728069605,0.3996551954277217,0.22685435640559007,0.3354305065700017,0.006738952709403026,0.09461740859489844,-0.2255503028489801,0.6205008310287798
11,0.5148690384510307,0.4164438032159031,0.6852036245547102,0.3573595629315125,0.5061490483532887,0.6049250726728138,0.031633950171094015,0.08688849687013597,-0.3162039188369233,0.5888131352958934
12,0.49932831713895504,0.4044243736549582,0.6417638904693929,0.30966918596056586,0.6441018349688826,0.7044350447012454,0.14079312246099351,0.14713677568285088,-0.36615755020047724,0.5654037567251152
