lag,acled_events,acled_fatalities,idp_population,rain_1m,rain_3m,rain_anomaly_1m,rain_anomaly_3m,wfp_inflation_mean,wfp_price_mean
-12,-0.2307153283794704,-0.21586335658016112,0.44246106750041764,-0.13982782114093015,-0.20609864134387942,-0.12068815071885633,-0.23838022417994217,0.38827907434162234,0.14194257003640337
-11,-0.22223630027356145,-0.19224734522370257,0.413758907739775,-0.1425494854032091,-0.24287707524080082,-0.14646239376809309,-0.312146126596172,0.3565122889219492,0.11117959033068515
-10,-0.18112727040901128,-0.123874630890328,0.3841118918113323,-0.24353200393728122,-0.36039331816396486,-0.19630326297783168,-0.3282209704895998,0.4070169064673223,0.09270384785448198
-9,-0.15983519483869849,-0.12135807773306886,0.35434758780821635,-0.37601608919177704,-0.38208360807094166,-0.2781126931673435,-0.37224893609351917,0.4726014575485554,0.09427684688914718
-8,-0.18770061161490195,-0.21542768125778872,0.3260221732789992,-0.332814946141818,-0.26485540286425985,-0.22037583001972202,-0.3319033553629389,0.4995533123954145,0.0703794236303428
-7,-0.18193457032376326,-0.19624669740792755,0.2914221239620739,-0.20710783629802645,-0.1347798416089474,-0.2522659171420201,-0.35724021399845374,0.49195500358696215,0.03621769538409163
-6,-0.1511324078151756,-0.19865725042697205,0.2554667841541186,-0.05476123242467818,-0.03512105031285512,-0.1933837383556117,-0.3190828810406498,0.5020965325045121,0.02400247138789478
-5,-0.16473791685076827,-0.16137496054426184,0.21817581460750007,-0.01710086196991096,0.002189869734348604,-0.18315846806108246,-0.2982202979906599,0.5071395993784699,0.013095698288565468
-4,-0.16153351400358412,-0.12411501744677796,0.17856921783442725,-0.00202089563727834,-0.02477277358275229,-0.16429771478568841,-0.25643260158156655,0.4273070394313213,-0.019844943415169604
-3,-0.1335513397947154,-0.10650580623148713,0.13693225346293114,-0.031576579762450624,-0.05352903472264461,-0.12989064004073345,-0.1751471967411095,0.33503050322729383,-0.04537957824455857
-2,-0.11445095970860979,-0.05311097489245254,0.09678310853200509,-0.03766521472794244,-0.0731695904801581,-0.04367775669829773,-0.08603198073100647,0.23309251614239282,-0.07689740266451499
-1,-0.09724679999947416,-0.009703414334767494,0.058341831457330615,-0.0421916984802561,-0.07735410514369942,-0.012405716960373118,-0.0583374519036785,0.1357445592436463,-0.11004504091958921
0,-0.07591492199116782,0.0626966444321711,0.021636512743538172,-0.0601356305875551,-0.07583823368931318,-0.015363484656736074,-0.047854366084683464,0.05235135490903381,-0.1460077787140459
1,-0.02162329810893366,0.11647612289890197,-0.03723747931600599,-0.08192317639463356,-0.07504232951413636,-0.012951532790293322,-0.01861930935270682,0.011962095414446643,-0.2000117721284842
2,0.027588715035952817,0.17342631946438633,-0.09572895663078154,-0.08680949004960514,-0.05179909416069245,-0.018405874125901386,-0.0038179110463341373,-0.04150502137591989,-0.259648004031197
3,0.09563677454690163,0.24170241556272815,-0.1545147044355108,-0.05812694301134289,-0.0016003245340885867,0.013031768765078208,0.0083959279814377,-0.0843816210672336,-0.3167563175209031
4,0.1573490184565729,0.2808265252600065,-0.2141447947237677,-0.02319859836730193,0.0626397682974318,0.020682782943492118,0.02625080324352207,-0.0761407950556668,-0.36632636520579487
5,0.20787395465457295,0.3100675514259998,-0.27375589536253186,0.039236530750831305,0.11260252253768215,0.014221552109198694,0.033634156962181985,-0.0338713671822854,-0.40472000824071686
6,0.25616395385602314,0.34752128586173575,-0.332176177851524,0.10433968214188748,0.12885728875992797,0.033451460717445314,0.02661634330020922,-0.014692976341729632,-0.442916131212732
7,0.31496210559202675,0.35629579021007857,-0.38924435531044527,0.10187075715540263,0.12548831207390107,0.029335602821737927,0.026848787736374558,-0.020143545605833535,-0.48202927491194725
8,0.34778996592114103,0.35949117593481944,-0.44500055739723376,0.0779915899193931,0.11368045899448787,-0.0072426748082459825,0.026820266103972187,-0.026847454237225447,-0.5216319054747988
9,0.37615938381153025,0.33542928969876407,-0.49926894581006187,0.09414024130773117,0.0909809543532008,0.03212077520919769,0.05815348894617965,-0.03384499902098695,-0.5578324054618583
10,0.43099577047115667,0.38233547472521917,-0.5538262232717381,0.0696530060075833,0.03937748455379616,0.060462847379073384,0.11040612562669205,-0.04539136480210432,-0.5918596710041382
11,0.4992179725316719,0.44061179052301913,-0.6066411992462911,0.016696536138290082,-0.012240897065901013,0.055446879203348044,0.11557196563448767,-0.07822293738491262,-0.6278848537215018
12,0.5777449266682032,0.4926040333660779,-0.6577916947332288,-0.03878744078897596,-0.032082370476179116,0.08473156084784082,0.1521567831898261,-0.10946719023290194,-0.6729272503086619
