lag,acf,pacf
0,1.0,1.0
1,-0.0004747971759494898,-0.0004800147273335699
2,-0.0006756074510822477,-0.0006908515233156317
3,-0.0006807127970602365,-0.0007043220268391453
4,-0.0006858181430382153,-0.0007181463366198517
5,-0.1132212577530351,-0.11973009566980242
6,-0.31578096477424733,-0.3428547431567604
7,-0.06821933473938346,-0.10148310526872724
8,-0.09014339215070075,-0.12702316247857895
9,-0.0001242300854635061,-0.022850223421849874
10,-0.0001293354314414537,-0.028414128019687637
11,0.15740802719220712,0.10785712520846043
12,-0.10828608997434848,-0.2893820987030577
13,0.04475005927873939,-0.06350975844137836
14,-0.0008542945603105902,-0.13845648656697646
15,-0.0008593999062885464,-0.05590331517945882
16,-0.0008645052522664714,-0.020856398688287817
17,0.029138478538827336,0.10732627286644056
18,-0.045886849649829954,-0.23710301333190537
19,0.27767352787348726,0.46217497705275495
20,0.01359723812127805,-0.16418055681713897
21,8.849266361783558e-05,0.15349665902981072
22,8.338731763986803e-05,-0.13228412442436313
23,-0.04493385173394574,0.2119928663608327
24,0.0008559963423032008,-0.30197225810098255
