lag,acled_events,acled_fatalities,idp_population,rain_1m,rain_3m,rain_anomaly_1m,rain_anomaly_3m,wfp_inflation_mean,wfp_price_mean
-12,-0.1017497529682103,-0.05606161125370221,0.05368988459366259,0.012595644679316119,0.13188035492784195,0.11745074626810312,0.23750626913219497,0.3938339956833681,0.34049802022279235
-11,-0.09975251522080113,-0.0836717262990171,0.07415132634378309,0.12537544476150003,0.18704164328316567,0.17618097895886004,0.2328513991559245,0.456897523736061,0.3413773708397661
-10,-0.10203550187654181,-0.09291226530654077,0.08981937193193995,0.16996900922804928,0.15951979157406432,0.1635272057327288,0.09340898493047507,0.5052417969201806,0.3445595061884892
-9,-0.07464548182066308,-0.09259428052595718,0.10210741853013433,0.13077555868352828,0.10719257720408243,0.07460811524467197,-0.01316768889089643,0.48821823590650143,0.32329348008456726
-8,-0.04292949135180136,-0.06580248010923681,0.11449923195593707,0.08567833994326632,0.0212506848608427,-0.03839652184099235,-0.1334987005248844,0.40257407825946895,0.29134688946435955
-7,-0.012259045416109124,-0.02514880189124799,0.16511589551370331,0.05314170798842156,-0.10303325261403418,-0.023722537029772048,-0.1837876903734168,0.3612763997195721,0.28426295743160884
-6,0.014816630124442889,0.009924235301566692,0.22169329870434035,-0.06899471304135575,-0.20549143012003032,-0.10417812962178884,-0.23474230041314173,0.3389526439083599,0.276040679409229
-5,0.04136357430492975,0.030888866858432604,0.2839695913172144,-0.21144893406318485,-0.26183063768692516,-0.20296704368817403,-0.2443986930245411,0.3531453709327015,0.2603440025480965
-4,0.03636789581362195,0.03220629217612137,0.35183868886086356,-0.19653767087287327,-0.2559456889494548,-0.08643211750747917,-0.1648802037532486,0.3371261956292201,0.21013134708875442
-3,0.03842835328018282,0.05580705333549672,0.4231805321973467,-0.19309119954728726,-0.22542520811063815,-0.07046737718637765,-0.09144890252191071,0.29100306069341975,0.13783488187680176
-2,0.00832324633996993,0.04636287662722229,0.4848134311806688,-0.20354333998744653,-0.1668406504453756,-0.06700488372886797,-0.030671724899243778,0.2320456654754781,0.0444076548694226
-1,-0.04996090721007052,0.0017859213053860823,0.5285118243762836,-0.13066126444326984,-0.055110510994415225,0.034842938817936354,0.047215982453435744,0.22178882599161198,-0.03154760323013953
0,-0.08576602843852947,-0.016704623228511482,0.5609469146631955,-0.062422482205927776,0.03481430681170456,0.05959153979518868,0.06565492375262864,0.17347393860178442,-0.11724894592477347
1,-0.12767137338973214,-0.015070158423925764,0.5795317673267887,0.06276653465738974,0.11818351049401063,0.09814158403167822,0.055899232171975004,0.1363051977524137,-0.17053803273400284
2,-0.1293800232526261,0.003515729885718282,0.589664714397533,0.08775874328981699,0.14307814173709887,0.011521546290820936,-0.011294359913716252,0.11873355814264072,-0.20405824976785553
3,-0.11907773975510391,0.03500732303194488,0.589635826496647,0.14109892942522342,0.13018361288595176,0.013597624168745518,-0.0779245765846682,0.19509802038639687,-0.20211976347700514
4,-0.0783174718655169,0.07884218303947181,0.5922176893701271,0.12398836951253027,0.07021938955089653,-0.048239106774430385,-0.11712680620810587,0.31324346950094906,-0.16439102275001174
5,-0.007298079414396738,0.11027286798340864,0.5962812541720652,0.05668690486543757,-0.03753570703388447,-0.10219714444693878,-0.15426348182262417,0.413137832651692,-0.11761603486587888
6,0.041336675230525304,0.11263111884694858,0.5978395980312106,-0.005616941861197857,-0.1585409934739333,-0.08761049506121389,-0.21924190145893646,0.471506250181187,-0.08889188624224738
7,0.10448848087867521,0.14781062514737367,0.5901264894266048,-0.13974748613376506,-0.26297871848319854,-0.16943595090832214,-0.24475387881092228,0.49012875406684403,-0.09829684226130081
8,0.16369548796287364,0.12768105480641634,0.5719196074726742,-0.23931520463987885,-0.3032373977780097,-0.23601264323504909,-0.18575651848351446,0.45811277719549004,-0.11506596788703907
9,0.20021500637566897,0.08425744404507707,0.533165151096523,-0.2591986744684841,-0.30698057452235916,-0.17128780908618016,-0.1185328213508476,0.38553489507476985,-0.13284440334290565
10,0.19803794905120203,0.04759617806385847,0.4866811785954043,-0.23601655769087884,-0.27888675840519805,-0.04301095400784001,-0.03854654990549209,0.29647818150321753,-0.16408885117348562
11,0.21822546654544547,0.04822773601642226,0.4363854610635068,-0.24705907817031303,-0.2124015888596602,-0.08217246567684978,-0.024082095515251874,0.12533345965868592,-0.22946109728887262
12,0.23473788124412814,-0.0001769672800730349,0.3819810964112461,-0.19054853604921604,-0.10325920504342345,-0.07138844081518021,-0.021457692236101607,-0.0027773128975592237,-0.2623568440469665
