date,actual,actual_train,actual_test,forecast_holt-winters,forecast_sarimax,forecast_var
2017-08-01,32.0,32.0,,,,
2017-09-01,32.0,32.0,,,,
2017-10-01,32.0,32.0,,,,
2017-11-01,32.0,32.0,,,,
2017-12-01,32.0,32.0,,,,
2018-01-01,32.0,32.0,,,,
2018-02-01,32.0,32.0,,,,
2018-03-01,32.0,32.0,,,,
2018-04-01,32.0,32.0,,,,
2018-05-01,32.0,32.0,,,,
2018-06-01,32.0,32.0,,,,
2018-07-01,32.0,32.0,,,,
2018-08-01,35.0,35.0,,,,
2018-09-01,35.0,35.0,,,,
2018-10-01,35.0,35.0,,,,
2018-11-01,35.0,35.0,,,,
2018-12-01,35.0,35.0,,,,
2019-01-01,35.0,35.0,,,,
2019-02-01,35.0,35.0,,,,
2019-03-01,35.0,35.0,,,,
2019-04-01,35.0,35.0,,,,
2019-05-01,35.0,35.0,,,,
2019-06-01,35.0,35.0,,,,
2019-07-01,35.0,35.0,,,,
2019-08-01,15.0,15.0,,,,
2019-09-01,15.0,15.0,,,,
2019-10-01,15.0,15.0,,,,
2019-11-01,15.0,15.0,,,,
2019-12-01,15.0,15.0,,,,
2020-01-01,15.0,15.0,,,,
2020-02-01,15.0,15.0,,,,
2020-03-01,15.0,15.0,,,,
2020-04-01,30.0,30.0,,,,
2020-05-01,30.0,30.0,,,,
2020-06-01,30.0,30.0,,,,
2020-07-01,30.0,30.0,,,,
2020-08-01,30.0,30.0,,,,
2020-09-01,30.0,30.0,,,,
2020-10-01,30.0,30.0,,,,
2020-11-01,30.0,30.0,,,,
2020-12-01,30.0,30.0,,,,
2021-01-01,30.0,30.0,,,,
2021-02-01,30.0,30.0,,,,
2021-03-01,25.0,25.0,,,,
2021-04-01,25.0,25.0,,,,
2021-05-01,25.0,25.0,,,,
2021-06-01,25.0,25.0,,,,
2021-07-01,25.0,25.0,,,,
2021-08-01,25.0,25.0,,,,
2021-09-01,55.00000000000001,55.00000000000001,,,,
2021-10-01,55.00000000000001,55.00000000000001,,,,
2021-11-01,55.00000000000001,55.00000000000001,,,,
2021-12-01,55.00000000000001,55.00000000000001,,,,
2022-01-01,55.00000000000001,55.00000000000001,,,,
2022-02-01,55.00000000000001,55.00000000000001,,,,
2022-03-01,40.0,40.0,,,,
2022-04-01,40.0,40.0,,,,
2022-05-01,40.0,40.0,,,,
2022-06-01,40.0,40.0,,,,
2022-07-01,40.0,40.0,,,,
2022-08-01,40.0,40.0,,,,
2022-09-01,25.0,25.0,,,,
2022-10-01,25.0,25.0,,,,
2022-11-01,25.0,25.0,,,,
2022-12-01,25.0,25.0,,,,
2023-01-01,25.0,25.0,,,,
2023-02-01,25.0,25.0,,,,
2023-03-01,25.0,25.0,,,,
2023-04-01,40.0,40.0,,,,
2023-05-01,40.0,40.0,,,,
2023-06-01,40.0,40.0,,,,
2023-07-01,40.0,40.0,,,,
2023-08-01,40.0,40.0,,,,
2023-09-01,40.0,40.0,,,,
2023-10-01,15.0,15.0,,,,
2023-11-01,15.0,15.0,,,,
2023-12-01,15.0,15.0,,,,
2024-01-01,15.0,15.0,,,,
2024-02-01,15.0,15.0,,,,
2024-03-01,30.0,30.0,,,,
2024-04-01,30.0,30.0,,,,
2024-05-01,30.0,,30.0,29.999936776040386,27.347523792760153,28.568581487205304
2024-06-01,30.0,,30.0,30.000084600123614,27.302325310165152,24.94468953806874
2024-07-01,30.0,,30.0,30.000089876702823,27.32039710924093,22.37907369309977
2024-08-01,30.0,,30.0,27.16680929309972,21.545935240659468,18.74349012487103
2024-09-01,15.0,,15.0,29.309684233105386,25.342780655391078,15.457991750821972
2024-10-01,15.0,,15.0,25.738222320684923,32.56455487065218,12.322969661151113
2024-11-01,15.0,,15.0,25.73829996635395,32.651313847921834,10.008210206141076
2024-12-01,15.0,,15.0,25.73828032288273,32.71326549540511,8.461325855515732
2025-01-01,15.0,,15.0,25.73854647001305,32.760218276409866,7.658065267842456
2025-02-01,15.0,,15.0,25.73862548195288,32.79898677987998,7.412340467286089
2025-03-01,20.0,,20.0,25.024116412540515,23.74123565514446,7.44505603611422
2025-04-01,20.0,,20.0,29.309542468317105,31.031624285318678,7.537532651288835
