lag,acf,pacf
0,1.0,1.0
1,-0.00012347252537160653,-0.00012482936630976217
2,-2.6553231262861274e-06,-2.7299127200871884e-06
3,-3.982984689412157e-06,-4.117922266816276e-06
4,-0.11237858535005123,-0.11748670573495498
5,-0.022481293248575427,-0.024135860823127537
6,-0.23599184284735608,-0.25621428217061526
7,-0.03372127604208159,-0.04295490670792377
8,-0.05583082405297896,-0.09103831303123469
9,0.00035448563735718377,-0.01222216135477794
10,0.0003531579757940725,-0.0734627839159045
11,0.06777579513651012,0.0565787208197384
12,0.12347252537161245,0.06065923945114666
13,0.11223387023966948,0.12909584984745506
14,-0.0003850218533093305,-0.0352363430467451
15,-0.00038634951487246825,0.025232068316459903
16,-0.0003876771764356219,0.005684116819288013
17,-0.18018624436407654,-0.17079434907110372
18,0.010846994970818041,0.060331194386853755
19,-0.09016813506035555,-0.06379486206617593
20,-0.22501739236647703,-0.32155218617916365
21,-0.0002721706204428461,-0.058130745278986054
22,-0.00027349828200592746,-0.033987343462789386
23,0.17952241358250884,0.13605454757605903
24,-0.011635625939320653,-0.11408117303522941
