lag,acled_events,acled_fatalities,idp_population,ipc_phase_3plus_pct,rain_1m,rain_3m,rain_anomaly_1m,rain_anomaly_3m,wfp_inflation_mean,wfp_price_mean
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.4970234510707643,0.328114540626118,0.9872208323199163,0.8269470491281044,0.5897986886468166,0.844172146795778,0.2962494667173388,0.7383127605032754,0.7255057939310184,0.8876646784515922
2,0.4614594689955182,0.3663100192828,0.967599370267758,0.6538940982562085,0.335371024340955,0.5171775486144716,0.23713997964992853,0.554498315310303,0.44100094390085437,0.7643313733796933
3,0.3783033612743466,0.3553051971029762,0.941645516810574,0.4914680258729345,0.07459405163669697,0.11014644200404608,0.21297345540526263,0.35161427936427664,0.2759214697592073,0.6685867415696605
4,0.19029192954453641,0.25603029836695107,0.9099092042522076,0.3290419534896604,-0.21784740431673605,-0.23227292655905254,0.12294799140160455,0.34504660613385724,0.18312891507840645,0.5992674311894302
5,0.20246819781133388,0.10308903909905524,0.8740371414117614,0.19989196526267672,-0.4045849966346395,-0.46907162979310923,0.13111498358461962,0.36483486782970104,0.08735948027777178,0.5626652367307469
6,0.207022263203834,0.2359289590157526,0.8346638763539989,0.07739719386695097,-0.4541429573569618,-0.5559392699428638,0.23951086962689688,0.3874114746657517,0.018720664023763527,0.523757882160382
7,0.22772757408757663,0.24773235540451277,0.7921824265096999,0.024782199199434772,-0.3896602915978003,-0.47378280173365245,0.15395290620094323,0.3782062500036022,0.034556177662259165,0.521214966940608
8,0.2522287216497077,0.16633903251908563,0.7470863159972029,-0.017849970221194306,-0.2095732675810043,-0.2532964345041915,0.0854699705101583,0.33063282846688324,-0.0020217292098560755,0.4911426232281933
9,0.40189976032322644,0.2256611874632293,0.7000519013029908,-0.011963462097813076,0.05593276351504664,0.061416407107804924,0.13246074530445923,0.23652479683939365,-0.0922614458510108,0.462814230086252
10,0.2856507863326488,0.2464238595368575,0.6511174076526025,-0.006076953974431778,0.2773730812265632,0.3810179229789187,0.14564308352855188,0.26036104261779347,-0.1876329763827105,0.4639197154731447
11,0.42355439208630175,0.16262022376489416,0.6006069116526754,-0.0001904458510505578,0.5123178587667834,0.6127017011186552,0.15825042270747597,0.29369466937184546,-0.30219467842799513,0.45671046679364863
12,0.3675288489350598,0.20046650623254028,0.5488198667700673,-0.01426958822144348,0.5730104684662352,0.6919511114339185,0.21676514655608298,0.3430674399337192,-0.34355475396036905,0.46765381540483536
