date,value,matrix_profile,matrix_profile_index
2017-08-01,40.0,0.0,12.0
2017-09-01,40.0,1.2814742548776324e-15,13.0
2017-10-01,40.0,1.0187972539691566e-15,14.0
2017-11-01,40.0,0.0,15.0
2017-12-01,40.0,7.691850745534255e-16,16.0
2018-01-01,40.0,7.364386412590295e-16,17.0
2018-02-01,40.0,0.0,18.0
2018-03-01,40.0,7.364386412590295e-16,19.0
2018-04-01,40.0,8.15843973306311e-16,20.0
2018-05-01,40.0,0.43400085871878963,33.0
2018-06-01,40.0,0.5753308974051592,34.0
2018-07-01,40.0,0.7737582959227377,35.0
2018-08-01,60.0,0.0,0.0
2018-09-01,60.0,1.2814742548776324e-15,1.0
2018-10-01,60.0,1.0187972539691566e-15,2.0
2018-11-01,60.0,0.0,3.0
2018-12-01,60.0,7.691850745534255e-16,4.0
2019-01-01,60.0,7.364386412590295e-16,5.0
2019-02-01,60.0,0.0,6.0
2019-03-01,60.0,7.364386412590295e-16,7.0
2019-04-01,60.0,8.15843973306311e-16,8.0
2019-05-01,60.0,0.8114990346755603,74.0
2019-06-01,60.0,0.7037687207268044,75.0
2019-07-01,60.0,0.6139989068382955,76.0
2019-08-01,65.0,0.5338671637916231,77.0
2019-09-01,65.0,0.2234208822291931,61.0
2019-10-01,65.0,0.2973919678742179,49.0
2019-11-01,65.0,0.31018785467924836,50.0
2019-12-01,65.0,0.32957162199436363,51.0
2020-01-01,65.0,0.35928375457428957,52.0
2020-02-01,65.0,0.407793238875883,53.0
2020-03-01,65.0,0.4997152267765266,54.0
2020-04-01,40.0,0.28219528910190433,57.0
2020-05-01,40.0,0.37896975661782245,58.0
2020-06-01,40.0,0.42632436663963746,59.0
2020-07-01,40.0,0.4086192873784399,60.0
2020-08-01,50.0,1.6200001659110017e-15,61.0
2020-09-01,50.0,0.0,49.0
2020-10-01,50.0,0.44893473239236664,1.0
2020-11-01,50.0,0.3203644860139344,2.0
2020-12-01,50.0,0.2510139559539023,3.0
2021-01-01,50.0,0.19707523593328433,4.0
2021-02-01,50.0,0.13951768127919517,5.0
2021-03-01,45.0,0.0,6.0
2021-04-01,45.0,0.3730535701757345,74.0
2021-05-01,45.0,0.4541566457125365,75.0
2021-06-01,45.0,0.4705373698232956,76.0
2021-07-01,45.0,0.4387759362281874,77.0
2021-08-01,45.0,0.34707216046635636,78.0
2021-09-01,65.0,0.0,37.0
2021-10-01,65.0,0.31018785467924836,27.0
2021-11-01,65.0,0.32957162199436363,28.0
2021-12-01,65.0,0.35928375457428957,29.0
2022-01-01,65.0,0.407793238875883,30.0
2022-02-01,65.0,0.4997152267765266,31.0
2022-03-01,50.0,1.3888885600717775e-15,6.0
2022-04-01,50.0,1.6200001659110017e-15,19.0
2022-05-01,50.0,0.28219528910190433,32.0
2022-06-01,50.0,0.37896975661782245,33.0
2022-07-01,50.0,0.42632436663963746,34.0
2022-08-01,50.0,0.4086192873784399,35.0
2022-09-01,55.00000000000001,1.6200001659110017e-15,36.0
2022-10-01,55.00000000000001,9.453208419344607e-16,79.0
2022-11-01,55.00000000000001,0.27126522283873716,80.0
2022-12-01,55.00000000000001,0.31233693682059893,81.0
2023-01-01,55.00000000000001,0.5924780875349777,81.0
2023-02-01,55.00000000000001,0.5338671637916235,24.0
2023-03-01,55.00000000000001,0.43929966331593967,36.0
2023-04-01,50.0,0.5321746418630778,38.0
2023-05-01,50.0,0.4513396968570373,39.0
2023-06-01,50.0,0.3945976404240262,40.0
2023-07-01,50.0,0.3508971065696958,41.0
2023-08-01,50.0,0.31379809724389096,42.0
2023-09-01,50.0,0.2790180555908818,6.0
2023-10-01,45.0,0.3730535701757345,44.0
2023-11-01,45.0,0.4541566457125365,45.0
2023-12-01,45.0,0.4705373698232956,46.0
2024-01-01,45.0,0.4387759362281874,47.0
2024-02-01,45.0,0.34707216046635636,48.0
2024-03-01,55.00000000000001,4.440892098500626e-16,37.0
2024-04-01,55.00000000000001,0.27126522283873716,63.0
2024-05-01,55.00000000000001,0.31233693682059893,64.0
2024-06-01,55.00000000000001,,
2024-07-01,55.00000000000001,,
2024-08-01,55.00000000000001,,
2024-09-01,40.0,,
2024-10-01,40.0,,
2024-11-01,40.0,,
2024-12-01,40.0,,
2025-01-01,40.0,,
2025-02-01,40.0,,
2025-03-01,35.0,,
2025-04-01,35.0,,
