lag,acf,pacf
0,1.0,1.0
1,-2.4250141302694715e-06,-2.4516626371965164e-06
2,-1.444578309859804e-05,-1.4766806511530206e-05
3,-1.4471858519351693e-05,-1.4959746385392497e-05
4,-1.4497933940105343e-05,-1.5157222359376753e-05
5,-1.4524009360875726e-05,-1.535923869899221e-05
6,-0.0220847862123188,-0.023625586018738858
7,-0.022084812287739546,-0.023917036646783654
8,-1.460223562315341e-05,-3.0375630308645063e-05
9,-1.4628311043898696e-05,-1.7708865091969726e-05
10,-1.46543864646634e-05,-1.794782523716379e-05
11,-1.4680461885392496e-05,-1.8193044666431012e-05
12,-0.646754188990269,-0.745168201407331
13,0.0881846479812983,0.22671111612576533
14,-9.63226042711651e-05,-0.04180507743458754
15,-9.634867969193341e-05,0.007366623550735452
16,-9.6374755112686e-05,-0.0016663233581143129
17,-0.005613959862417755,-0.04759245602455643
18,0.03300892728535156,0.008447056686758415
19,0.08819648622232135,0.19785523712478
20,-8.448436324814764e-05,-0.06250447165948138
21,-8.451043866889085e-05,0.01494812908206016
22,-8.453651408962775e-05,-0.00539084804057551
23,-0.011119680653278981,-0.04182031242089753
24,0.18762037066106305,-0.7093294773128788
