lag,acled_events,acled_fatalities,idp_population,ipc_phase_3plus_pct,rain_1m,rain_3m,rain_anomaly_1m,rain_anomaly_3m,wfp_inflation_mean,wfp_price_mean
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.8882863751598289,0.7016336431325899,0.9699669783194486,0.8819443250691688,0.5365486630503349,0.8134768576069776,0.37625772341739083,0.7462639352767096,0.9180354063599565,0.9384568184731013
2,0.8662150061536196,0.6204616509849811,0.9333080203665468,0.7638886501383374,0.25929126861187235,0.4425448487515663,0.17456714209995847,0.4540835474642079,0.8121659163514512,0.8746492370567478
3,0.8036500949541622,0.40883970913106754,0.8906090657655736,0.6439086457623052,-0.05479424842909397,0.010084305086205742,-0.008752467902110723,0.13911862482468026,0.6993933998776476,0.7962211209210821
4,0.7642431941118046,0.31022275961062595,0.842518807997453,0.5239286413862727,-0.25163099629655217,-0.30142643992924395,-0.009781049273805378,0.023878551173888842,0.5628266097275256,0.7161660245498831
5,0.7285836797557412,0.33882804394892163,0.7910251126395715,0.4039486370102405,-0.3645947100352849,-0.4938214399020352,0.03357066173941473,0.01648617968805449,0.4205315881629085,0.6340381999334157
6,0.693884437414474,0.3034073711099505,0.7369739050763797,0.28396863263420813,-0.40376291589597885,-0.5511977558741968,0.012886150091749956,0.09196139382588461,0.3003238553252478,0.5616677992500506
7,0.6853708388584158,0.3602120896654035,0.6811611625783438,0.16908727892494776,-0.3586980764284941,-0.4754285196078747,0.029607308279276132,0.14335071672437086,0.1747513630838251,0.49612180059573013
8,0.6391664026669868,0.28081282018056186,0.6251446983870858,0.05930457588245925,-0.21240653469538162,-0.25113201439223104,0.10076684307104876,0.1877349734213397,0.04635315658239832,0.42300254325600983
9,0.6408095199110622,0.24856015861361438,0.5695078064794561,-0.05047812716002921,-0.007934081560537752,0.056600444292839246,0.08419145563844564,0.16377414161029358,-0.07149826654963043,0.36511003792884184
10,0.634898660507412,0.2062071468741737,0.5146844450940926,-0.1602608302025177,0.37052903341476273,0.37398837513542843,0.2287634633621803,0.14519230587995757,-0.16217042662950382,0.31705519117652825
11,0.5722432044054454,0.12977365189721524,0.46103178198553174,-0.2700435332450062,0.3975974291748114,0.5549340273146444,-0.0010509304747754703,0.07535283455010051,-0.2611350343791863,0.2622561770369221
12,0.5787858284036683,0.1379120678468326,0.40814181072087624,-0.3798262362874947,0.4451698606185043,0.5836309419866988,-0.03394646747520273,0.021545348261629977,-0.34284160166125155,0.21688027582311664
