lag,acled_events,acled_fatalities,idp_population,rain_1m,rain_3m,rain_anomaly_1m,rain_anomaly_3m,wfp_inflation_mean,wfp_price_mean
-12,0.19621412937773774,-0.19352930910121088,0.1496970244812254,0.187074027571139,0.20984942602326065,0.27793236288228845,0.39016059737616254,0.007286795192268504,0.057589152500983225
-11,0.2109808249470275,-0.09075790909441385,0.18066696698072796,0.1792968528995413,0.18883376262227936,0.28740875644329306,0.3549069490021588,-0.04161490564148483,0.03585404407606663
-10,0.23333268438924457,-0.025213576467089115,0.2129544253185017,0.1331129114503925,0.09338718336764593,0.21966506606615174,0.2190828929292934,-0.09279472722402082,0.0003525690844045893
-9,0.30406611954567814,0.06862736467308192,0.2425893589128332,0.040426492519342896,0.10051449978036306,0.14588680966367065,0.2930325232835005,-0.11853626155975612,-0.02255324498893788
-8,0.32568177222737354,0.07314675367235036,0.2704135097001798,0.04533194316624741,0.16743603160287857,0.17652056015242507,0.3557482109335932,-0.13882190180796092,-0.043189227341532285
-7,0.3528363281725507,0.12979813071960053,0.30418435846461644,0.16342001530757766,0.17932317831802597,0.28943786498913976,0.33063149734282293,-0.1971532049951661,-0.1027219329496086
-6,0.33304908028991054,0.15424365428164385,0.33237047441078266,0.2025816253615654,0.14573063402498235,0.2955134877471555,0.26404629994768286,-0.17181697751400138,-0.08878069836312773
-5,0.2843206247392662,0.14619442109266012,0.3557307946066706,0.07634804424431726,0.09224607374674341,0.12654533848453692,0.15007781926269742,-0.09966709482725997,-0.04076079155938924
-4,0.26169625362672627,0.13673316374549035,0.37461732778348433,0.07974055677456934,0.0825922611116501,0.10972865531264013,0.11982955284359126,-0.01974285206098968,0.010767632728182977
-3,0.2355604378232643,0.13851708034005444,0.35911032419361616,0.059942922649696896,0.06954188419302781,0.07029244344420399,0.09030465544464988,0.07623250798165276,0.06343587409357507
-2,0.2061393203034527,0.1398268639806035,0.34362642359208323,0.055281610418513746,0.06655165700007144,0.0628155102975022,0.09239786745028332,0.17579402824793863,0.11984620710892523
-1,0.15453997772528644,0.13684379617391543,0.3225073102034557,0.05589618871409032,0.06767211296844625,0.060756044031225184,0.09607385898084114,0.2583186780104577,0.1684626189482473
0,0.15611274625181085,0.13449191717321055,0.30145502002647023,0.05947963241687069,0.07193062183535938,0.0672389322100266,0.10440758496302967,0.33437993064383803,0.20756480348501502
1,0.18992382078505404,0.21242547037689927,0.27575963178484736,0.04987792578791741,0.06571038717558157,0.06522978888833006,0.09707699017365483,0.3896770910406422,0.22714106955086436
2,0.20210152020329344,0.2521197049794328,0.25005801655271587,0.05312512873807425,0.054230765879707106,0.07384084923068732,0.04643512961238034,0.3995532724392286,0.22615478415490337
3,0.20950182991910876,0.27178270799945375,0.22676002103497295,0.044710501801081215,-0.016604838716827622,0.06128197180824718,-0.11185222941634958,0.3846733534144229,0.2058550373250169
4,0.2162915774874258,0.3039416381702841,0.2023164253119163,0.022099912295169045,-0.10079914583906338,-0.009984883636583406,-0.24380586676044486,0.36729901520485403,0.17954213609469266
5,0.20598762067117796,0.2634662522800828,0.17655951409749746,-0.11711685292869392,-0.1532367855783907,-0.2077418822389973,-0.3185348585043885,0.3539056754395489,0.16110482109309152
6,0.23235637693182018,0.27637624050540144,0.1500199489779689,-0.1575688950134207,-0.1493441977342293,-0.2695016035832593,-0.3258976492093411,0.3124364575772887,0.1107738902862186
7,0.2767564549376255,0.3022397234206614,0.12377786227175595,-0.1037391553332924,-0.12858456428687287,-0.22042540903976995,-0.2942509636705309,0.27482047338540716,0.04995565532561059
8,0.30434383603721055,0.35950758316511217,0.09637480375949335,-0.10769115101267135,-0.1315554880200614,-0.21576434980221018,-0.2802316522195427,0.2487474130327544,-0.0074816344497165175
9,0.33557292044822673,0.3738972859806287,0.11756568317855012,-0.10788251752457396,-0.13600773395645674,-0.19160658869978603,-0.25757164171926955,0.19507944817434433,-0.07014802991050016
10,0.40928671236637715,0.43070210891352934,0.13735947838008344,-0.11071994078014262,-0.1444290311221462,-0.1830078503996229,-0.24896005321227985,0.13697127965388647,-0.13741791526032893
11,0.4394556702110242,0.4396558266711315,0.15531792610560374,-0.1182276631989809,-0.15319641202054962,-0.18292705592765443,-0.24174974105117378,0.09273642112559628,-0.1983812451093959
12,0.4219613794855615,0.45023248081279654,0.1712631668249902,-0.1280035062747122,-0.17216746575199796,-0.18113602499422185,-0.24723835612724926,0.04672310094174269,-0.26128226522767306
