date,value,matrix_profile,matrix_profile_index
2017-08-01,26.0,0.0,12.0
2017-09-01,26.0,2.7755575615628914e-16,25.0
2017-10-01,26.0,5.067451620406765e-17,26.0
2017-11-01,26.0,0.0,27.0
2017-12-01,26.0,3.006498163255289e-16,28.0
2018-01-01,26.0,2.919837304911725e-16,29.0
2018-02-01,26.0,0.0,30.0
2018-03-01,26.0,3.3306690738754696e-16,31.0
2018-04-01,26.0,0.22631307653505187,45.0
2018-05-01,26.0,0.27477100047357156,46.0
2018-06-01,26.0,0.3376674885656316,47.0
2018-07-01,26.0,0.45896610384379993,48.0
2018-08-01,60.0,0.0,0.0
2018-09-01,60.0,0.5867923748912972,50.0
2018-10-01,60.0,0.4290468867141407,51.0
2018-11-01,60.0,0.3382039574515255,52.0
2018-12-01,60.0,0.2654663020508173,53.0
2019-01-01,60.0,2.9893669801409083e-16,61.0
2019-02-01,60.0,0.0,37.0
2019-03-01,60.0,0.0,56.0
2019-04-01,60.0,5.588000014763635e-16,70.0
2019-05-01,60.0,0.0,71.0
2019-06-01,60.0,6.832608714974581e-16,72.0
2019-07-01,60.0,8.599750569898517e-16,73.0
2019-08-01,15.0,0.0,0.0
2019-09-01,15.0,2.7755575615628914e-16,1.0
2019-10-01,15.0,5.067451620406765e-17,2.0
2019-11-01,15.0,0.0,3.0
2019-12-01,15.0,3.006498163255289e-16,4.0
2020-01-01,15.0,2.919837304911725e-16,5.0
2020-02-01,15.0,0.0,6.0
2020-03-01,15.0,3.3306690738754696e-16,7.0
2020-04-01,15.0,0.23611620366405747,8.0
2020-05-01,15.0,0.34822605095327575,9.0
2020-06-01,15.0,0.4674313571064577,10.0
2020-07-01,15.0,0.6503885311872855,11.0
2020-08-01,40.0,5.117875266520903e-16,17.0
2020-09-01,40.0,0.0,18.0
2020-10-01,40.0,0.7811942861414538,19.0
2020-11-01,40.0,0.8053264822202901,81.0
2020-12-01,40.0,0.6666666666666666,3.0
2021-01-01,40.0,0.533867163791623,4.0
2021-02-01,40.0,0.3777456336844384,29.0
2021-03-01,30.0,0.0,6.0
2021-04-01,30.0,0.17059958898167965,31.0
2021-05-01,30.0,0.22631307653505187,8.0
2021-06-01,30.0,0.27477100047357156,9.0
2021-07-01,30.0,0.3376674885656316,10.0
2021-08-01,30.0,0.45896610384379993,11.0
2021-09-01,45.0,0.0,6.0
2021-10-01,45.0,0.5867923748912972,13.0
2021-11-01,45.0,0.4290468867141407,14.0
2021-12-01,45.0,0.3382039574515255,15.0
2022-01-01,45.0,0.2654663020508173,16.0
2022-02-01,45.0,0.18723319756483287,17.0
2022-03-01,50.0,0.0,18.0
2022-04-01,50.0,0.0,19.0
2022-05-01,50.0,0.33728585756590757,20.0
2022-06-01,50.0,0.44600675925394556,21.0
2022-07-01,50.0,0.5504032386825917,22.0
2022-08-01,50.0,0.6161773735681639,16.0
2022-09-01,35.0,2.9893669801409083e-16,17.0
2022-10-01,35.0,0.0,18.0
2022-11-01,35.0,0.24715008431375607,19.0
2022-12-01,35.0,0.3203644860139344,20.0
2023-01-01,35.0,0.3816473504544983,21.0
2023-02-01,35.0,0.4595058410947223,22.0
2023-03-01,35.0,0.6030226891555271,23.0
2023-04-01,25.0,0.0,18.0
2023-05-01,25.0,5.117875266520903e-16,19.0
2023-06-01,25.0,5.588000014763635e-16,20.0
2023-07-01,25.0,0.0,21.0
2023-08-01,25.0,6.832608714974581e-16,22.0
2023-09-01,25.0,8.599750569898517e-16,23.0
2023-10-01,20.0,0.0,0.0
2023-11-01,20.0,0.0,0.0
2023-12-01,20.0,0.0,0.0
2024-01-01,20.0,0.0,0.0
2024-02-01,20.0,0.0,0.0
2024-03-01,20.0,0.0,0.0
2024-04-01,20.0,9.819617739453385e-16,1.0
2024-05-01,20.0,7.32242375526988e-16,2.0
2024-06-01,20.0,,
2024-07-01,20.0,,
2024-08-01,20.0,,
2024-09-01,20.0,,
2024-10-01,20.0,,
2024-11-01,20.0,,
2024-12-01,20.0,,
2025-01-01,20.0,,
2025-02-01,20.0,,
2025-03-01,25.0,,
2025-04-01,25.0,,
