date,actual,actual_train,actual_test,forecast_holt-winters,forecast_sarimax,forecast_var
2017-08-01,26.0,26.0,,,,
2017-09-01,26.0,26.0,,,,
2017-10-01,26.0,26.0,,,,
2017-11-01,26.0,26.0,,,,
2017-12-01,26.0,26.0,,,,
2018-01-01,26.0,26.0,,,,
2018-02-01,26.0,26.0,,,,
2018-03-01,26.0,26.0,,,,
2018-04-01,26.0,26.0,,,,
2018-05-01,26.0,26.0,,,,
2018-06-01,26.0,26.0,,,,
2018-07-01,26.0,26.0,,,,
2018-08-01,60.0,60.0,,,,
2018-09-01,60.0,60.0,,,,
2018-10-01,60.0,60.0,,,,
2018-11-01,60.0,60.0,,,,
2018-12-01,60.0,60.0,,,,
2019-01-01,60.0,60.0,,,,
2019-02-01,60.0,60.0,,,,
2019-03-01,60.0,60.0,,,,
2019-04-01,60.0,60.0,,,,
2019-05-01,60.0,60.0,,,,
2019-06-01,60.0,60.0,,,,
2019-07-01,60.0,60.0,,,,
2019-08-01,15.0,15.0,,,,
2019-09-01,15.0,15.0,,,,
2019-10-01,15.0,15.0,,,,
2019-11-01,15.0,15.0,,,,
2019-12-01,15.0,15.0,,,,
2020-01-01,15.0,15.0,,,,
2020-02-01,15.0,15.0,,,,
2020-03-01,15.0,15.0,,,,
2020-04-01,15.0,15.0,,,,
2020-05-01,15.0,15.0,,,,
2020-06-01,15.0,15.0,,,,
2020-07-01,15.0,15.0,,,,
2020-08-01,40.0,40.0,,,,
2020-09-01,40.0,40.0,,,,
2020-10-01,40.0,40.0,,,,
2020-11-01,40.0,40.0,,,,
2020-12-01,40.0,40.0,,,,
2021-01-01,40.0,40.0,,,,
2021-02-01,40.0,40.0,,,,
2021-03-01,30.0,30.0,,,,
2021-04-01,30.0,30.0,,,,
2021-05-01,30.0,30.0,,,,
2021-06-01,30.0,30.0,,,,
2021-07-01,30.0,30.0,,,,
2021-08-01,30.0,30.0,,,,
2021-09-01,45.0,45.0,,,,
2021-10-01,45.0,45.0,,,,
2021-11-01,45.0,45.0,,,,
2021-12-01,45.0,45.0,,,,
2022-01-01,45.0,45.0,,,,
2022-02-01,45.0,45.0,,,,
2022-03-01,50.0,50.0,,,,
2022-04-01,50.0,50.0,,,,
2022-05-01,50.0,50.0,,,,
2022-06-01,50.0,50.0,,,,
2022-07-01,50.0,50.0,,,,
2022-08-01,50.0,50.0,,,,
2022-09-01,35.0,35.0,,,,
2022-10-01,35.0,35.0,,,,
2022-11-01,35.0,35.0,,,,
2022-12-01,35.0,35.0,,,,
2023-01-01,35.0,35.0,,,,
2023-02-01,35.0,35.0,,,,
2023-03-01,35.0,35.0,,,,
2023-04-01,25.0,25.0,,,,
2023-05-01,25.0,25.0,,,,
2023-06-01,25.0,25.0,,,,
2023-07-01,25.0,25.0,,,,
2023-08-01,25.0,25.0,,,,
2023-09-01,25.0,25.0,,,,
2023-10-01,20.0,20.0,,,,
2023-11-01,20.0,20.0,,,,
2023-12-01,20.0,20.0,,,,
2024-01-01,20.0,20.0,,,,
2024-02-01,20.0,20.0,,,,
2024-03-01,20.0,20.0,,,,
2024-04-01,20.0,20.0,,,,
2024-05-01,20.0,,20.0,19.996653516616146,20.22059544151835,35.07860329374671
2024-06-01,20.0,,20.0,19.996896863705004,20.232291356647888,25.40759228542447
2024-07-01,20.0,,20.0,19.997133496966242,20.232893521656482,31.804123919457197
2024-08-01,20.0,,20.0,22.330485905026695,21.00270642166329,32.91249356418848
2024-09-01,20.0,,20.0,22.331177955901747,13.658082075939735,17.555278750136495
2024-10-01,20.0,,20.0,21.617835730162824,13.492820496415423,18.180153274908662
2024-11-01,20.0,,20.0,21.618187602595587,13.49282050163245,16.65932337846607
2024-12-01,20.0,,20.0,21.6187032287955,13.4928205019234,20.14996524900198
2025-01-01,20.0,,20.0,21.617878267333936,13.49282050231681,17.980840612202883
2025-02-01,20.0,,20.0,21.61682464847412,13.492820515297614,18.960002776235342
2025-03-01,25.0,,25.0,20.900827829906387,13.912386064325672,21.03238382190466
2025-04-01,25.0,,25.0,19.471798750409928,7.031460795080786,21.1581618078053
