lag,acled_events,acled_fatalities,idp_population,ipc_phase_3plus_pct,rain_1m,rain_3m,rain_anomaly_1m,rain_anomaly_3m,wfp_inflation_mean,wfp_price_mean
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.8136297074934992,0.7770397889454925,0.9574003101903218,0.8804125682145777,0.6629913731158056,0.8367623736799286,0.284964264952534,0.6385434770158286,0.9594732875845227,0.9634200386418988
2,0.7289988219316469,0.5626618050688139,0.9007704550942788,0.7608251364291555,0.3249870611958515,0.4693505217918659,0.11646523237843735,0.3833968317312693,0.8912276329163409,0.9079785059869543
3,0.5923613776310109,0.34459309269194194,0.832442470438968,0.6412377046437334,-0.019948948543398126,0.029663457243606903,0.10867847185970937,0.19987344706572824,0.8134175307842849,0.8474136297416287
4,0.44043463065063665,0.1875541807488755,0.7548720576395229,0.5216502728583114,-0.315775367625156,-0.3317963708226364,-0.017832054217957673,0.1343499319415137,0.7082718146012994,0.7697381327894992
5,0.41236767548654873,0.09357049711624592,0.6934849224408314,0.4070947349839728,-0.47719469556661287,-0.5632926723454315,0.05339352874177475,0.12895988808352596,0.592671337049488,0.6851002760947286
6,0.3520445747496094,0.08832258779477618,0.6348392892471112,0.2925391971096345,-0.5284206135601645,-0.6387706733907164,0.23159183731718078,0.17512462368706613,0.48464409715226686,0.6147290404797451
7,0.3875679666449048,0.09573239664320876,0.5796107282119044,0.20314312879071464,-0.45614785093167654,-0.5530216644354312,0.05506370154675207,0.21328563485847207,0.38146246900780767,0.5580235079905712
8,0.36697477219933605,0.13419803801788716,0.527873495378761,0.11374706047179493,-0.2636477868706347,-0.32676837794229546,0.06785962625331245,0.1868181521584308,0.2728586642713928,0.5016546967687123
9,0.35574335536233703,0.1157282418091362,0.4767721888499894,0.03747359433819596,-0.01827106628787797,0.004792407802427443,-0.013494490967987303,-0.0023616322475727473,0.16016359931162302,0.44362300051903536
10,0.2889173256899381,0.06869044596497094,0.42627202686461,-0.03879987179540293,0.2658907666659311,0.35991481062507147,-0.039800937735558324,0.046044951160407105,0.04984265680667962,0.38735779584096586
11,0.2351148919023199,0.023768670825873757,0.3758553173570828,-0.11507333792900185,0.5715705764486945,0.6395372443158823,0.07993702337360993,0.16048268414697212,-0.06994234568861324,0.32620236229604116
12,0.20510670580659685,0.009779710190644924,0.3247880130829508,-0.1980559959440457,0.639798538450598,0.7442999896854238,0.18873242516665137,0.3014889485048894,-0.1832184718657974,0.26503138776954815
