lag,acf,pacf
0,1.0,1.0
1,-0.0014706905346106576,-0.0014868519690569336
2,-0.0014865044113269066,-0.0015217519356484138
3,-0.0015023182880431623,-0.0015574906660763327
4,-0.0015181321647593947,-0.0015940971101597887
5,-0.0015339460414756515,-0.0016316015392734376
6,-0.038626948983645264,-0.04133448745949462
7,-0.0015655737949081142,-0.001834065552790831
8,-0.3260067919943409,-0.35781421623497783
9,-0.0015972015483406137,-0.0038123081750648835
10,-0.0016130154250568486,-0.009641602923578687
11,-0.06651391016631639,-0.08869875473997638
12,-0.22227003863492167,-0.30058763205987343
13,0.0001772818810820925,-0.017478592498326194
14,-0.00022139427402743003,-0.05688191112629741
15,-0.00023720815074363845,-0.030242584213956786
16,-0.00025302202745995265,-0.2073225683996902
17,0.12950132582491056,0.17259602665820487
18,0.018253944751834283,-0.027792279459734212
19,0.046046022674208015,-0.002470848310236966
20,0.311132110615483,0.2488048892766715
21,-0.00033209141104110406,0.06121172643421025
22,-0.0003479052877573731,-0.024891227419463785
23,-0.13013388089356034,-0.24925208894695336
24,0.016244750099570528,-0.06588257832444672
