lag,acled_events,acled_fatalities,idp_population,ipc_phase_3plus_pct,rain_1m,rain_3m,rain_anomaly_1m,rain_anomaly_3m,wfp_inflation_mean,wfp_price_mean
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.7276921969478836,0.4388296796665089,0.9763820274582817,0.8980875577554156,0.5997564894312731,0.8571462171141659,0.24321047787470734,0.6941229746072202,0.9506117008166917,0.9713754286691001
2,0.14705509463261132,0.1523429005114925,-0.13186388471832722,-0.06527120612344789,-0.030423613148799045,-0.7874165401226929,0.1291727953250859,0.07969981277877328,-0.3048220433860178,-0.2434530144883967
3,-0.021981902202785755,-0.027314096476219674,-0.09978419374710105,-0.06996107731910316,-0.1380051028710708,-0.2856974258085464,0.3871329763083797,0.03288126768554363,0.017012224195618354,-0.11480521909675016
4,-0.01195006995783715,-0.08561353024518571,-0.06761615905146504,-0.07536252516290558,-0.45278984513804926,0.15149428149840316,-0.1360556294902495,-0.030782204735498316,-0.25188321481690734,-0.14411478101373876
5,0.16232545650235147,0.019521484588492583,-0.009003180621131302,-0.08165085465741133,-0.19840493570814294,-0.22703864491432166,-0.06179211602926125,0.025679544414646562,-0.3139968921254045,-0.1429344013821982
6,0.2200160566127788,0.10815512638923105,0.0015211108778554808,-0.08906420606638069,-0.14431870314822193,-0.04653340103978124,-0.06153434819172375,-0.06337589435903287,0.087994177248364,-0.01752051753878413
7,0.008497511375042987,-0.048702264766070126,0.009759249207432761,-0.0569738082822465,-0.012921319874375161,0.30804312006134965,-0.01705450275554633,0.012441449931173637,-0.2829155763615223,-0.08227070981913322
8,0.03434011064688128,0.010212705727062482,0.0023461229082030696,-0.1010423150278143,0.05008046940553728,0.11445106379511041,0.056874064091241155,-0.03507585010232419,-0.18383177865316255,-0.12369164628029143
9,0.04217610788327739,0.2046886499660704,-0.0033152021833247024,0.25935553694930596,-0.0010003784145840348,0.13627691729475438,-0.17160601902021572,-0.26477356328930063,-0.10259128469150844,0.06811210629729934
10,-0.19020781415002136,-0.04355192030842803,-0.017891011765405165,-0.06906826140399194,0.2771847450862037,0.5149547513873444,0.10616610166560918,0.31257407452259417,-0.09835184137850117,0.04150534521805222
11,0.2113179040866146,-0.06579091358820191,-0.015553553627954415,-0.06910366172064267,0.23968287302582528,-0.3311939754808404,-0.018493087850219744,0.015400180492569525,0.14617573362117817,0.12711375456545168
12,-0.020604326843211177,0.09037526240758535,-0.012058803739720117,0.003875913500713603,0.2724198098711403,-0.403296713984442,0.28833799161990875,0.15985254643744626,0.027051899407784838,0.0008126433914997861
