lag,acled_events,acled_fatalities,idp_population,rain_1m,rain_3m,rain_anomaly_1m,rain_anomaly_3m,wfp_inflation_mean,wfp_price_mean
-12,-0.18771790337767819,0.08894147443262704,-0.1628975067959769,-0.10248494073460039,-0.018308482000631378,-0.017776987971654428,-0.026389815332160838,0.18578896546846613,0.5539316746340684
-11,-0.14697595628939022,0.07803150897286071,-0.19072280402657252,0.04325293394976521,-0.011709015973323128,0.013515690684015837,-0.23482116899197186,0.20100770202796808,0.542397255176039
-10,-0.17793338996519567,0.023199104140115976,-0.22813096974373842,-0.06609113035790597,-0.1832212761280026,-0.13728922039571415,-0.38409065990760793,0.22797194079722422,0.5392029262632536
-9,-0.17111322992360045,0.0050735470149221125,-0.264542207563013,-0.24761091916566483,-0.30509159485045684,-0.3404000647862488,-0.4740507903721243,0.26613477291759624,0.5499078821188872
-8,-0.16695663552313925,-0.03487789095262432,-0.299888619266333,-0.26914631103367975,-0.2785635641015421,-0.3302853362063986,-0.4628829079898077,0.28277307768095494,0.5538077819139223
-7,-0.12471140736551455,-0.03928136944455638,-0.32109420135195366,-0.2274075883488038,-0.1900641946001654,-0.3822601728444999,-0.49763479426451196,0.2715314021608367,0.5348956868832409
-6,-0.09698907896767829,-0.014971889055864553,-0.3268712428985321,-0.12898764249260375,-0.09964222087233826,-0.337800979407908,-0.4518243880509969,0.24853001651251092,0.5112991148338217
-5,-0.1536722927391173,-0.10753693474778568,-0.3197296140741417,-0.046365466557736976,-0.059915123838898424,-0.2663499562452929,-0.3796326164334097,0.25691850495334745,0.5032735200594622
-4,-0.18023959628852926,-0.18252276719467794,-0.3042833293741208,-0.045994221826034166,-0.10235934203441036,-0.23326374625347987,-0.34011182165105364,0.21085093978219277,0.48981765353485385
-3,-0.24199447184158157,-0.21087148164013897,-0.2883426527859279,-0.10258755918616423,-0.1283716247150417,-0.2106777158066098,-0.19124941056449643,0.16509651875795345,0.48377856126250984
-2,-0.2369688846711462,-0.1723865373623631,-0.2709023869527642,-0.10847699758118694,-0.10284773874868829,-0.0976844783532197,-0.0015021800515353056,0.1232887620788299,0.47551012109950797
-1,-0.2542752435611326,-0.17861936902334433,-0.2587960687825381,-0.07706668082792986,-0.04568235406787143,-0.008238826867081571,0.05091666789888317,0.07344146099808013,0.44959657973332035
0,-0.2847799029344686,-0.18631311151706345,-0.2534101040162107,-0.01942512299830438,0.02126808937239458,0.04538062863930724,0.05555463374121776,0.016546035082512813,0.41314465084890883
1,-0.1935653361056393,-0.0926945803628357,-0.22559183816354292,-0.0013626654412515903,0.05804476731951406,0.049188134570917356,0.08540714543296721,-0.00491155047959205,0.37140108239462916
2,-0.13164327250487254,-0.03773466644178896,-0.19829670078833445,0.029577140606394704,0.066269551738016,0.04970800533471081,0.01702826283551404,-0.03229582554268185,0.3276779209111304
3,-0.08050131769382582,-0.00444483672679299,-0.17411883731739675,0.07373605061512598,0.05963032424248384,0.0923860372522089,-0.02655244028748354,-0.037518292898978935,0.28660857795669553
4,-0.014540468264974639,0.06477445349475205,-0.15621067553140297,0.016156136463415318,0.018802369577233784,-0.031214939057109023,-0.08822934244464412,-0.011083636716424884,0.2603965923706499
5,0.06925525663759588,0.09123122549358073,-0.14001123778831281,0.010507296067180509,-0.04406079308680323,-0.05656429649633275,-0.156570930713821,0.01966231687537804,0.23649013122912402
6,0.11465081896977408,0.11341326527350461,-0.12446366117538421,-0.030894177119161804,-0.11958154192250917,-0.09142330407801126,-0.2280688532934447,0.05187641896203619,0.21945494189927925
7,0.14139015712803335,0.10068277947121813,-0.11103288724365194,-0.1480425849664339,-0.18999719810296545,-0.22922321416918562,-0.3126860578350882,0.07780094761448436,0.1962440396164437
8,0.15348423103597753,0.06676667137157324,-0.10053357666882455,-0.18464108084766576,-0.23380807950525972,-0.2609947265779543,-0.3444544466707101,0.10826782287724095,0.16743768960482458
9,0.13823899899641287,0.0563525006026388,-0.09083216078347257,-0.211031204390845,-0.27991795098040095,-0.28041143618000114,-0.43096353708220814,0.14823423368319188,0.15287103534680735
10,0.1958525323543307,0.08509006426825229,-0.07968938855640496,-0.26358376276366613,-0.2858772661002833,-0.3730717789577818,-0.43820845351136,0.18878031536014253,0.13804037539929945
11,0.21811481570476018,0.1192766654346359,-0.0620413009621375,-0.30665603796774044,-0.2460049060461465,-0.41000724452458426,-0.36701229236540783,0.20530743556621794,0.11270156245169978
12,0.29999136194366344,0.1434898334167724,-0.028328412923797286,-0.22711869878956115,-0.1369574293501523,-0.2518244541025156,-0.2639749718026603,0.21093542528848444,0.07023047061481681
