date,actual,actual_train,actual_test,forecast_holt-winters,forecast_sarimax,forecast_var
2017-08-01,16.0,16.0,,,,
2017-09-01,16.0,16.0,,,,
2017-10-01,16.0,16.0,,,,
2017-11-01,16.0,16.0,,,,
2017-12-01,16.0,16.0,,,,
2018-01-01,16.0,16.0,,,,
2018-02-01,16.0,16.0,,,,
2018-03-01,16.0,16.0,,,,
2018-04-01,16.0,16.0,,,,
2018-05-01,16.0,16.0,,,,
2018-06-01,16.0,16.0,,,,
2018-07-01,16.0,16.0,,,,
2018-08-01,40.0,40.0,,,,
2018-09-01,40.0,40.0,,,,
2018-10-01,40.0,40.0,,,,
2018-11-01,40.0,40.0,,,,
2018-12-01,40.0,40.0,,,,
2019-01-01,40.0,40.0,,,,
2019-02-01,40.0,40.0,,,,
2019-03-01,40.0,40.0,,,,
2019-04-01,40.0,40.0,,,,
2019-05-01,40.0,40.0,,,,
2019-06-01,40.0,40.0,,,,
2019-07-01,40.0,40.0,,,,
2019-08-01,15.0,15.0,,,,
2019-09-01,15.0,15.0,,,,
2019-10-01,15.0,15.0,,,,
2019-11-01,15.0,15.0,,,,
2019-12-01,15.0,15.0,,,,
2020-01-01,15.0,15.0,,,,
2020-02-01,15.0,15.0,,,,
2020-03-01,15.0,15.0,,,,
2020-04-01,50.0,50.0,,,,
2020-05-01,50.0,50.0,,,,
2020-06-01,50.0,50.0,,,,
2020-07-01,50.0,50.0,,,,
2020-08-01,50.0,50.0,,,,
2020-09-01,50.0,50.0,,,,
2020-10-01,50.0,50.0,,,,
2020-11-01,50.0,50.0,,,,
2020-12-01,50.0,50.0,,,,
2021-01-01,50.0,50.0,,,,
2021-02-01,50.0,50.0,,,,
2021-03-01,45.0,45.0,,,,
2021-04-01,45.0,45.0,,,,
2021-05-01,45.0,45.0,,,,
2021-06-01,45.0,45.0,,,,
2021-07-01,45.0,45.0,,,,
2021-08-01,45.0,45.0,,,,
2021-09-01,55.00000000000001,55.00000000000001,,,,
2021-10-01,55.00000000000001,55.00000000000001,,,,
2021-11-01,55.00000000000001,55.00000000000001,,,,
2021-12-01,55.00000000000001,55.00000000000001,,,,
2022-01-01,55.00000000000001,55.00000000000001,,,,
2022-02-01,55.00000000000001,55.00000000000001,,,,
2022-03-01,45.0,45.0,,,,
2022-04-01,45.0,45.0,,,,
2022-05-01,45.0,45.0,,,,
2022-06-01,45.0,45.0,,,,
2022-07-01,45.0,45.0,,,,
2022-08-01,45.0,45.0,,,,
2022-09-01,40.0,40.0,,,,
2022-10-01,40.0,40.0,,,,
2022-11-01,40.0,40.0,,,,
2022-12-01,40.0,40.0,,,,
2023-01-01,40.0,40.0,,,,
2023-02-01,40.0,40.0,,,,
2023-03-01,40.0,40.0,,,,
2023-04-01,40.0,40.0,,,,
2023-05-01,40.0,40.0,,,,
2023-06-01,40.0,40.0,,,,
2023-07-01,40.0,40.0,,,,
2023-08-01,40.0,40.0,,,,
2023-09-01,40.0,40.0,,,,
2023-10-01,40.0,40.0,,,,
2023-11-01,40.0,40.0,,,,
2023-12-01,40.0,40.0,,,,
2024-01-01,40.0,40.0,,,,
2024-02-01,40.0,40.0,,,,
2024-03-01,35.0,35.0,,,,
2024-04-01,35.0,35.0,,,,
2024-05-01,35.0,,35.0,35.000044389285605,34.21809336359667,36.07746353186667
2024-06-01,35.0,,35.0,35.00015071369681,34.378861597019,33.140434093773365
2024-07-01,35.0,,35.0,35.000142416700875,34.28382378320546,30.846034191548824
2024-08-01,35.0,,35.0,34.83332782445915,31.66995999863511,31.551540318876505
2024-09-01,35.0,,35.0,35.54765927259911,32.1856129259488,31.08461547922343
2024-10-01,35.0,,35.0,35.547749350185526,32.20548302856568,31.06752114300616
2024-11-01,35.0,,35.0,35.54781536595209,32.19367964662209,32.54282633261755
2024-12-01,35.0,,35.0,35.54787344912738,32.20069166610355,32.55528758041328
2025-01-01,35.0,,35.0,35.54785427567614,32.19652743348267,33.02927575375361
2025-02-01,35.0,,35.0,35.54774432552569,32.19901610438245,34.77500943467021
2025-03-01,35.0,,35.0,32.6905384279132,29.00480477835442,36.05383800622076
2025-04-01,35.0,,35.0,37.69058477308097,32.98323487692352,36.85105390846729
