lag,acled_events,acled_fatalities,idp_population,ipc_phase_3plus_pct,rain_1m,rain_3m,rain_anomaly_1m,rain_anomaly_3m,wfp_inflation_mean,wfp_price_mean
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.6588469687026939,0.2855944379934974,0.9887735877499603,0.9418335407751875,0.5471237546610627,0.8039644521636763,0.05342323537600109,0.5977466490536604,0.9238289841993247,0.9772842487902452
2,0.6285632107647846,0.16574556856551198,0.9711432175446252,0.8836670815503752,0.24019424137967108,0.4194090725878871,0.10728504344862726,0.4250950130944676,0.8335336181566732,0.9469283392757004
3,0.5150184433930998,0.3132155192829453,0.9477170535635323,0.8237803960027582,-0.1093333419789251,-0.02089971898800921,0.09452698154634193,0.24839870338543651,0.7714768954249839,0.920967585601819
4,0.44794303477559033,0.0626796349706839,0.9190408041506624,0.763893710455141,-0.23537081854875974,-0.3222111486747917,0.15658332007480605,0.2514159615174091,0.7025302545857957,0.8955781544063715
5,0.374096201715953,0.06277483504177074,0.8859778006836537,0.7177196861664543,-0.37191785594369886,-0.5082236496852265,0.057928794360953814,0.23177225008157876,0.6363896264005077,0.869835827486491
6,0.36776406514170423,0.13293198663564465,0.8488444442196523,0.6646893312483025,-0.423568586086568,-0.566815071130485,0.1338713539570899,0.2496024542581799,0.5529356857741207,0.8422170782330207
7,0.23293809731311343,0.04649219700984333,0.8080681687034965,0.6048026457006855,-0.36055050283398843,-0.512799380541717,0.07596440251808508,0.1763383268927831,0.4740628248901382,0.8150276740678839
8,0.2335791340132336,0.2039270417062073,0.764099985988428,0.5540577343256888,-0.23855903468209558,-0.34127143654073305,0.05524124249492865,0.11716194003869357,0.41189980788383224,0.7895747625970548
9,0.2233242665081012,0.13513270514925302,0.7180551848178625,0.4906224676207426,-0.09415300746047531,-0.06596178163226116,-0.0932015240474154,0.009610033921417137,0.3513048651735889,0.763227666602034
10,0.26971606930355985,0.05323216817340509,0.6701870168110022,0.4271872009157965,0.1709238418109386,0.2738974113990433,0.12260450268631802,0.08459836488922934,0.29020812115347633,0.7397221661598445
11,0.28328737207003996,0.0926441507002432,0.6207667376522836,0.36375193421085045,0.4458638012061563,0.5689416283714743,-0.014109364495456118,0.12114054993855855,0.20622649422727168,0.7123648464275694
12,0.2933376074898254,-0.025725875415544313,0.5699767811877903,0.2866040062469741,0.5934244837997446,0.7050032149774116,-0.008016830965310718,0.16502512898155489,0.14171875196487566,0.6821079115359318
