lag,acled_events,acled_fatalities,idp_population,rain_1m,rain_3m,rain_anomaly_1m,rain_anomaly_3m,wfp_inflation_mean,wfp_price_mean
-12,-0.009724446346744601,-0.08135830051046046,0.7930160845109364,-0.18489460200735855,-0.19608256629476586,-0.2283282987432093,-0.4385154559308041,0.43960404545540566,0.6783651695419199
-11,0.05737366402364112,-0.0935457189453897,0.8257385326847166,-0.13015529628431913,-0.16225167146448904,-0.23836414695656247,-0.4059590339262626,0.4498539382759424,0.6318466402133041
-10,0.1410744452643018,-0.06065003053754184,0.8494098012875585,-0.13858587117366908,-0.20611337801438492,-0.21865387748418458,-0.377930222686179,0.4582994450619176,0.5847622138477276
-9,0.212942672988486,-0.10117295191483414,0.863623980869285,-0.2074407884649507,-0.2353325645955216,-0.2439660203242487,-0.36554558689046457,0.46063900072007863,0.5413413210801686
-8,0.2586395075907032,-0.06758996905222053,0.867660569814128,-0.18165696347562532,-0.2098204142609264,-0.22368163961629758,-0.3519671794535849,0.4557315522233128,0.4998560270445923
-7,0.30556537815893764,-0.025826665373636003,0.8643881393821536,-0.15774571049020303,-0.1712742870426086,-0.21569043962494125,-0.3470954000081696,0.46954660653550057,0.4657779678092729
-6,0.2756630379016116,-0.06258789351752567,0.855189273151181,-0.12807616492883195,-0.13365175510683383,-0.20287330734307862,-0.319182947280561,0.4956649691703151,0.4297597350465214
-5,0.28469987990748524,-0.02023928461637454,0.8406964771744736,-0.08615298904041567,-0.12481706767091538,-0.17233819290976984,-0.3090343816097512,0.5157944108165182,0.38344729730263694
-4,0.28627816883160456,-0.03499712614797685,0.821428571329977,-0.10891505713779662,-0.16799209166670626,-0.1697464333799337,-0.3042350284888131,0.5234872150141172,0.33089262374077977
-3,0.31619186986458003,-0.051503110244106864,0.7972264376264933,-0.15418433514391677,-0.20315003317496083,-0.18804999557211216,-0.3241299000432086,0.5618380981357084,0.29910224386838163
-2,0.34904965142573263,-0.0739060323433688,0.7703565161062065,-0.14547365083919053,-0.18933670593171867,-0.1481621023244241,-0.2843848421811724,0.5916442022287228,0.2674009830177501
-1,0.36850735192837253,-0.06621979233043249,0.7401830376888912,-0.16958465672034925,-0.1588813584271418,-0.17998233589827117,-0.25950055173097203,0.6340706311466546,0.2501783146528612
0,0.36006471876684526,-0.0575088537789086,0.7085848031254538,-0.10207233359271502,-0.10946249367311531,-0.1342555009451826,-0.25682451083698354,0.6716502119732165,0.23168294282258298
1,0.4192804281051636,-0.016119094731699046,0.6670992706434621,-0.09722948779955909,-0.09854576965175815,-0.14997145088301905,-0.2791854441180232,0.70964556917982,0.20591780686064567
2,0.419597998468601,-0.0017527764455156135,0.6219876070290038,-0.08135091195281817,-0.0968000579947231,-0.13158417167036449,-0.29322310451100386,0.7389011168417149,0.1825807923547805
3,0.4675797935674114,0.019138208607402132,0.5728169147390368,-0.07606552907553771,-0.10182303755663101,-0.13906814102235232,-0.2797985380860135,0.7442020169761595,0.15406903985734227
4,0.5120803186935782,0.09426746827908383,0.5200634662323934,-0.09379099470113916,-0.09148475921302739,-0.14652328444471321,-0.23871947416852402,0.7420057204443795,0.1287365597029672
5,0.5317615340390351,0.0826438292792275,0.4649913197731188,-0.09461156811557704,-0.08107727377724881,-0.1337140247340452,-0.20799527528460057,0.7242052457583116,0.08972935632480383
6,0.546587146155644,0.09262926287602315,0.4070165202426651,-0.05114228592111377,-0.0791816698171468,-0.07238926170553668,-0.1732135029218606,0.6986430728343391,0.0407121378494541
7,0.5743400662928981,0.12233898475461669,0.3458690841628418,-0.06934424270472808,-0.10754888047420466,-0.08541319249682489,-0.19538072720887384,0.659597837355829,-0.009105960396246638
8,0.6068683092353011,0.1937436875294157,0.28160355113980134,-0.09132817876073224,-0.12359159596545671,-0.09599332864596402,-0.18922638549720047,0.6142068613981105,-0.06177209973442623
9,0.6266436416787209,0.25440117411719826,0.2147062731600817,-0.12026035602782169,-0.11276733813112182,-0.1397852262791393,-0.1443231368780268,0.5726282077259167,-0.11588316145278099
10,0.6393934591598369,0.3263121451385058,0.14673473664632344,-0.108071777622684,-0.06437372604444344,-0.06016791735362794,-0.0376113861191424,0.5244864908535666,-0.16670984056013374
11,0.6326697873916693,0.335687127477762,0.07889703909863172,-0.06496419132102088,0.0019628125048756287,-0.017613215992184454,0.015447035705566544,0.46169621954484363,-0.21965522164270226
12,0.5871169484874258,0.30217956995080913,0.011032368145684382,-0.004056204999194719,0.06719874385436723,0.022225283058009936,0.054115377410020336,0.3669160057322814,-0.27408100994636614
