date,value,matrix_profile,matrix_profile_index
2017-08-01,17.0,0.0,12.0
2017-09-01,17.0,4.288483441141238e-15,13.0
2017-10-01,17.0,3.2479953607379928e-15,14.0
2017-11-01,17.0,1.4686870114880517e-16,15.0
2017-12-01,17.0,2.518681489619579e-15,16.0
2018-01-01,17.0,2.1988302645701685e-15,36.0
2018-02-01,17.0,0.0,18.0
2018-03-01,17.0,2.4424906541753444e-15,19.0
2018-04-01,17.0,2.518681489619579e-15,20.0
2018-05-01,17.0,0.3816473504544983,46.0
2018-06-01,17.0,0.45950584109472237,47.0
2018-07-01,17.0,0.6030226891555273,48.0
2018-08-01,18.0,0.0,0.0
2018-09-01,18.0,4.288483441141238e-15,1.0
2018-10-01,18.0,3.2479953607379928e-15,2.0
2018-11-01,18.0,1.4686870114880517e-16,3.0
2018-12-01,18.0,2.518681489619579e-15,4.0
2019-01-01,18.0,2.9893669801409083e-16,36.0
2019-02-01,18.0,0.0,6.0
2019-03-01,18.0,2.4424906541753444e-15,7.0
2019-04-01,18.0,2.518681489619579e-15,8.0
2019-05-01,18.0,0.40733340538868035,46.0
2019-06-01,18.0,0.4694237565284414,47.0
2019-07-01,18.0,0.5586817889917635,48.0
2019-08-01,30.0,3.036414304697331e-15,4.0
2019-09-01,30.0,0.6879493834977674,50.0
2019-10-01,30.0,0.6324555320336758,51.0
2019-11-01,30.0,0.5910736610669679,52.0
2019-12-01,30.0,0.5591138812884353,53.0
2020-01-01,30.0,0.5337854195853592,54.0
2020-02-01,30.0,0.5133358703140485,55.0
2020-03-01,30.0,0.3806366025056484,56.0
2020-04-01,40.0,0.2938912658409586,75.0
2020-05-01,40.0,0.3803615920301846,76.0
2020-06-01,40.0,0.4634492457892804,77.0
2020-07-01,40.0,0.5473798066945352,78.0
2020-08-01,25.0,2.9893669801409083e-16,17.0
2020-09-01,25.0,0.0,6.0
2020-10-01,25.0,5.822058658345461e-16,80.0
2020-11-01,25.0,0.0,81.0
2020-12-01,25.0,0.527152901036416,21.0
2021-01-01,25.0,0.533867163791623,4.0
2021-02-01,25.0,0.43929966331593917,5.0
2021-03-01,35.0,0.0,6.0
2021-04-01,35.0,0.19481815533494148,80.0
2021-05-01,35.0,0.21823354378301804,81.0
2021-06-01,35.0,0.3816473504544983,9.0
2021-07-01,35.0,0.45950584109472237,10.0
2021-08-01,35.0,0.5586817889917635,23.0
2021-09-01,45.0,0.0,6.0
2021-10-01,45.0,0.6879493834977674,25.0
2021-11-01,45.0,0.6324555320336758,26.0
2021-12-01,45.0,0.5910736610669679,27.0
2022-01-01,45.0,0.5591138812884353,28.0
2022-02-01,45.0,0.44452929988403855,72.0
2022-03-01,50.0,0.16473706239208252,73.0
2022-04-01,50.0,0.18723319756483284,74.0
2022-05-01,50.0,0.47606479208536756,75.0
2022-06-01,50.0,0.6407504752412965,76.0
2022-07-01,50.0,0.7170245580002278,72.0
2022-08-01,50.0,0.7142878790968968,72.0
2022-09-01,40.0,0.5767387103551594,73.0
2022-10-01,40.0,0.5133358703140485,30.0
2022-11-01,40.0,0.5691117946653442,31.0
2022-12-01,40.0,0.7907008553435327,31.0
2023-01-01,40.0,0.8978173469078115,31.0
2023-02-01,40.0,0.8283676546255292,54.0
2023-03-01,40.0,0.6296288974669554,55.0
2023-04-01,35.0,0.7896237058096909,55.0
2023-05-01,35.0,0.8083814980835334,57.0
2023-06-01,35.0,0.7370631359196878,52.0
2023-07-01,35.0,0.5979465961213115,53.0
2023-08-01,35.0,0.44452929988403855,54.0
2023-09-01,35.0,0.16473706239208252,55.0
2023-10-01,30.0,0.18723319756483284,56.0
2023-11-01,30.0,0.2938912658409586,32.0
2023-12-01,30.0,0.3803615920301846,33.0
2024-01-01,30.0,0.4634492457892804,34.0
2024-02-01,30.0,0.5473798066945352,35.0
2024-03-01,15.0,0.0,6.0
2024-04-01,15.0,5.822058658345461e-16,38.0
2024-05-01,15.0,0.0,39.0
2024-06-01,15.0,,
2024-07-01,15.0,,
2024-08-01,15.0,,
2024-09-01,20.0,,
2024-10-01,20.0,,
2024-11-01,20.0,,
2024-12-01,20.0,,
2025-01-01,20.0,,
2025-02-01,20.0,,
2025-03-01,25.0,,
2025-04-01,25.0,,
