date,actual,actual_train,actual_test,forecast_holt-winters,forecast_sarimax,forecast_var
2017-08-01,17.0,17.0,,,,
2017-09-01,17.0,17.0,,,,
2017-10-01,17.0,17.0,,,,
2017-11-01,17.0,17.0,,,,
2017-12-01,17.0,17.0,,,,
2018-01-01,17.0,17.0,,,,
2018-02-01,17.0,17.0,,,,
2018-03-01,17.0,17.0,,,,
2018-04-01,17.0,17.0,,,,
2018-05-01,17.0,17.0,,,,
2018-06-01,17.0,17.0,,,,
2018-07-01,17.0,17.0,,,,
2018-08-01,18.0,18.0,,,,
2018-09-01,18.0,18.0,,,,
2018-10-01,18.0,18.0,,,,
2018-11-01,18.0,18.0,,,,
2018-12-01,18.0,18.0,,,,
2019-01-01,18.0,18.0,,,,
2019-02-01,18.0,18.0,,,,
2019-03-01,18.0,18.0,,,,
2019-04-01,18.0,18.0,,,,
2019-05-01,18.0,18.0,,,,
2019-06-01,18.0,18.0,,,,
2019-07-01,18.0,18.0,,,,
2019-08-01,30.0,30.0,,,,
2019-09-01,30.0,30.0,,,,
2019-10-01,30.0,30.0,,,,
2019-11-01,30.0,30.0,,,,
2019-12-01,30.0,30.0,,,,
2020-01-01,30.0,30.0,,,,
2020-02-01,30.0,30.0,,,,
2020-03-01,30.0,30.0,,,,
2020-04-01,40.0,40.0,,,,
2020-05-01,40.0,40.0,,,,
2020-06-01,40.0,40.0,,,,
2020-07-01,40.0,40.0,,,,
2020-08-01,25.0,25.0,,,,
2020-09-01,25.0,25.0,,,,
2020-10-01,25.0,25.0,,,,
2020-11-01,25.0,25.0,,,,
2020-12-01,25.0,25.0,,,,
2021-01-01,25.0,25.0,,,,
2021-02-01,25.0,25.0,,,,
2021-03-01,35.0,35.0,,,,
2021-04-01,35.0,35.0,,,,
2021-05-01,35.0,35.0,,,,
2021-06-01,35.0,35.0,,,,
2021-07-01,35.0,35.0,,,,
2021-08-01,35.0,35.0,,,,
2021-09-01,45.0,45.0,,,,
2021-10-01,45.0,45.0,,,,
2021-11-01,45.0,45.0,,,,
2021-12-01,45.0,45.0,,,,
2022-01-01,45.0,45.0,,,,
2022-02-01,45.0,45.0,,,,
2022-03-01,50.0,50.0,,,,
2022-04-01,50.0,50.0,,,,
2022-05-01,50.0,50.0,,,,
2022-06-01,50.0,50.0,,,,
2022-07-01,50.0,50.0,,,,
2022-08-01,50.0,50.0,,,,
2022-09-01,40.0,40.0,,,,
2022-10-01,40.0,40.0,,,,
2022-11-01,40.0,40.0,,,,
2022-12-01,40.0,40.0,,,,
2023-01-01,40.0,40.0,,,,
2023-02-01,40.0,40.0,,,,
2023-03-01,40.0,40.0,,,,
2023-04-01,35.0,35.0,,,,
2023-05-01,35.0,35.0,,,,
2023-06-01,35.0,35.0,,,,
2023-07-01,35.0,35.0,,,,
2023-08-01,35.0,35.0,,,,
2023-09-01,35.0,35.0,,,,
2023-10-01,30.0,30.0,,,,
2023-11-01,30.0,30.0,,,,
2023-12-01,30.0,30.0,,,,
2024-01-01,30.0,30.0,,,,
2024-02-01,30.0,30.0,,,,
2024-03-01,15.0,15.0,,,,
2024-04-01,15.0,15.0,,,,
2024-05-01,15.0,,15.0,14.999783439644883,14.905729440151404,14.115488174739266
2024-06-01,15.0,,15.0,14.999550804247574,14.933938958206586,12.310569128536265
2024-07-01,15.0,,15.0,14.999303129332047,14.929702434604868,11.671772397815317
2024-08-01,15.0,,15.0,14.665749194226517,12.613221819949887,10.132865090077843
2024-09-01,20.0,,20.0,14.665949362731753,5.570675814339686,10.202596084929699
2024-10-01,20.0,,20.0,13.951867145288425,2.242319123435531,10.70678463051609
2024-11-01,20.0,,20.0,13.951961935555252,2.2423149149050055,10.515229218193607
2024-12-01,20.0,,20.0,13.9520466157033,2.242315640265777,10.29700274359418
2025-01-01,20.0,,20.0,13.952040842141137,2.2423155077104187,10.252154953651761
2025-02-01,20.0,,20.0,13.95196791012992,2.242315666554067,10.04665800504982
2025-03-01,25.0,,25.0,13.951912125424881,0.0,9.63711901633366
2025-04-01,25.0,,25.0,14.66605931973639,0.0,9.119343151717505
