lag,acf,pacf
0,1.0,1.0
1,-0.0013682390257949947,-0.0013832746194850662
2,-0.0008623640509973572,-0.0008834428356705041
3,-0.0008770762985865706,-0.0009090856334114317
4,-0.0745749030993918,-0.07796823927085898
5,-0.0009065007937649537,-0.0011889738203705088
6,-0.03776277031796218,-0.040792796474862884
7,-0.03777748256555135,-0.04148898223344152
8,-0.11043413492158288,-0.1286547963822395
9,7.582466065198356e-05,-0.002071099082997012
10,6.1112413062834e-05,-0.008431695291627591
11,0.11057107199529766,0.12098135131547604
12,-0.09804694477979856,-0.13885949251087432
13,0.07140950644500912,0.08716723209588702
14,-0.002288320355796125,-0.02262802265945389
15,-0.0023030326033853105,0.015426312169587295
16,-0.0023177448509745075,-0.048177121904996505
17,0.03450910017804431,0.0771212868914354
18,-0.039188726622760926,-0.06513894827195296
19,-0.20394927217031253,-0.23557964335556586
20,0.1607674326205177,0.2032201881403641
21,-0.001350131644146763,0.015249591589248901
22,-0.0013648438917359903,-0.035670796341007206
23,0.07230355841389088,0.1003480696298808
24,-0.08825224418361304,-0.14707333487508897
