lag,acled_events,acled_fatalities,idp_population,ipc_phase_3plus_pct,rain_1m,rain_3m,rain_anomaly_1m,rain_anomaly_3m,wfp_inflation_mean,wfp_price_mean
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.9127937999059166,0.823635310550722,0.9635503947251383,0.8869217392744366,0.5237916950758206,0.8182240630875839,0.30803329544492264,0.6811010325762581,0.8668358253403828,0.8701704397775123
2,0.2112296573254403,-0.049975871177981364,-0.6502664894916316,-0.07157492538907129,-0.01053036813674629,-0.6647954979367077,0.06504887049513002,-0.15476977409874013,-0.3124547893531197,-0.17782849846420065
3,-0.003155525655035975,0.28503852488075043,-0.02396909162723562,-0.009175119217771716,-0.28291312155146714,-0.35696561989793385,-0.15972462458303646,-0.2826091991686037,0.13214958704896315,0.0841891200433367
4,0.05218524537493621,0.004380396038090597,0.1412819985067291,-0.07463458614361815,-0.15966657299541326,0.3104056470222738,0.02412445542590876,0.17369946286563256,0.014253087176163018,-0.031840659819985545
5,-0.08703911457277869,0.08500211744339096,-0.09918434083264124,-0.012119748807039022,-0.18431748881696627,-0.4638863915842563,0.04688270025087241,0.208577084944118,0.03680141487728649,0.09035392336270144
6,0.029666896426805055,0.02860564652576859,-0.20638724036419126,-0.07833920656605205,-0.17901865637542394,-0.1711226213299203,-0.0059126002700332515,-0.008829704242222026,-0.07485740169952863,-0.06378586059122739
7,-0.06628693824979064,-0.07056544156738895,-0.022523528565665533,-0.043141839594112545,-0.14617503664209805,0.4853790894335856,0.1276884081150478,-0.01628147704561376,-0.08133677751254965,-0.0015322875993705885
8,-0.01029707245582688,-0.165642997260961,-0.06331831162760151,-0.05314261493384622,-0.03771670228682994,-0.014693941549165056,0.03322091754571429,-0.03071102804491785,-0.1882433617162379,-0.1298419621355556
9,-0.024263826494750684,-0.3316166300187783,-0.1608166609492661,0.1700432480714332,0.05009189088683566,-0.13453052240535368,0.022395769201907226,0.012584309566542442,-0.3979873390885332,-0.18515954541235782
10,0.016594777369591703,-0.02347140538074514,-0.13772510983930566,-0.059278626065394316,0.26620523092474613,0.7244147631609753,0.09018285246387393,0.048846319483640446,-0.38817535027684075,-0.19097430362407886
11,0.06605865470427094,0.034610611803540914,0.121778682564302,-0.025626840271615627,0.06210815636345455,-0.922648617031787,-0.11431345026448948,-0.03159807592825818,-0.44251506683430064,-0.26453019813013884
12,0.1615040091305642,0.12374083839800085,0.07243165346830979,-0.1735998393528965,0.20406379746582665,2.14903070961774,-0.013257049981739264,-0.05843409465169676,0.14124693540216593,0.2898262974395898
