date,value,matrix_profile,matrix_profile_index
2017-08-01,28.000000000000004,0.0,12.0
2017-09-01,28.000000000000004,4.2518304777254294e-16,44.0
2017-10-01,28.000000000000004,8.803375543627704e-16,45.0
2017-11-01,28.000000000000004,2.9373740229761033e-16,46.0
2017-12-01,28.000000000000004,5.20740757162067e-16,24.0
2018-01-01,28.000000000000004,1.4332917616497527e-16,48.0
2018-02-01,28.000000000000004,1.7554167342883506e-16,37.0
2018-03-01,28.000000000000004,1.0948510389028343e-15,38.0
2018-04-01,28.000000000000004,1.407256040722008e-15,39.0
2018-05-01,28.000000000000004,9.614813431917819e-17,40.0
2018-06-01,28.000000000000004,1.5039322214409696e-15,41.0
2018-07-01,28.000000000000004,2.135255992852547e-15,42.0
2018-08-01,50.0,0.0,0.0
2018-09-01,50.0,4.518280359883027e-16,74.0
2018-10-01,50.0,3.1155556357914184e-16,75.0
2018-11-01,50.0,0.0,65.0
2018-12-01,50.0,3.951312703709894e-16,77.0
2019-01-01,50.0,2.9893669801409083e-16,78.0
2019-02-01,50.0,0.0,55.0
2019-03-01,50.0,5.117875266520903e-16,56.0
2019-04-01,50.0,5.588000014763635e-16,57.0
2019-05-01,50.0,0.3441386577860857,33.0
2019-06-01,50.0,0.40071406296945017,34.0
2019-07-01,50.0,0.4721793798152593,35.0
2019-08-01,35.0,0.0,47.0
2019-09-01,35.0,0.5715592243432424,5.0
2019-10-01,35.0,0.7653668647301796,51.0
2019-11-01,35.0,0.7653668647301795,50.0
2019-12-01,35.0,0.7653668647301796,51.0
2020-01-01,35.0,0.7653668647301796,52.0
2020-02-01,35.0,0.7653668647301796,18.0
2020-03-01,35.0,0.5715592243432425,19.0
2020-04-01,45.0,0.2954147267994355,20.0
2020-05-01,45.0,0.3441386577860857,21.0
2020-06-01,45.0,0.40071406296945017,22.0
2020-07-01,45.0,0.4721793798152593,23.0
2020-08-01,35.0,1.3866681133119837e-15,5.0
2020-09-01,35.0,0.0,49.0
2020-10-01,35.0,1.0948510389028343e-15,7.0
2020-11-01,35.0,1.407256040722008e-15,8.0
2020-12-01,35.0,9.614813431917819e-17,9.0
2021-01-01,35.0,1.5039322214409696e-15,10.0
2021-02-01,35.0,2.135255992852547e-15,11.0
2021-03-01,40.0,0.0,0.0
2021-04-01,40.0,4.2518304777254294e-16,1.0
2021-05-01,40.0,8.803375543627704e-16,2.0
2021-06-01,40.0,2.9373740229761033e-16,3.0
2021-07-01,40.0,0.0,24.0
2021-08-01,40.0,1.4332917616497527e-16,5.0
2021-09-01,40.0,0.0,37.0
2021-10-01,40.0,0.5564993176482491,7.0
2021-11-01,40.0,0.7653668647301796,8.0
2021-12-01,40.0,0.7653668647301796,27.0
2022-01-01,40.0,0.7653668647301796,28.0
2022-02-01,40.0,0.556499317648249,17.0
2022-03-01,50.0,0.0,18.0
2022-04-01,50.0,0.0,69.0
2022-05-01,50.0,0.0,70.0
2022-06-01,50.0,0.0,71.0
2022-07-01,50.0,9.79736436130962e-16,72.0
2022-08-01,50.0,1.3010626525216818e-15,73.0
2022-09-01,40.0,0.0,0.0
2022-10-01,40.0,0.0,0.0
2022-11-01,40.0,8.599750569898517e-16,13.0
2022-12-01,40.0,6.345453125715752e-16,14.0
2023-01-01,40.0,0.0,15.0
2023-02-01,40.0,5.588000014763635e-16,16.0
2023-03-01,40.0,5.117875266520903e-16,17.0
2023-04-01,40.0,0.0,18.0
2023-05-01,40.0,0.0,56.0
2023-06-01,40.0,0.0,57.0
2023-07-01,40.0,0.0,58.0
2023-08-01,40.0,9.79736436130962e-16,59.0
2023-09-01,40.0,1.3010626525216818e-15,60.0
2023-10-01,30.0,4.518280359883027e-16,13.0
2023-11-01,30.0,3.1155556357914184e-16,14.0
2023-12-01,30.0,0.0,15.0
2024-01-01,30.0,3.951312703709894e-16,16.0
2024-02-01,30.0,2.9893669801409083e-16,17.0
2024-03-01,30.0,0.0,18.0
2024-04-01,30.0,0.24715008431375604,56.0
2024-05-01,30.0,0.3203644860139344,20.0
2024-06-01,30.0,,
2024-07-01,30.0,,
2024-08-01,30.0,,
2024-09-01,20.0,,
2024-10-01,20.0,,
2024-11-01,20.0,,
2024-12-01,20.0,,
2025-01-01,20.0,,
2025-02-01,20.0,,
2025-03-01,15.0,,
2025-04-01,15.0,,
