date,actual,actual_train,actual_test,forecast_holt-winters,forecast_var
2017-08-01,28.000000000000004,28.000000000000004,,,
2017-09-01,28.000000000000004,28.000000000000004,,,
2017-10-01,28.000000000000004,28.000000000000004,,,
2017-11-01,28.000000000000004,28.000000000000004,,,
2017-12-01,28.000000000000004,28.000000000000004,,,
2018-01-01,28.000000000000004,28.000000000000004,,,
2018-02-01,28.000000000000004,28.000000000000004,,,
2018-03-01,28.000000000000004,28.000000000000004,,,
2018-04-01,28.000000000000004,28.000000000000004,,,
2018-05-01,28.000000000000004,28.000000000000004,,,
2018-06-01,28.000000000000004,28.000000000000004,,,
2018-07-01,28.000000000000004,28.000000000000004,,,
2018-08-01,50.0,50.0,,,
2018-09-01,50.0,50.0,,,
2018-10-01,50.0,50.0,,,
2018-11-01,50.0,50.0,,,
2018-12-01,50.0,50.0,,,
2019-01-01,50.0,50.0,,,
2019-02-01,50.0,50.0,,,
2019-03-01,50.0,50.0,,,
2019-04-01,50.0,50.0,,,
2019-05-01,50.0,50.0,,,
2019-06-01,50.0,50.0,,,
2019-07-01,50.0,50.0,,,
2019-08-01,35.0,35.0,,,
2019-09-01,35.0,35.0,,,
2019-10-01,35.0,35.0,,,
2019-11-01,35.0,35.0,,,
2019-12-01,35.0,35.0,,,
2020-01-01,35.0,35.0,,,
2020-02-01,35.0,35.0,,,
2020-03-01,35.0,35.0,,,
2020-04-01,45.0,45.0,,,
2020-05-01,45.0,45.0,,,
2020-06-01,45.0,45.0,,,
2020-07-01,45.0,45.0,,,
2020-08-01,35.0,35.0,,,
2020-09-01,35.0,35.0,,,
2020-10-01,35.0,35.0,,,
2020-11-01,35.0,35.0,,,
2020-12-01,35.0,35.0,,,
2021-01-01,35.0,35.0,,,
2021-02-01,35.0,35.0,,,
2021-03-01,40.0,40.0,,,
2021-04-01,40.0,40.0,,,
2021-05-01,40.0,40.0,,,
2021-06-01,40.0,40.0,,,
2021-07-01,40.0,40.0,,,
2021-08-01,40.0,40.0,,,
2021-09-01,40.0,40.0,,,
2021-10-01,40.0,40.0,,,
2021-11-01,40.0,40.0,,,
2021-12-01,40.0,40.0,,,
2022-01-01,40.0,40.0,,,
2022-02-01,40.0,40.0,,,
2022-03-01,50.0,50.0,,,
2022-04-01,50.0,50.0,,,
2022-05-01,50.0,50.0,,,
2022-06-01,50.0,50.0,,,
2022-07-01,50.0,50.0,,,
2022-08-01,50.0,50.0,,,
2022-09-01,40.0,40.0,,,
2022-10-01,40.0,40.0,,,
2022-11-01,40.0,40.0,,,
2022-12-01,40.0,40.0,,,
2023-01-01,40.0,40.0,,,
2023-02-01,40.0,40.0,,,
2023-03-01,40.0,40.0,,,
2023-04-01,40.0,40.0,,,
2023-05-01,40.0,40.0,,,
2023-06-01,40.0,40.0,,,
2023-07-01,40.0,40.0,,,
2023-08-01,40.0,40.0,,,
2023-09-01,40.0,40.0,,,
2023-10-01,30.0,30.0,,,
2023-11-01,30.0,30.0,,,
2023-12-01,30.0,30.0,,,
2024-01-01,30.0,30.0,,,
2024-02-01,30.0,30.0,,,
2024-03-01,30.0,30.0,,,
2024-04-01,30.0,30.0,,,
2024-05-01,30.0,,30.0,30.06266215422318,30.948348633013666
2024-06-01,30.0,,30.0,30.06265938034862,32.59453231096268
2024-07-01,30.0,,30.0,30.062688485567637,39.06702317483723
2024-08-01,30.0,,30.0,29.55396528379615,34.12606537761167
2024-09-01,20.0,,20.0,28.1253927437806,31.16870106710121
2024-10-01,20.0,,20.0,26.69689429438786,30.4283702718094
2024-11-01,20.0,,20.0,26.696837812141226,34.26127508445643
2024-12-01,20.0,,20.0,26.69686068045736,36.586533004418015
2025-01-01,20.0,,20.0,26.6968103693308,36.54946923418902
2025-02-01,20.0,,20.0,26.696820429132195,37.61447044275701
2025-03-01,15.0,,15.0,28.83964794741731,37.837132677435875
2025-04-01,15.0,,15.0,30.268213635309575,37.772882317658514
