lag,acf,pacf
0,1.0,1.0
1,-0.000544679496097942,-0.0005506649850660687
2,-0.0009354096415322922,-0.0009565000444223544
3,-0.0009412664103075206,-0.0009740494367325741
4,-0.0009471231790827557,-0.0009921650859023106
5,-0.000952979947858021,-0.0010107101232922108
6,0.10020787943375326,0.10719561118678238
7,-0.000964693485408523,-0.0009517637462620619
8,-0.0002008035008656084,-2.9850845548930285e-05
9,-0.00020666026964084316,-3.5443642977092216e-05
10,-0.00021251703841607583,-4.036712875611681e-05
11,0.05036498426800194,0.058080039198658784
12,-0.17595741435850218,-0.21702419746647308
13,0.0516618402110923,0.06713757631943959
14,0.0010726253671237919,-0.0014949828384785819
15,0.0010667685983485084,0.0014840726851106402
16,0.0010609118295732717,0.0015753804000602492
17,-0.0242366239767986,-0.048248127508551716
18,-0.049534159783170495,-0.009155295278886788
19,-0.023863464137690003,-0.04946196292572143
20,0.001422358131131408,0.00457569747938125
21,0.0014165013623560982,0.0009486598373505347
22,0.001410644593580876,-0.003191887890246751
23,0.0014047878248056361,0.03829274432204963
24,0.10256564720641698,0.10072787823277152
