lag,acled_events,acled_fatalities,idp_population,ipc_phase_3plus_pct,rain_1m,rain_3m,rain_anomaly_1m,rain_anomaly_3m,wfp_inflation_mean,wfp_price_mean
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.5926704985706345,0.45950974925196053,0.9847161842959755,0.9442400006928223,0.5286199989794782,0.796844292565051,0.02863883969402568,0.5843520926427972,0.9473189241090466,0.9505137205424998
2,0.4734447709262968,0.08995167894053177,0.9590354667468853,0.8884800013856442,0.226565388488385,0.4029225468026286,0.051904016323932364,0.3671026396255608,0.8564793837091157,0.8882600936824941
3,0.3286216333839935,0.022708766603629218,0.9250923195291496,0.8320819991097037,-0.12310397926576887,-0.04438955360766174,0.061258668251850244,0.16866373976636034,0.7405268254538673,0.8182617948349105
4,0.40132411048711564,0.03610383560108886,0.884120414708478,0.7756839968337633,-0.25823033431967723,-0.3392608557238978,0.11212463568451835,0.21174422131778056,0.6101606929357078,0.7412857169471737
5,0.40801584322758105,0.1317497159401938,0.838564595767134,0.7192859945578229,-0.36883828704171473,-0.5114090278866298,0.047504264804638784,0.23548192287178935,0.47914438463709946,0.6672588631720661
6,0.4151729352094712,0.042683364354590046,0.7906904904399319,0.6628879922818823,-0.3939177052262488,-0.5622202185245849,0.18317414114537695,0.2977917347292477,0.3366237201826857,0.5846873071123748
7,0.39707997946220824,-0.003119800282672938,0.7421612075655901,0.5956029668692618,-0.3526720016369465,-0.5127138752215934,0.0924049753873971,0.22311311245539195,0.18946758290053722,0.49339116029895086
8,0.3413552382203653,0.05290256697848561,0.6927148479203196,0.5283179414566411,-0.25674859802563244,-0.34926818100810847,0.050322166289073995,0.16014021404120243,0.05031711735286817,0.40530933639479677
9,0.2953685699935198,0.018605867326817474,0.6421592572243461,0.4623089219815455,-0.10225177413555636,-0.07327752600239086,-0.10465108178564804,0.008820816191565297,-0.07768454348323454,0.32683260996178964
10,0.2881247158775333,0.04198530362090092,0.590688791506066,0.39629990250645,0.18197949034766367,0.273051203803227,0.14524922122355297,0.07444753530248116,-0.19146698243040824,0.2543726794311126
11,0.37264280995950616,0.1033834581036881,0.5382631520898229,0.33029088303135423,0.43885447461242416,0.5649945291457691,-0.052960248523780576,0.09278333320538479,-0.2767174719855464,0.18936391864887556
12,0.34680447333360254,0.08805526747545753,0.4845299240126594,0.2588383519879184,0.5724812151678332,0.6998868260802791,-0.0025361624682250445,0.1596964957771808,-0.3260341996277979,0.14405294523846818
