lag,acled_events,acled_fatalities,idp_population,rain_1m,rain_3m,rain_anomaly_1m,rain_anomaly_3m,wfp_inflation_mean,wfp_price_mean
-12,-0.6343575009378575,-0.3687310699989904,-0.32573163723110915,-0.08986140813239107,-0.09571419335527773,-0.23683693552355295,-0.3424497122133256,-0.10818043316005288,0.4855036768595166
-11,-0.6448254830916729,-0.3650046524530857,-0.2757966383294764,-0.07698139140418654,-0.07829323950796997,-0.21540785387277947,-0.29481887420779873,-0.10220950596203303,0.4800697980278628
-10,-0.627971961012435,-0.3675560199786764,-0.2293787558520274,-0.04064283921354797,-0.04252496055025638,-0.1834294122376134,-0.2677159771992829,-0.09782639648611942,0.4788635326759877
-9,-0.5866108455461295,-0.3565855186244361,-0.1854370963676243,-0.00037003050029838815,-0.04426138869228336,-0.14073800900004288,-0.2505481964194534,-0.10064029047150835,0.46348391878404344
-8,-0.5782052305827631,-0.3357273356918433,-0.14480736054181037,-0.027172688124814725,-0.10704209254924348,-0.14822891429300625,-0.2811803165884169,-0.09867703162774802,0.45582711308539187
-7,-0.5714353909133255,-0.3333965916827612,-0.09599460622458353,-0.07500386682796291,-0.185131999671931,-0.11664530646822371,-0.2655288736733007,-0.10317282748279509,0.4551296010137538
-6,-0.5180622970349689,-0.2984827479882058,-0.047893129486268476,-0.16044240511482966,-0.24632773539116434,-0.16347355151487272,-0.29321051875877635,-0.09711381871798176,0.45464934850218985
-5,-0.48482240200163973,-0.265439544813834,-0.0009236675699245226,-0.21522263937533886,-0.2556151429914673,-0.19188899061355683,-0.26699410519756234,-0.08772062072934016,0.4562049378699626
-4,-0.43129700585486164,-0.2463268080212127,0.04669551623462566,-0.1966633242401182,-0.21622300975761874,-0.14748194733036032,-0.2506982047977505,-0.0650191728798223,0.46327317444465843
-3,-0.4153824596275348,-0.22856618996805528,0.09543344928829231,-0.14842461787915734,-0.18849166535004647,-0.09321110798149425,-0.2631686398034773,-0.024120162956490495,0.4693615420512603
-2,-0.4145328192981184,-0.21845378278593833,0.142008761959289,-0.15991737324116725,-0.1686349056809492,-0.18775542351167548,-0.32066462002955554,0.024793654765150865,0.4831885319810734
-1,-0.4146194491438949,-0.2511059520346391,0.18484164546614243,-0.14169668838836058,-0.1419193392679675,-0.17550121822459916,-0.31976530552341165,0.07394204963728594,0.4949783777094122
0,-0.39292645491285455,-0.2423585141043664,0.23239973317712231,-0.10930682947633402,-0.11752311438351883,-0.16368982705867527,-0.30958423439254124,0.12232088883935086,0.49515568883824074
1,-0.37369139436821625,-0.19039558333183737,0.29758765612744625,-0.0891170621383191,-0.10609983964196128,-0.19800616574444366,-0.3612054072663443,0.16024295943408465,0.50471439010285
2,-0.27267834025340404,-0.01706035257116333,0.36337350224101966,-0.06978649240784741,-0.11159639276949954,-0.20224001576512848,-0.37733480078732146,0.19697818714346144,0.5209034450320791
3,-0.23027039657776321,0.04002288333868643,0.43006291961473847,-0.08222646284780523,-0.156570867584381,-0.23975853016516305,-0.4212993857197416,0.23421262050032893,0.5370680835681108
4,-0.22912869699844782,0.028636869144283143,0.4960108037556241,-0.10234860113056134,-0.2013211862833223,-0.2382875726691293,-0.426099223174978,0.24959530077815487,0.5515819178168793
5,-0.23133979074735045,0.02643513035447528,0.5604667567812899,-0.17728438747253214,-0.2515663897283272,-0.2860583274383003,-0.44192933243017163,0.2732090822975157,0.5647093397311584
6,-0.2042684809648964,0.0404341799736525,0.6211975464962172,-0.18845575846049675,-0.2882727366525271,-0.26611634486270747,-0.4506943930423795,0.2903280842164832,0.5724433065220046
7,-0.16390336723685747,0.0926398165307676,0.6771570420064664,-0.2211154134862689,-0.3284886207067143,-0.26263164372062897,-0.4820581682076922,0.30970558949494587,0.5792658948307848
8,-0.08259578580017272,0.14741905552344597,0.7283818726954677,-0.2636628754303086,-0.33704302726785096,-0.3156644935584215,-0.4866408957301125,0.3375395812621217,0.5765813207539359
9,-0.043949077536567176,0.15161249087010473,0.7741036479837605,-0.2823322624598273,-0.30781486285928306,-0.3428553589063548,-0.43405754194026214,0.3431913225513099,0.5546624189294747
10,-0.041763766700710706,0.1595154917790139,0.8156657326467095,-0.238957658153841,-0.24704323700256414,-0.2379802058502116,-0.34632109899510277,0.33439851959617023,0.5332342581713014
11,-0.021260176828240877,0.16227329145861089,0.854609775799984,-0.19223554401319778,-0.19371373682337792,-0.231253023556694,-0.3890145542080823,0.32438616033828394,0.5049143312922247
12,-0.009674115094344807,0.16820912867812135,0.8908875560785348,-0.13795395615301456,-0.1555180858116552,-0.22103354285564272,-0.42453244294109527,0.296459826978749,0.4663805437114373
