date,value,matrix_profile,matrix_profile_index
2017-08-01,32.0,0.0,12.0
2017-09-01,32.0,7.027150473277823e-16,74.0
2017-10-01,32.0,4.440892098500626e-16,75.0
2017-11-01,32.0,1.1102230246251565e-16,65.0
2017-12-01,32.0,4.710277376051325e-16,77.0
2018-01-01,32.0,4.996003610813204e-16,78.0
2018-02-01,32.0,0.0,55.0
2018-03-01,32.0,2.919837304911725e-16,56.0
2018-04-01,32.0,3.8459253727671276e-16,57.0
2018-05-01,32.0,1.1102230246251565e-16,58.0
2018-06-01,32.0,4.440892098500626e-16,59.0
2018-07-01,32.0,5.985173094038516e-16,60.0
2018-08-01,15.0,0.0,0.0
2018-09-01,15.0,0.0,0.0
2018-10-01,15.0,0.0,0.0
2018-11-01,15.0,0.0,0.0
2018-12-01,15.0,0.0,0.0
2019-01-01,15.0,0.0,0.0
2019-02-01,15.0,0.0,0.0
2019-03-01,15.0,0.0,0.0
2019-04-01,15.0,0.0,0.0
2019-05-01,15.0,0.0,0.0
2019-06-01,15.0,0.0,0.0
2019-07-01,15.0,0.0,0.0
2019-08-01,15.0,0.0,0.0
2019-09-01,15.0,0.0,0.0
2019-10-01,15.0,0.0,0.0
2019-11-01,15.0,0.0,0.0
2019-12-01,15.0,0.0,0.0
2020-01-01,15.0,0.0,0.0
2020-02-01,15.0,0.0,0.0
2020-03-01,15.0,0.0,0.0
2020-04-01,15.0,1.0,0.0
2020-05-01,15.0,0.9999999999999999,0.0
2020-06-01,15.0,0.9194016867619661,49.0
2020-07-01,15.0,0.7653668647301796,49.0
2020-08-01,15.0,0.556499317648249,49.0
2020-09-01,15.0,0.0,49.0
2020-10-01,15.0,1.0,0.0
2020-11-01,15.0,1.0,0.0
2020-12-01,15.0,1.0,0.0
2021-01-01,15.0,0.9999999999999999,0.0
2021-02-01,15.0,0.9999999999999998,0.0
2021-03-01,20.0,1.0,0.0
2021-04-01,20.0,1.0,0.0
2021-05-01,20.0,1.0,0.0
2021-06-01,20.0,0.973496564347322,34.0
2021-07-01,20.0,0.9437158510640488,35.0
2021-08-01,20.0,0.9090629253546444,36.0
2021-09-01,40.0,0.0,37.0
2021-10-01,40.0,0.8157102780006752,74.0
2021-11-01,40.0,0.6324555320336758,64.0
2021-12-01,40.0,0.5091399026230625,3.0
2022-01-01,40.0,0.40213174453639466,4.0
2022-02-01,40.0,0.28305790531679736,78.0
2022-03-01,45.0,0.0,6.0
2022-04-01,45.0,2.919837304911725e-16,7.0
2022-05-01,45.0,0.0,70.0
2022-06-01,45.0,0.0,71.0
2022-07-01,45.0,0.0,72.0
2022-08-01,45.0,0.0,73.0
2022-09-01,35.0,0.0,0.0
2022-10-01,35.0,0.0,0.0
2022-11-01,35.0,1.980848624545785e-15,1.0
2022-12-01,35.0,1.4597427480450238e-15,2.0
2023-01-01,35.0,1.1102230246251565e-16,3.0
2023-02-01,35.0,1.1853938111129682e-15,4.0
2023-03-01,35.0,1.1762602059271538e-15,5.0
2023-04-01,35.0,0.0,6.0
2023-05-01,35.0,1.1762602059271538e-15,7.0
2023-06-01,35.0,0.0,57.0
2023-07-01,35.0,0.0,58.0
2023-08-01,35.0,0.0,59.0
2023-09-01,35.0,0.0,60.0
2023-10-01,30.0,7.027150473277823e-16,1.0
2023-11-01,30.0,4.440892098500626e-16,2.0
2023-12-01,30.0,1.1102230246251565e-16,3.0
2024-01-01,30.0,4.710277376051325e-16,4.0
2024-02-01,30.0,4.996003610813204e-16,5.0
2024-03-01,30.0,0.0,6.0
2024-04-01,30.0,0.28305790531679736,56.0
2024-05-01,30.0,0.4021317445363948,8.0
2024-06-01,30.0,,
2024-07-01,30.0,,
2024-08-01,30.0,,
2024-09-01,20.0,,
2024-10-01,20.0,,
2024-11-01,20.0,,
2024-12-01,20.0,,
2025-01-01,20.0,,
2025-02-01,20.0,,
2025-03-01,25.0,,
2025-04-01,25.0,,
