date,actual,actual_train,actual_test,forecast_holt-winters,forecast_sarimax,forecast_var
2017-08-01,32.0,32.0,,,,
2017-09-01,32.0,32.0,,,,
2017-10-01,32.0,32.0,,,,
2017-11-01,32.0,32.0,,,,
2017-12-01,32.0,32.0,,,,
2018-01-01,32.0,32.0,,,,
2018-02-01,32.0,32.0,,,,
2018-03-01,32.0,32.0,,,,
2018-04-01,32.0,32.0,,,,
2018-05-01,32.0,32.0,,,,
2018-06-01,32.0,32.0,,,,
2018-07-01,32.0,32.0,,,,
2018-08-01,15.0,15.0,,,,
2018-09-01,15.0,15.0,,,,
2018-10-01,15.0,15.0,,,,
2018-11-01,15.0,15.0,,,,
2018-12-01,15.0,15.0,,,,
2019-01-01,15.0,15.0,,,,
2019-02-01,15.0,15.0,,,,
2019-03-01,15.0,15.0,,,,
2019-04-01,15.0,15.0,,,,
2019-05-01,15.0,15.0,,,,
2019-06-01,15.0,15.0,,,,
2019-07-01,15.0,15.0,,,,
2019-08-01,15.0,15.0,,,,
2019-09-01,15.0,15.0,,,,
2019-10-01,15.0,15.0,,,,
2019-11-01,15.0,15.0,,,,
2019-12-01,15.0,15.0,,,,
2020-01-01,15.0,15.0,,,,
2020-02-01,15.0,15.0,,,,
2020-03-01,15.0,15.0,,,,
2020-04-01,15.0,15.0,,,,
2020-05-01,15.0,15.0,,,,
2020-06-01,15.0,15.0,,,,
2020-07-01,15.0,15.0,,,,
2020-08-01,15.0,15.0,,,,
2020-09-01,15.0,15.0,,,,
2020-10-01,15.0,15.0,,,,
2020-11-01,15.0,15.0,,,,
2020-12-01,15.0,15.0,,,,
2021-01-01,15.0,15.0,,,,
2021-02-01,15.0,15.0,,,,
2021-03-01,20.0,20.0,,,,
2021-04-01,20.0,20.0,,,,
2021-05-01,20.0,20.0,,,,
2021-06-01,20.0,20.0,,,,
2021-07-01,20.0,20.0,,,,
2021-08-01,20.0,20.0,,,,
2021-09-01,40.0,40.0,,,,
2021-10-01,40.0,40.0,,,,
2021-11-01,40.0,40.0,,,,
2021-12-01,40.0,40.0,,,,
2022-01-01,40.0,40.0,,,,
2022-02-01,40.0,40.0,,,,
2022-03-01,45.0,45.0,,,,
2022-04-01,45.0,45.0,,,,
2022-05-01,45.0,45.0,,,,
2022-06-01,45.0,45.0,,,,
2022-07-01,45.0,45.0,,,,
2022-08-01,45.0,45.0,,,,
2022-09-01,35.0,35.0,,,,
2022-10-01,35.0,35.0,,,,
2022-11-01,35.0,35.0,,,,
2022-12-01,35.0,35.0,,,,
2023-01-01,35.0,35.0,,,,
2023-02-01,35.0,35.0,,,,
2023-03-01,35.0,35.0,,,,
2023-04-01,35.0,35.0,,,,
2023-05-01,35.0,35.0,,,,
2023-06-01,35.0,35.0,,,,
2023-07-01,35.0,35.0,,,,
2023-08-01,35.0,35.0,,,,
2023-09-01,35.0,35.0,,,,
2023-10-01,30.0,30.0,,,,
2023-11-01,30.0,30.0,,,,
2023-12-01,30.0,30.0,,,,
2024-01-01,30.0,30.0,,,,
2024-02-01,30.0,30.0,,,,
2024-03-01,30.0,30.0,,,,
2024-04-01,30.0,30.0,,,,
2024-05-01,30.0,,30.0,29.999932074808836,30.04356351423436,28.960737214423716
2024-06-01,30.0,,30.0,29.9999115740209,30.03763232352575,30.516414914280176
2024-07-01,30.0,,30.0,29.999899910314685,30.04289182566797,27.308786602690816
2024-08-01,30.0,,30.0,27.166679632584355,29.01305332333708,27.850309561006725
2024-09-01,20.0,,20.0,28.595258440874183,31.165528509162478,23.659254977479577
2024-10-01,20.0,,20.0,27.88109272375492,31.789552100281536,23.874457645229995
2024-11-01,20.0,,20.0,27.88105500758626,31.78955618684098,21.24506758339703
2024-12-01,20.0,,20.0,27.881115092561824,31.789556038972275,19.486873887013644
2025-01-01,20.0,,20.0,27.881094033622237,31.789556433220493,18.164937572088093
2025-02-01,20.0,,20.0,27.881106368962953,31.78954565749687,19.13668524334207
2025-03-01,25.0,,25.0,29.30964488570664,33.94191596993668,18.90066396072507
2025-04-01,25.0,,25.0,29.309610329784558,33.941897992130826,20.268690658267587
