lag,acf,pacf
0,1.0,1.0
1,-0.0020972397618618023,-0.0021202863526515016
2,-0.002119790727043144,-0.002171402563649553
3,-0.0021423416922244265,-0.0022237843536199414
4,-0.0021648926574057404,-0.002277475994462351
5,-0.09762312826988995,-0.10325497000450908
6,-0.25272866678693845,-0.27376479818473987
7,-0.18117445426664258,-0.2245664692784518
8,-0.0012177521197907215,-0.03252270509412886
9,-0.0012403030849720356,-0.014134409832546251
10,-0.0012628540501533657,-0.019985085364499056
11,0.1418681219556197,0.11537091086814198
12,-0.17817517589752843,-0.3503447108638198
13,0.2989806963738048,0.2656279881482751
14,-0.0003157135125383273,-0.07629148634882384
15,-0.0003382644777196539,0.02361375146881756
16,-0.00036081544290096667,0.03351897946085926
17,-0.0481012087317337,-0.08294213639748055
18,0.03538246436947502,0.03564590787597048
19,0.04936406278188706,0.16838138777797573
20,0.0016236694930543097,0.13537859079180692
21,0.0016011185278730104,0.01682319862401611
22,0.0015785675626916714,-0.010658877447843369
23,0.0015560165975103605,0.08453686521930878
24,-0.022325455529496684,-0.22996357032003087
