lag,acled_events,acled_fatalities,idp_population,ipc_phase_3plus_pct,rain_1m,rain_3m,rain_anomaly_1m,rain_anomaly_3m,wfp_inflation_mean,wfp_price_mean
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.7782851036227936,0.4637462384166295,0.975767348257703,0.8500846677252955,0.31509070862981964,0.7314370237253909,0.03970458373720128,0.6575805952515124,0.9267735369565255,0.9423983807337512
2,0.7493009704559424,0.22897755987971463,0.9477214789809877,0.7001693354505911,0.01640258159624799,0.29439916532631005,-0.007607997317250214,0.36665984708791155,0.8315010453174672,0.8609251313147408
3,0.7052394321810135,0.1503053259874502,0.916290924344961,0.5502540031758867,-0.09086687057451542,-0.098257593699209,0.04257524498205386,0.08608784561623482,0.7284365297495062,0.7667494829391168
4,0.5859887956914412,0.09597826697006852,0.8819039613142736,0.4003386709011823,-0.09087848575761431,-0.26633293198147306,0.05098930288424062,0.05060362619162519,0.6319669351415831,0.6865249674426573
5,0.5854402216563488,0.03435597253385907,0.8509490327251711,0.25042333862647786,-0.21277641748013162,-0.3443623241807739,0.06202870476494271,0.023461617995180362,0.5539234429052612,0.6250106485524162
6,0.4816156269695448,0.024564357553621984,0.8200576973424639,0.12655660238846564,-0.19903314808974343,-0.3382249849782758,0.04652507701438576,0.06949091018490396,0.4890478832511436,0.5740203816650058
7,0.4328141820179972,0.011063651063175148,0.7894317054996602,0.07106743074677008,-0.1430859235617704,-0.2819622985405865,0.0682287308265385,0.10409953768933118,0.4176631476398028,0.541740311383814
8,0.39311415994400234,0.14939341739407602,0.7595117479379583,0.0644193766738723,-0.08751327879859389,-0.19665110406597608,0.11402345525048858,0.09030517336534984,0.36689112146758857,0.5264360850386312
9,0.3251959107037704,0.26261604367216124,0.7308638651741761,0.0694651815744357,-0.11820201185695609,-0.09324851214929553,-0.11335571444499301,0.030613144837060676,0.29730307597210953,0.5192763788327516
10,0.32181102515435284,0.2558883035870571,0.7034436513293482,0.07451098647499914,-0.031236857170269486,0.09570681299734382,0.1271819546520591,-0.007388956242082774,0.21222564006731012,0.5048185165906313
11,0.3103926187365387,0.2771456072878299,0.6772476209085729,0.07955679137556255,0.19551157744365202,0.3465698506666054,0.0007357101330178979,0.05715295215961213,0.13340054962719267,0.47318362550275717
12,0.3272674707587728,0.25522402326145965,0.6502077189031586,0.045529702221087855,0.3550257131870745,0.5031671778972368,-0.0227743995317691,0.1519003438757272,0.051674897559525694,0.43271741061817715
