lag,acled_events,acled_fatalities,idp_population,ipc_phase_3plus_pct,rain_1m,rain_3m,rain_anomaly_1m,rain_anomaly_3m,wfp_inflation_mean,wfp_price_mean
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.7867447243143457,0.468786958399419,0.9863735150865907,0.8593247184614401,0.3185156076366654,0.7393874261571887,0.04013615529956217,0.6647282104172897,0.936847162358227,0.9526418413939006
2,0.3852736195128381,0.01826212895803751,-0.16189980577618868,-0.08747977257634339,-0.09425109458631215,-0.5422918787504394,-0.009401261607109707,-0.12030264950279931,-0.22815080548116382,-0.29932800866479614
3,0.17038170575670145,0.05007442012390563,-0.13264929797339053,-0.09600137864452414,-0.07828490747858359,-0.13645699144207218,0.04476280984197119,-0.20020684734497302,-0.09730887185732538,-0.13789127912064225
4,-0.18491936714175589,0.008481551983914995,-0.11026250708732249,-0.10633908146264708,-0.04165835062297212,0.15030755162565387,0.049780432019340126,0.2103535214823505,0.007917803855223969,0.16853530368089356
5,0.1240831583605646,-0.030541530473228964,0.15398764606616366,-0.11914361941968722,-0.20936070439858467,-0.38009302873958667,0.06268043398764445,-0.05065892196815434,0.08153010036849836,0.10514384902522117
6,-0.13267849274768448,0.01521438970194509,-0.037155878610643796,-0.024327717795355207,-0.1039574436829278,0.0025308105301691136,0.04450308956424222,0.05247250957102674,0.004957939451371796,-0.059687947538744575
7,-0.009445037901871501,-0.00819777088505565,-0.039694140856614706,0.16737993016921612,-0.09289235935114226,0.0058777823409743085,0.0683562802045459,0.09936681460424013,-0.16237861315439492,0.1534948718465345
8,-0.020391348176406792,0.205069864058599,-0.02979202288667505,0.13841200090658987,-0.08981623020703688,-0.24178063793380306,0.11540072378163316,-0.0862347225085924,0.16731405369898994,0.15405753801102062
9,0.004653994927097689,0.19190662300815406,0.055062015376809055,0.006888464964131946,-0.16292547855630796,0.10761065888276193,-0.14402663630285348,-0.039928467704280435,-0.2770621939827238,-0.023666529016813653
10,0.07122316406444612,0.08381411559419541,0.00862364285250538,-0.05472521688230292,-0.04811436752464537,0.37475487592254425,0.1487102839427576,0.04243623860475462,-0.1672678120394717,-0.14017284473184946
11,0.14455757626303806,0.14774866260908193,-0.0014453497364456413,-0.058300088676331095,0.17693269706107242,0.1781900386032913,-0.042209897454345,0.15702608822256614,0.06273461382321076,-0.10897384331703978
12,0.17970786516527842,0.07318981014832693,-0.09849988672134544,-0.20255092975276934,0.25603986517986127,-0.0378378885442758,-0.03116938840682841,0.10816361115495705,-0.1272867141684711,0.0455476306015183
