lag,acled_events,acled_fatalities,idp_population,rain_1m,rain_3m,rain_anomaly_1m,rain_anomaly_3m,wfp_inflation_mean,wfp_price_mean
-12,-0.582501241669513,-0.32623917603163527,0.6054692243571389,-0.03440779288346945,0.08843103387924073,-0.09890371894137323,-0.0036938886787497797,0.226155378038459,0.6703303826594059
-11,-0.5567126952598844,-0.2120621880197558,0.5613039832470686,0.12064559393031313,0.13264160301925196,0.05128429632359905,0.06271456821352926,0.24302915072944853,0.6532718942147202
-10,-0.478018331050795,-0.19968217985770212,0.5246404116369794,0.10230291102829507,0.13043382047598676,0.00350176623143015,0.027201798891011736,0.177728245159507,0.6062721710956909
-9,-0.4123875896780447,-0.20492120542840184,0.4933307775499614,0.11346260033894703,0.1135040745334129,0.01888721135171605,0.019216510135039278,0.09369911218232103,0.5405031373659418
-8,-0.38987836170119905,-0.1982047375249359,0.46326773406709554,0.06783920639965392,-0.060721347146932565,0.0015612284176669323,-0.12286305958341048,0.07122152597160641,0.5010005763740735
-7,-0.31750763628744777,-0.0921831231622217,0.4148204527838446,0.019780783898364837,-0.21352876585884378,0.0018841613787370405,-0.22503086631456307,0.07152714121201761,0.4873545910744146
-6,-0.23461679555065418,-0.025591742904318402,0.3668270400021741,-0.20100048198539158,-0.31585406569466057,-0.18829977445501103,-0.352637012118138,0.09940511277317166,0.4729200824464784
-5,-0.18696096740009788,-0.08265840364593578,0.31907383493630964,-0.2085297759887069,-0.26693388607800983,-0.18913133859299314,-0.2854880882773768,0.13634063305246458,0.4449624080958784
-4,-0.10678549485565181,-0.13994900535825217,0.2636896575443237,-0.18315189007398852,-0.19048989757022783,-0.14959666710876568,-0.23233281037686973,0.19075266248089162,0.420108580335217
-3,-0.09488038182207821,-0.19280099857372845,0.20097874733338858,-0.0891589428269619,-0.11808499224342786,-0.027980168620345323,-0.17755972324276373,0.2626208832898088,0.37151904610635916
-2,-0.04564383753672723,-0.17936164001144764,0.13845103021431204,-0.09886925472205416,-0.09399798596775423,-0.10002912234224247,-0.1335032143728077,0.32527993362179375,0.3295085474272065
-1,-0.01047923876416037,-0.11746452668776156,0.07316757559787933,-0.059072807429681816,-0.08297298358557216,-0.03424483020151299,-0.1375147287406499,0.3856156269316793,0.28164510605969145
0,-0.048744433838937444,-0.15778195703185383,0.018323066757983134,-0.025546299764630912,-0.030246055783119216,-0.03385642933145697,-0.08642190895755476,0.4190183724599382,0.22889562390110074
1,-0.07299375829703399,-0.0825415752992897,0.021592437674564292,-0.06018895743472119,-0.05490118941231857,-0.06914076532005756,-0.11846062824022573,0.4474983958808462,0.23137299239607276
2,-0.11541971047867096,0.058305053123508414,0.023148391512210136,-0.03959979107265563,-0.060776883063790595,-0.0472615636790008,-0.11278476547120242,0.4751808446776821,0.2577863724821684
3,-0.11542318859000096,0.12305842649361194,0.025490850892832376,-0.07970128818990452,-0.07700998613924726,-0.110696591973614,-0.13061939567195097,0.5008879909695421,0.2961742515495871
4,-0.14354096494010019,0.11653812097566196,0.028997878406916085,-0.07430268198673354,-0.09439719620507853,-0.1507047624949763,-0.12445048646503916,0.455440072205113,0.30836128167663274
5,-0.19978777588527932,0.04217915780060695,0.03293857424492462,-0.07520605257870175,-0.13148422528452525,-0.09078732913051385,-0.10853817025329279,0.44003793427533056,0.33012747054753067
6,-0.2134604622788791,0.030729772349151543,0.03806076657931685,-0.11789104421273128,-0.16015599999632424,-0.09251673906167629,-0.10018463893974418,0.41397916057055384,0.3402593546652033
7,-0.21106802481634282,0.06374328167702333,0.04577517229052031,-0.15357346043180597,-0.13994880263862622,-0.08066149611029866,-0.06408440761468602,0.3712669979519373,0.3127309785482496
8,-0.17735516492577075,0.0962407671222466,0.056248853088689266,-0.13424845516681935,-0.061975105642876574,-0.1221408797021318,-0.004648303916124547,0.33014724328385875,0.26527428901420097
9,-0.15865699105088005,0.0681495374013866,0.07633600394313564,-0.0773300010170821,-0.007407533603582945,-0.07390527594237081,0.039174065784094145,0.2881289853888986,0.18660560780770494
10,-0.08741397190115179,0.08237963642063169,0.09462788568710806,0.009490373030977684,0.01665405475575192,0.09500285661728455,0.028312977896779636,0.2633678599990839,0.1084660966590527
11,0.018193591195025456,0.11678203974894413,0.11266057866710495,-0.021611709921004234,-0.009217540963714717,-0.0289870052273161,-0.04357019293089726,0.24110340832810265,0.03826529195016711
12,0.060802743505819594,0.1678389306096381,0.13039948322948536,-0.02896924268426445,-0.08435137164577296,-0.06110735142471823,-0.17695065752642353,0.21319003304258313,-0.016416512908190427
