date,value,matrix_profile,matrix_profile_index
2017-08-01,35.0,0.0,12.0
2017-09-01,35.0,0.815710278000675,63.0
2017-10-01,35.0,0.6324555320336759,64.0
2017-11-01,35.0,0.5091399026230625,65.0
2017-12-01,35.0,0.4021317445363948,66.0
2018-01-01,35.0,1.4332917616497527e-16,36.0
2018-02-01,35.0,0.0,37.0
2018-03-01,35.0,1.4332917616497527e-16,56.0
2018-04-01,35.0,4.532466518368395e-16,81.0
2018-05-01,35.0,0.5608904142515106,71.0
2018-06-01,35.0,0.6714213740394576,72.0
2018-07-01,35.0,0.8430203185922578,73.0
2018-08-01,15.0,0.0,0.0
2018-09-01,15.0,0.0,0.0
2018-10-01,15.0,0.0,0.0
2018-11-01,15.0,0.0,0.0
2018-12-01,15.0,0.0,0.0
2019-01-01,15.0,0.0,0.0
2019-02-01,15.0,0.0,0.0
2019-03-01,15.0,0.0,0.0
2019-04-01,15.0,0.0,0.0
2019-05-01,15.0,0.0,0.0
2019-06-01,15.0,0.0,0.0
2019-07-01,15.0,0.0,0.0
2019-08-01,15.0,0.0,0.0
2019-09-01,15.0,0.9539367444085582,44.0
2019-10-01,15.0,0.8193121031329641,45.0
2019-11-01,15.0,0.7380963688990768,46.0
2019-12-01,15.0,0.5715592243432424,61.0
2020-01-01,15.0,2.9893669801409083e-16,61.0
2020-02-01,15.0,0.0,43.0
2020-03-01,15.0,0.317379251054014,44.0
2020-04-01,15.0,0.5541204718192233,50.0
2020-05-01,15.0,0.5309003646763518,51.0
2020-06-01,15.0,0.4933354524992505,52.0
2020-07-01,15.0,0.4236531840248589,66.0
2020-08-01,30.0,1.4332917616497527e-16,5.0
2020-09-01,30.0,0.0,6.0
2020-10-01,30.0,0.41744238123296284,69.0
2020-11-01,30.0,0.5097786968065707,70.0
2020-12-01,30.0,0.5760943391002916,71.0
2021-01-01,30.0,0.5963579428042701,60.0
2021-02-01,30.0,0.556499317648249,29.0
2021-03-01,15.0,0.0,30.0
2021-04-01,15.0,0.317379251054014,31.0
2021-05-01,15.0,0.6064746214860968,31.0
2021-06-01,15.0,0.7297387807794186,31.0
2021-07-01,15.0,0.6723729631635689,28.0
2021-08-01,15.0,0.5815478431714609,61.0
2021-09-01,30.0,0.0,30.0
2021-10-01,30.0,0.18542716296336595,63.0
2021-11-01,30.0,0.18508275481890854,64.0
2021-12-01,30.0,0.16468120466148478,65.0
2022-01-01,30.0,0.13542401526834924,66.0
2022-02-01,30.0,0.09597998634594809,67.0
2022-03-01,40.0,0.0,6.0
2022-04-01,40.0,1.4332917616497527e-16,7.0
2022-05-01,40.0,0.39217472094371914,81.0
2022-06-01,40.0,0.48619342140573774,71.0
2022-07-01,40.0,0.5504032386825918,72.0
2022-08-01,40.0,0.5963579428042701,41.0
2022-09-01,25.0,2.9893669801409083e-16,29.0
2022-10-01,25.0,0.0,30.0
2022-11-01,25.0,0.18542716296336595,50.0
2022-12-01,25.0,0.18508275481890854,51.0
2023-01-01,25.0,0.16468120466148478,52.0
2023-02-01,25.0,0.13542401526834924,53.0
2023-03-01,25.0,0.09597998634594809,54.0
2023-04-01,35.0,0.27901805559088205,6.0
2023-05-01,35.0,0.38517502574141155,56.0
2023-06-01,35.0,0.43273304595366396,57.0
2023-07-01,35.0,0.48619342140573774,58.0
2023-08-01,35.0,0.5504032386825918,59.0
2023-09-01,35.0,0.6296288974669554,42.0
2023-10-01,15.0,0.23805200869760954,50.0
2023-11-01,15.0,0.2774024237788013,51.0
2023-12-01,15.0,0.27477100047357156,52.0
2024-01-01,15.0,0.24436652739140896,53.0
2024-02-01,15.0,0.18365519680853912,54.0
2024-03-01,25.0,0.0,6.0
2024-04-01,25.0,2.9893669801409083e-16,56.0
2024-05-01,25.0,4.532466518368395e-16,8.0
2024-06-01,25.0,,
2024-07-01,25.0,,
2024-08-01,25.0,,
2024-09-01,15.0,,
2024-10-01,15.0,,
2024-11-01,15.0,,
2024-12-01,15.0,,
2025-01-01,15.0,,
2025-02-01,15.0,,
2025-03-01,15.0,,
2025-04-01,15.0,,
