date,actual,actual_train,actual_test,forecast_holt-winters,forecast_sarimax,forecast_var
2017-08-01,35.0,35.0,,,,
2017-09-01,35.0,35.0,,,,
2017-10-01,35.0,35.0,,,,
2017-11-01,35.0,35.0,,,,
2017-12-01,35.0,35.0,,,,
2018-01-01,35.0,35.0,,,,
2018-02-01,35.0,35.0,,,,
2018-03-01,35.0,35.0,,,,
2018-04-01,35.0,35.0,,,,
2018-05-01,35.0,35.0,,,,
2018-06-01,35.0,35.0,,,,
2018-07-01,35.0,35.0,,,,
2018-08-01,15.0,15.0,,,,
2018-09-01,15.0,15.0,,,,
2018-10-01,15.0,15.0,,,,
2018-11-01,15.0,15.0,,,,
2018-12-01,15.0,15.0,,,,
2019-01-01,15.0,15.0,,,,
2019-02-01,15.0,15.0,,,,
2019-03-01,15.0,15.0,,,,
2019-04-01,15.0,15.0,,,,
2019-05-01,15.0,15.0,,,,
2019-06-01,15.0,15.0,,,,
2019-07-01,15.0,15.0,,,,
2019-08-01,15.0,15.0,,,,
2019-09-01,15.0,15.0,,,,
2019-10-01,15.0,15.0,,,,
2019-11-01,15.0,15.0,,,,
2019-12-01,15.0,15.0,,,,
2020-01-01,15.0,15.0,,,,
2020-02-01,15.0,15.0,,,,
2020-03-01,15.0,15.0,,,,
2020-04-01,15.0,15.0,,,,
2020-05-01,15.0,15.0,,,,
2020-06-01,15.0,15.0,,,,
2020-07-01,15.0,15.0,,,,
2020-08-01,30.0,30.0,,,,
2020-09-01,30.0,30.0,,,,
2020-10-01,30.0,30.0,,,,
2020-11-01,30.0,30.0,,,,
2020-12-01,30.0,30.0,,,,
2021-01-01,30.0,30.0,,,,
2021-02-01,30.0,30.0,,,,
2021-03-01,15.0,15.0,,,,
2021-04-01,15.0,15.0,,,,
2021-05-01,15.0,15.0,,,,
2021-06-01,15.0,15.0,,,,
2021-07-01,15.0,15.0,,,,
2021-08-01,15.0,15.0,,,,
2021-09-01,30.0,30.0,,,,
2021-10-01,30.0,30.0,,,,
2021-11-01,30.0,30.0,,,,
2021-12-01,30.0,30.0,,,,
2022-01-01,30.0,30.0,,,,
2022-02-01,30.0,30.0,,,,
2022-03-01,40.0,40.0,,,,
2022-04-01,40.0,40.0,,,,
2022-05-01,40.0,40.0,,,,
2022-06-01,40.0,40.0,,,,
2022-07-01,40.0,40.0,,,,
2022-08-01,40.0,40.0,,,,
2022-09-01,25.0,25.0,,,,
2022-10-01,25.0,25.0,,,,
2022-11-01,25.0,25.0,,,,
2022-12-01,25.0,25.0,,,,
2023-01-01,25.0,25.0,,,,
2023-02-01,25.0,25.0,,,,
2023-03-01,25.0,25.0,,,,
2023-04-01,35.0,35.0,,,,
2023-05-01,35.0,35.0,,,,
2023-06-01,35.0,35.0,,,,
2023-07-01,35.0,35.0,,,,
2023-08-01,35.0,35.0,,,,
2023-09-01,35.0,35.0,,,,
2023-10-01,15.0,15.0,,,,
2023-11-01,15.0,15.0,,,,
2023-12-01,15.0,15.0,,,,
2024-01-01,15.0,15.0,,,,
2024-02-01,15.0,15.0,,,,
2024-03-01,25.0,25.0,,,,
2024-04-01,25.0,25.0,,,,
2024-05-01,25.0,,25.0,25.006080711133755,25.399438004846942,22.506652194764513
2024-06-01,25.0,,25.0,25.006002728396076,25.103953487120087,20.565295731644127
2024-07-01,25.0,,25.0,25.00604424689507,25.26460642884241,17.824376761738066
2024-08-01,25.0,,25.0,24.172897696144158,27.824684090223602,17.927286613483048
2024-09-01,15.0,,15.0,24.17296347313505,27.895033686854703,20.232492563090247
2024-10-01,15.0,,15.0,21.31578325697212,31.269443497321216,22.50574918472428
2024-11-01,15.0,,15.0,21.31575067531893,31.294008079237287,23.867084973050723
2024-12-01,15.0,,15.0,21.31573517155413,31.279751717577163,23.822632302650057
2025-01-01,15.0,,15.0,21.315634064414038,31.28774727991777,23.285127726378803
2025-02-01,15.0,,15.0,21.315538542309923,31.283740031685817,22.693175134294492
2025-03-01,15.0,,15.0,22.029873754765713,28.46176440765969,22.14572211884243
2025-04-01,15.0,,15.0,23.458494206478676,30.69224174121716,21.800338649645816
